year,les_DET âges_NOUN,les_DET ages_NOUN,les_DET sages_NOUN
1800,4.665940068093732e-06,2.0437069014889175e-07,3.3862652131233517e-06
1801,5.462432925540384e-06,5.238601819002042e-08,3.833703885902651e-06
1802,4.965767089970541e-06,4.699464284385613e-08,4.457777635025195e-06
1803,5.644281493744074e-06,1.1311967385019273e-07,3.2843712070018682e-06
1804,5.386163351772666e-06,4.9437018700970725e-08,3.819009656069738e-06
1805,5.694284274326833e-06,2.2743021688143017e-08,3.999928892994831e-06
1806,4.829677632045559e-06,9.221341379372916e-08,2.973882430978847e-06
1807,4.327371735612928e-06,1.19572113099764e-07,3.4846729484172556e-06
1808,4.896985794644593e-06,6.345007141916881e-08,3.6733059474158836e-06
1809,4.368964847678569e-06,3.388545821714217e-08,2.4736384887091845e-06
1810,4.918946551413228e-06,1.0296557739764012e-07,3.3955238336602633e-06
1811,3.5450065478670467e-06,8.524061101411462e-08,3.0586336805527026e-06
1812,5.438437618465741e-06,9.601949235715779e-08,3.3260086222952623e-06
1813,4.678831608373457e-06,5.1763349162570194e-08,3.0885465811536505e-06
1814,5.003216866583671e-06,8.18136065561248e-08,3.675318914986292e-06
1815,5.5427945504504805e-06,7.2825036667723e-08,3.082926554043297e-06
1816,5.678129348041239e-06,1.0429217667251578e-07,3.1913405056371857e-06
1817,5.544025981407685e-06,6.850243117195731e-08,3.9684702954900786e-06
1818,4.624224864357984e-06,4.530047448270125e-08,3.649072340072834e-06
1819,4.743886410807363e-06,2.5877624487691264e-08,5.033715672730921e-06
1820,5.265157511757934e-06,6.763894067063347e-08,3.829313378389543e-06
1821,5.670355704978647e-06,1.0749022016920406e-07,5.045137324355409e-06
1822,4.948644132696245e-06,5.6143449000956025e-08,4.807282849128569e-06
1823,4.215954415798251e-06,2.865979298327659e-08,3.6476997156142943e-06
1824,4.558348194905193e-06,3.789500802042767e-08,3.960449321382953e-06
1825,4.83418807561975e-06,4.314667090277169e-08,4.050503729757793e-06
1826,3.974162375186552e-06,5.901349353631957e-08,3.6183199405570576e-06
1827,4.422447450025402e-06,6.636436677975865e-08,3.450025329754247e-06
1828,4.836554538201199e-06,5.228211635843749e-08,3.856035441174299e-06
1829,4.706673472298917e-06,4.886710325280319e-08,3.52271803194526e-06
1830,4.9929822836247695e-06,8.558205366604454e-08,3.6205382709653122e-06
1831,4.819241720355194e-06,6.392394413801128e-08,3.598450401653963e-06
1832,5.652821140955666e-06,3.247192603694771e-08,3.1971317184797954e-06
1833,5.724629140502202e-06,7.761030995645513e-08,3.660426571627795e-06
1834,5.47376898651919e-06,6.627516802026889e-08,3.536853872887491e-06
1835,4.816174183019939e-06,4.9160071569076536e-08,3.6801987022272442e-06
1836,4.917572923091029e-06,6.586335044023173e-08,3.586864323779082e-06
1837,4.771025746919122e-06,4.661787011972507e-08,3.258380257165072e-06
1838,4.973983681821892e-06,5.365337751861432e-08,3.328403018088011e-06
1839,5.013586640956191e-06,5.5931801412612003e-08,3.0224146954083153e-06
1840,4.884277146288696e-06,8.153201597194126e-08,3.6370922344985956e-06
1841,5.444625280404125e-06,7.383630817869857e-08,3.265491017145905e-06
1842,5.23244681005508e-06,9.123240563013724e-08,3.421215296839364e-06
1843,5.550724374359106e-06,7.324569645250634e-08,4.112982164627965e-06
1844,5.129060426156684e-06,1.136132175005855e-07,3.3156399754652455e-06
1845,4.589179532388243e-06,7.812319202660234e-08,3.196912570224697e-06
1846,5.089903304167365e-06,8.37193687708293e-08,3.3798035676824156e-06
1847,4.52545380369429e-06,6.040410482910374e-08,3.093553019972717e-06
1848,4.985623881736956e-06,6.43617756312942e-08,2.8874300639358808e-06
1849,4.952234100130681e-06,6.954914533174872e-08,2.483658652963072e-06
1850,4.848700971393782e-06,7.467895635215882e-08,3.1093602288478905e-06
1851,4.9067332277275e-06,9.480675022821572e-08,2.853231698907166e-06
1852,5.317813577931929e-06,9.049658289406182e-08,3.678458224243286e-06
1853,5.411167634861158e-06,1.039116110934657e-07,3.642878363407931e-06
1854,5.172284105015024e-06,1.0183502335836536e-07,3.7174979894416538e-06
1855,5.324449809052112e-06,9.817833657166375e-08,3.586428174884304e-06
1856,5.657114549251219e-06,9.422484165133582e-08,3.4650927300816647e-06
1857,5.266172131257463e-06,7.956859537916472e-08,3.181767606719177e-06
1858,4.616204655860656e-06,6.99795659198088e-08,3.6868955994862063e-06
1859,5.104903927133364e-06,7.12904275612658e-08,3.432634084976627e-06
1860,5.277035356243687e-06,9.38322714250095e-08,3.2054017999882944e-06
1861,4.886681601590226e-06,9.29044859931949e-08,3.0795242906833664e-06
1862,4.754276766050225e-06,6.867339152893948e-08,3.291804690164213e-06
1863,4.5750728574489585e-06,9.539725898122242e-08,3.3089363888905154e-06
1864,5.300571899624629e-06,9.589455862712981e-08,3.107942710300904e-06
1865,5.033499434148325e-06,9.978510345787228e-08,3.20300748057889e-06
1866,4.8247416941649135e-06,1.5715929935211648e-07,3.1840570038355054e-06
1867,4.717417837696303e-06,1.1258522825130513e-07,2.544814433846909e-06
1868,5.1552525022202644e-06,1.1411109390735419e-07,2.6240612154282417e-06
1869,5.3171757983250245e-06,7.667124912735801e-08,2.8837181140772827e-06
1870,4.9811682529821155e-06,1.0206607115037514e-07,3.2735685380202995e-06
1871,4.0902152029786976e-06,6.478918024299674e-08,3.5888957850005454e-06
1872,5.1196773611650315e-06,8.950062146961812e-08,3.24681658803172e-06
1873,4.820529291293951e-06,9.218446744840847e-08,2.3848241310631124e-06
1874,4.520986536249438e-06,7.468261342680194e-08,2.415534455124657e-06
1875,4.5314495622506e-06,8.982797339296411e-08,2.3515477187707745e-06
1876,4.643339281074077e-06,1.0036384590073055e-07,3.038122441623159e-06
1877,4.91569185356866e-06,1.2431479901042763e-07,2.681117670988442e-06
1878,4.667007850400751e-06,1.3467167780945033e-07,3.3776623684644846e-06
1879,5.098843082862459e-06,1.1363344876169634e-07,3.220836344297595e-06
1880,4.3609263684629695e-06,1.7520720185792982e-07,2.535049311802595e-06
1881,4.537010752869719e-06,2.1335873312544607e-07,2.515680850745383e-06
1882,4.42915887788331e-06,1.60394778792039e-07,2.219571007655574e-06
1883,4.335698477575534e-06,1.3144224991767928e-07,2.053153246750483e-06
1884,4.1960386525374815e-06,1.3005342847094425e-07,2.0438853534088253e-06
1885,4.584136313212639e-06,1.482496198024208e-07,2.0619588498860253e-06
1886,4.501936459178069e-06,1.6843540850963734e-07,2.352287671314457e-06
1887,4.300602682860699e-06,1.540826208845658e-07,2.0827269544554383e-06
1888,4.125838074742205e-06,1.3695727485441012e-07,1.842582671329751e-06
1889,4.177593254439671e-06,1.3282089683652742e-07,1.9753976463476874e-06
1890,4.188252809456117e-06,1.435410640349133e-07,2.491977735274986e-06
1891,4.317896497241236e-06,1.3067150628209845e-07,2.014253503546115e-06
1892,4.082682032446883e-06,1.3790727249052281e-07,2.003416517126766e-06
1893,4.174174826232502e-06,1.7489902692791048e-07,2.090782382779821e-06
1894,4.218880398809688e-06,1.304418684178188e-07,1.7247313053303515e-06
1895,4.057147968694608e-06,1.1736298133335765e-07,1.6635450368340798e-06
