year,autres_ADJ heures_NOUN,autres_ADJ soeurs_NOUN
1800,1.9808235851570544e-07,0.0
1801,1.7620750725200196e-07,9.524730337773235e-09
1802,1.320325679898815e-07,4.475680270843441e-09
1803,3.0815360219094146e-07,9.751696339321825e-09
1804,2.644880510160874e-07,1.4831105232815389e-08
1805,2.04687196969644e-07,0.0
1806,2.564685530614952e-07,3.458002950651462e-08
1807,1.537355700520493e-07,3.701041606518629e-08
1808,1.314322983780869e-07,1.8128591960930862e-08
1809,1.4909601020463015e-07,1.129515236897305e-08
1810,1.8252988986944274e-07,3.510190182964834e-08
1811,2.206227520673565e-07,3.5099073869560016e-08
1812,1.973734100602087e-07,5.3344164641089264e-09
1813,1.4666282766029326e-07,1.7254450312975678e-08
1814,1.604805390797992e-07,6.293354282149721e-09
1815,1.0249449644561537e-07,2.697223555614414e-09
1816,9.965696534663948e-08,4.6352077731626196e-09
1817,2.055072834128424e-07,4.670620334934483e-09
1818,2.944530876902718e-07,1.1921177378582115e-09
1819,1.3870406745386532e-07,7.24573512300708e-09
1820,1.3409123589269711e-07,2.254631503717519e-08
1821,1.400331378631492e-07,2.9584463767662328e-09
1822,1.0627152846609533e-07,6.015369535816717e-09
1823,1.8678278479455912e-07,5.929612356680991e-09
1824,1.0863235644364977e-07,3.3684450784221553e-09
1825,1.6906450905906922e-07,4.4027217427355936e-09
1826,1.4885493726524146e-07,6.1655889282974385e-09
1827,2.451794500757387e-07,4.608636583469661e-09
1828,1.3941897708535933e-07,1.46756822805294e-08
1829,2.571952677499212e-07,6.001223074036943e-09
1830,2.2021723111720348e-07,5.218417920005436e-09
1831,1.559120579308626e-07,1.5591206103948707e-09
1832,1.7453660050570363e-07,4.058990810129615e-09
1833,1.888131464511389e-07,1.1583628500844156e-09
1834,1.8389025413512172e-07,1.8669061851994684e-09
1835,3.4714572905159e-07,9.075705520444899e-09
1836,2.2984965841743588e-07,6.048674894287842e-09
1837,1.4959464933461675e-07,3.478945576063097e-09
1838,1.6474743036454242e-07,3.787297142565649e-09
1839,1.3843120427736721e-07,3.4957374772659477e-09
1840,1.554203974407642e-07,4.4587821212971335e-09
1841,1.9903700021473014e-07,2.43980835534785e-08
1842,2.0124794586351413e-07,2.683306021822318e-09
1843,1.8547700486593044e-07,5.316219964246471e-09
1844,2.689395000032846e-07,4.390849017710252e-09
1845,1.8358950626407022e-07,1.2276501426544684e-08
1846,2.0022395119667635e-07,1.1709002656346001e-09
1847,3.0795305594466527e-07,1.0786447290911383e-09
1848,2.204390716631366e-07,2.4135665133151463e-09
1849,1.625606529387369e-07,1.6758829879393033e-09
1850,2.2878916094981605e-07,4.073397619208663e-09
1851,1.9219328084574272e-07,3.2247193804124663e-09
1852,1.692741751213589e-07,3.2552727180501506e-09
1853,2.0901761921265916e-07,1.7915795513800958e-09
1854,2.1821790241460803e-07,3.117398783558656e-09
1855,2.1705372432734293e-07,2.1227748447927297e-09
1856,1.8793196510102916e-07,2.5885946719483854e-09
1857,1.3961115952199066e-07,1.4644527812635033e-09
1858,2.0847060255846372e-07,2.4468380654951716e-09
1859,1.604034665092513e-07,1.018434669930457e-09
1860,1.9132629347495822e-07,4.577183909670879e-09
1861,1.6034277194876267e-07,1.226150558863992e-08
1862,1.608403161768024e-07,9.487771512883825e-09
1863,1.688181860970417e-07,1.9978483312144135e-09
1864,1.9322753530559567e-07,5.2742009648554244e-09
1865,2.0333567896102522e-07,2.3534221238463715e-09
1866,1.2407313043638624e-07,4.865613079108044e-09
1867,1.0627656976680555e-07,1.94112459439566e-09
1868,1.8030539727931227e-07,9.87974813071446e-09
1869,1.279482035876356e-07,3.4184632902167778e-09
1870,1.2156183348821514e-07,5.734048791339319e-09
1871,1.4232376899236954e-07,6.37270636261178e-09
1872,1.3727459846624157e-07,9.675742873582749e-09
1873,1.8257314060576846e-07,2.9930022349411445e-09
1874,1.6609412722967676e-07,3.5847653734322193e-09
1875,1.2358498224784853e-07,4.005069165202713e-09
1876,1.6807920566463963e-07,6.04601479992084e-09
1877,1.7255636275415043e-07,3.7108897066318036e-09
1878,1.2078177480390195e-07,1.8117265465633636e-09
1879,1.7961415821332594e-07,0.0
1880,1.9895323344343296e-07,4.492492600149944e-09
1881,1.6455118134750535e-07,6.2752567586699115e-09
1882,1.4708401052665465e-07,5.324308105514319e-09
1883,1.3396998976844543e-07,2.5277355764075082e-09
1884,1.7164412113856997e-07,1.9805090900604227e-09
1885,1.888571228292335e-07,7.090199150017185e-09
1886,1.322960123673056e-07,4.517424767591649e-09
1887,2.565867429638047e-07,3.917354718385724e-09
1888,1.5851536261379806e-07,8.242799109936527e-09
