year,veux_VERB ôter_VERB,veux_VERB sauter_VERB
1800,3.144164484325529e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,1.730295728918918e-08,0.0
1805,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,2.259030518203531e-09
1810,9.360507036149102e-09,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,2.8757416004054903e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,3.0128852301913867e-08,0.0
1817,7.784366928831332e-09,0.0
1818,8.344824387052086e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,5.933240565525466e-09,2.3732962262101864e-09
1821,5.9168927535324656e-09,9.86148829262845e-10
1822,4.010246357211145e-09,0.0
1823,3.9530747564242574e-09,9.882686891060644e-10
1824,4.210556348027694e-09,5.894778887238772e-09
1825,8.805443485471187e-09,0.0
1826,8.807984341885344e-10,0.0
1827,2.7651818612639545e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,8.57317605795771e-10,3.429270423183084e-09
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,0.0
1833,0.0,3.4750886612755494e-09
1834,1.8669061851994684e-09,2.8003592777992026e-09
1835,2.2689263801112247e-09,0.0
1836,6.048674894287842e-09,6.720750067579218e-10
1837,6.262101948095733e-09,0.0
1838,7.574594285131298e-09,0.0
1839,6.9914749545318955e-09,0.0
1840,3.1848443882154243e-09,0.0
1841,5.1364388298225094e-09,0.0
1842,1.341653010911159e-09,0.0
1843,5.31621990873532e-09,0.0
1844,5.488561272137815e-10,0.0
1845,8.37034175305007e-09,5.580227946389016e-10
1846,5.269050973311096e-09,1.1709002656346001e-09
1847,2.1572894581822766e-09,5.393223645455691e-10
1848,8.045221711050488e-10,0.0
1849,0.0,2.513824481908955e-09
1850,2.7155984128057753e-09,2.7155984128057753e-09
1851,4.514607354622058e-09,0.0
1852,9.114764054629632e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,4.1565315633818045e-09,1.558699391779328e-09
1855,2.1227748447927297e-09,3.1841622671890946e-09
1856,1.0354378465748937e-09,2.0708756931497874e-09
1857,8.78671624349181e-09,4.881509085841174e-10
1858,1.2723557318849998e-08,7.34051397444091e-09
1859,1.018434669930457e-09,4.582956236731661e-09
1860,3.204028820036342e-09,4.577183909670879e-10
1861,3.3011746669586728e-09,3.772770984511453e-09
1862,1.0843167252971853e-08,0.0
1863,5.9935452156878455e-09,5.494082966350788e-09
1864,6.233146443435089e-09,0.0
1865,8.943004559114343e-09,0.0
1866,1.2650593461671633e-08,5.838735717134114e-09
1867,8.73506067478047e-09,0.0
1868,4.93987406535723e-10,1.4819622196071691e-09
1869,5.371870948067681e-09,3.906815315701806e-09
1870,1.7202146374017957e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,3.0236697590169115e-09,3.0236697590169115e-09
1873,1.1972008939764578e-09,2.3944017879529156e-09
1874,5.974609140757536e-10,0.0
1875,2.8607636259891933e-09,1.716458086775674e-09
1876,3.627608879952504e-09,0.0
1877,4.9478527941460015e-09,1.2369631985365004e-09
