year,dix_DET ailes_NOUN,dix_DET selles_NOUN
1800,0.0,0.0
1801,0.0,1.1905912700171939e-08
1802,1.3427040812530322e-08,6.713520406265161e-09
1803,0.0,1.3652374342143503e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,3.200649700829672e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,2.2026739543434815e-08
1815,1.6183340889597275e-08,0.0
1816,0.0,1.3905623319487859e-08
1817,0.0,4.0478710161551135e-08
1818,3.099506074022429e-08,1.668964877410417e-08
1819,0.0,1.5526575580793178e-08
1820,2.3732962262101864e-09,5.933240565525466e-09
1821,1.1833785507064931e-08,0.0
1822,1.604098542884458e-08,1.4035862250239006e-08
1823,1.087095569118901e-08,5.0401704143610004e-08
1824,8.421112696055388e-10,1.431589158329416e-08
1825,0.0,1.6730342000670362e-08
1826,0.0,2.1139161532346407e-08
1827,8.295545583791863e-09,1.474763688946723e-08
1828,0.0,1.1923991238838028e-08
1829,8.573175946935407e-09,2.8291480713704686e-08
1830,1.0436835840010872e-09,6.783943296007067e-08
1831,7.795603274018958e-09,1.7150326492298973e-08
1832,1.3529969367098715e-09,1.7588960066206027e-08
1833,1.0425265983826648e-08,5.791814139399776e-09
1834,6.534171426153534e-09,9.241185772168592e-08
1835,2.2689263801112247e-09,4.0084366048631637e-08
1836,2.688300027031687e-09,8.064899859050456e-09
1837,0.0,3.75726116885744e-08
1838,3.1560809521380406e-09,2.6511080220004146e-08
1839,6.9914749545318955e-09,3.565652328951785e-08
1840,6.369688665408546e-10,3.694419348221345e-08
1841,3.2102742686390684e-09,3.980740004294603e-08
1842,1.1404051036834062e-08,1.9453969102301016e-08
1843,5.906911071384968e-10,2.3627644729629083e-08
1844,0.0,2.5247381962856252e-08
