year,aux_ADP orties_NOUN,aux_ADP sorties_NOUN
1800,7.231578535993322e-08,6.60274537267469e-08
1801,7.143547975374531e-08,9.048493865293494e-08
1802,5.147032311469957e-08,7.832440473976021e-08
1803,3.90067853572873e-08,8.971560561121805e-08
1804,4.69651695311768e-08,4.943701981119375e-08
1805,2.842877755426798e-08,8.24434565060983e-08
1806,8.645007643082181e-08,2.622318788780831e-07
1807,2.562259560079383e-08,4.839823830593559e-08
1808,6.118399653587403e-08,6.571614363792833e-08
1809,6.7770917766551975e-09,1.2650571079575457e-07
1810,4.212228077449254e-08,6.084329839950442e-08
1811,6.267691787797958e-08,7.52123057168319e-08
1812,5.3344164641089264e-09,8.801787032552966e-08
1813,3.738464116054274e-08,2.300593315851529e-08
1814,6.293354459785405e-08,1.2586708741935126e-07
1815,5.3944472000466703e-08,7.012781111370714e-08
1816,6.952811659743929e-09,5.3304891167726964e-08
1817,9.341240669868967e-09,1.0431051578052575e-07
1818,6.795070817133819e-08,1.1325118265403944e-07
1819,3.2088255608186955e-08,7.452756278780726e-08
1820,6.051905643289501e-08,7.95054262425765e-08
1821,3.944595405869222e-08,3.8459806006585495e-08
1822,3.5089655625597516e-08,1.73443154949382e-07
1823,1.571347244544441e-07,7.016707570528524e-08
1824,3.115811608722652e-08,2.602123743145057e-07
1825,1.4176763429851746e-07,5.899646993157148e-08
1826,6.429828447451769e-08,3.2589543508265706e-08
1827,3.2260455640198415e-08,8.295545939063231e-08
1828,4.769596628761974e-08,7.33784091266898e-08
1829,9.17329817662349e-08,5.829759786024624e-08
1830,7.201416707403041e-08,5.4271545479878114e-08
1831,5.76874619184764e-08,7.016042502527853e-08
1832,7.035583848846727e-08,6.494385473843067e-08
1833,1.0772774317047151e-07,8.456049016558609e-08
1834,1.278830694673161e-07,7.374279675786966e-08
1835,8.24376584773745e-08,5.218530674255817e-08
1836,9.74508733153634e-08,1.8549269498180365e-07
1837,1.3498307971371304e-07,1.1828414869796688e-07
1838,9.910094433962513e-08,1.2876810728812416e-07
1839,4.824117993962318e-08,8.94908822601792e-08
1840,1.0255198645836572e-07,6.815567132889555e-08
1841,1.2648480085530878e-07,7.704657889462396e-08
1842,1.4087357325109906e-07,5.433694738599115e-08
1843,9.096643083239542e-08,7.088293330070883e-08
1844,9.604982409427976e-08,6.31184581267874e-08
1845,9.095771691391974e-08,9.207375928355077e-08
1846,9.191567329480677e-08,7.083946940156238e-08
1847,1.0894311852638339e-07,9.060615724365562e-08
1848,9.091100849900613e-08,1.0941501216166216e-07
1849,1.0055298105271504e-07,5.446619866233959e-08
1850,7.467895812851566e-08,8.078905011643656e-08
1851,1.0770562952622242e-07,6.0624725684022e-08
1852,1.5234675743158732e-07,5.2735419586724674e-08
1853,9.256494593046227e-08,7.882950114890264e-08
1854,1.0910895636984108e-07,1.075502520375693e-07
1855,1.7247546324483665e-07,7.376642585654736e-08
1856,1.263234205017838e-07,7.092749088055683e-08
1857,1.7378173045035084e-07,8.005675056210748e-08
1858,1.4289534155942363e-07,7.58519789201273e-08
1859,1.7109702787898584e-07,1.0999094257613251e-07
1860,1.5699740368857462e-07,6.59114505197067e-08
1861,1.839225793887067e-07,1.084671623630129e-07
1862,1.7574966906797052e-07,1.1204605956938174e-07
1863,1.6781926204245678e-07,1.5982786472079624e-07
1864,1.951454264847996e-07,7.767459608842842e-08
1865,1.6003270419950866e-07,6.824924231318974e-08
1866,2.1262728222559701e-07,1.0461067745382024e-07
1867,1.86347953956556e-07,7.715970440358433e-08
1868,1.8030541004687706e-07,4.6928803953960596e-08
1869,2.1731660648782736e-07,7.520619504930437e-08
1870,1.9553106289649236e-07,9.690542190909923e-08
1871,2.0074024420502212e-07,1.8162212711558823e-07
1872,1.862580542022485e-07,1.560213486184736e-07
1873,1.7898153714668297e-07,1.21515885798118e-07
1874,1.601195265266142e-07,9.081405705213541e-08
1875,1.2587360254112667e-07,9.154443131320633e-08
1876,1.638470072951037e-07,8.464420631071334e-08
1877,2.1399462735161023e-07,9.833857461671869e-08
1878,1.4735376818730828e-07,5.1936163703025784e-08
1879,1.3440514912144153e-07,6.048232215061233e-08
1880,2.0793822219644653e-07,5.904418642899145e-08
1881,2.0499172137533606e-07,8.227558767615051e-08
1882,1.9833047160133788e-07,1.2245908620478474e-07
1883,1.529280093670593e-07,7.899173337655441e-08
1884,2.2115685016643738e-07,1.1354918960648774e-07
1885,1.5276156173360533e-07,9.217259333560435e-08
1886,1.9683064422792995e-07,1.1035422997629496e-07
1887,1.6126443824759917e-07,9.597519112780617e-08
1888,2.3143244076706537e-07,8.623235991933598e-08
1889,1.4284512389606263e-07,7.33021030541181e-08
1890,1.4616281873713888e-07,1.4091930244930495e-07
1891,1.2875923971478187e-07,1.0326236488111817e-07
1892,1.0593786092805146e-07,8.83860267197889e-08
1893,1.274792258421087e-07,1.1516238807018908e-07
1894,1.3989417113613456e-07,1.3296247924898807e-07
1895,1.5889142024327896e-07,9.569596848280071e-08
1896,1.5450215906653852e-07,9.671127759736109e-08
1897,1.2877036681402387e-07,9.381008636566435e-08
1898,1.3070799509407038e-07,1.2278630379114475e-07
1899,1.044712281128568e-07,1.1331535709757645e-07
1900,1.0226374769217728e-07,1.0330195421293098e-07
1901,9.389081156996326e-08,1.0786266280149448e-07
1902,9.869670458684254e-08,1.0851727072491713e-07
1903,1.2150495365403913e-07,1.7334707536065252e-07
1904,1.0104295444790523e-07,1.6930069790532798e-07
1905,1.1198847271742807e-07,1.785622583128088e-07
1906,1.1677298716872286e-07,1.9239250015345988e-07
1907,1.4245676460689083e-07,1.0234258507324512e-07
1908,1.350632028440657e-07,1.5323534086064683e-07
1909,1.1332026161881004e-07,1.479764510925463e-07
1910,1.4696414663006863e-07,2.1857576548711677e-07
1911,1.1917637765535005e-07,1.4098991130140348e-07
