year,grands_ADJ airs_NOUN,grands_ADJ cerfs_NOUN
1800,2.6725399493443547e-07,1.2576657937302116e-08
1801,1.8096987730586989e-07,2.3811825400343878e-08
1802,1.2531904758361634e-07,1.5664880947952042e-08
1803,1.2092102963379148e-07,0.0
1804,3.114532205472642e-07,2.7190360185613827e-08
1805,2.50173229687789e-07,0.0
1806,4.3513205127965193e-07,1.152667650217154e-08
1807,2.1921555060089304e-07,5.693910232196231e-09
1808,1.6768947830314573e-07,2.7192887941396293e-08
1809,1.8298146642337088e-07,0.0
1810,4.7036547812240315e-07,1.8721014072298203e-08
1811,4.086535057012952e-07,5.0141535368197765e-09
1812,3.414026537029713e-07,8.00162425207418e-09
1813,3.36461766892171e-07,2.8757416448144113e-09
1814,1.9194730782601255e-07,0.0
1815,1.780167480092132e-07,0.0
1816,2.0394914201915526e-07,1.3905623319487859e-08
1817,3.674221318306081e-07,0.0
1818,2.1577331210664852e-07,9.536941902865692e-09
1819,2.1530183857976226e-07,5.175524897538253e-09
1820,3.0259528216447507e-07,4.50926265216367e-08
1821,3.303598532511387e-07,1.97229765852569e-09
1822,2.3760709666476032e-07,4.010246357211145e-09
1823,2.8956273467883875e-07,2.8659792761231984e-08
1824,3.5200250181333104e-07,1.9368559200927393e-08
1825,3.0114614446574706e-07,2.0252519661312363e-08
1826,1.7175570121708006e-07,1.76159691278599e-08
1827,1.1245072784049626e-07,2.8573546195787003e-08
1828,2.1738354405442806e-07,1.6510142586412258e-08
1829,4.878137360719847e-07,2.743416338546467e-08
1830,3.9346872426904156e-07,1.6698937344017395e-08
1831,2.744052380876383e-07,0.0
1832,3.5989717162010493e-07,1.488296597074168e-08
1833,2.872739912618272e-07,8.108539617524002e-09
1834,2.5389923052898666e-07,1.4935249481595747e-08
1835,3.947931759284984e-07,4.9160071569076536e-08
1836,2.2447305525474803e-07,8.064899859050456e-09
1837,2.2891461526342027e-07,2.3656828385121287e-08
1838,2.7016054104933573e-07,1.199310784016916e-08
1839,2.747649716638989e-07,1.887698375391267e-08
1840,3.4205228871542204e-07,8.280595209519959e-09
1841,2.1573043795797275e-07,1.733548149474018e-08
1842,3.723087047546869e-07,1.1404051036834062e-08
1843,2.746713789747446e-07,1.594865972620596e-08
1844,2.2118902620604786e-07,1.0977122322231025e-08
1845,3.0691253982695343e-07,2.845916197147247e-08
1846,3.354629143359489e-07,1.3465353276842507e-08
1847,1.7096519400183752e-07,9.168480197274675e-09
1848,2.2204811500614596e-07,1.930853166243196e-08
1849,2.1283713635966706e-07,5.02764896381791e-09
1850,1.7108270355947752e-07,1.6972489191857676e-08
1851,2.61847219462652e-07,3.0957306051959677e-08
1852,2.584686455975316e-07,9.765818376195057e-09
1853,3.2606746458441194e-07,1.7318602107962988e-08
1854,2.156200764602545e-07,7.793496792363186e-09
1855,3.730776825250359e-07,1.1675261646360013e-08
1856,4.581812333981361e-07,8.801221973442352e-09
1857,4.398239639158419e-07,1.5620829074691756e-08
1858,4.0519637423130916e-07,3.670256892851498e-08
1859,4.297794191643334e-07,3.055304098609213e-08
1860,3.80363985641452e-07,3.661747127736703e-08
1861,3.107820134573558e-07,1.603427640661792e-08
1862,3.162590473948512e-07,1.8975542914745347e-08
1863,3.636083931723988e-07,3.296449868628315e-08
1864,4.2193605054308136e-07,2.5412057347296013e-08
1865,4.0431794445794367e-07,2.8241066374334878e-08
1866,3.7173282407820807e-07,1.1677470990179017e-08
1867,3.891954918344709e-07,1.6014277903764196e-08
1868,3.166459237036179e-07,2.0747471296544973e-08
1869,3.3061425597225025e-07,3.4672986259920435e-08
1870,2.9587693006760674e-07,2.8670243068518175e-08
1871,3.3669132903924037e-07,2.549082545044712e-08
1872,2.8301548127274145e-07,1.3908880269752899e-08
1873,2.585954064215912e-07,1.855661313499013e-08
1874,3.142644402487349e-07,2.2703515512034755e-08
1875,2.6090162918990245e-07,2.5174718754072956e-08
1876,2.5876943254843354e-07,1.753344314181504e-08
1877,3.3274309885200637e-07,2.102837459716511e-08
1878,3.055778847738111e-07,1.2078177513696886e-08
1879,3.0180066801221983e-07,1.9549840857280287e-08
1880,2.194903458985209e-07,6.417846254436199e-09
1881,3.1376285392070713e-07,1.6036766581351003e-08
1882,3.414212699226482e-07,2.0631693686823382e-08
1883,2.9574505333584966e-07,2.3381553804213695e-08
1884,3.7959756582495174e-07,5.0833065756705764e-08
1885,2.9327642891985306e-07,3.480643157027785e-08
1886,2.9879538487875834e-07,2.3877816057726875e-08
1887,2.337355056170054e-07,7.83470954779375e-09
1888,2.612333389606647e-07,6.340614699951175e-09
1889,2.4935243914114835e-07,6.891650361495749e-09
1890,2.2547089884028537e-07,2.8839300725280737e-08
1891,2.530565268443752e-07,3.824532157636895e-08
1892,2.2190533854882233e-07,3.0715710863660206e-08
1893,2.407940939974651e-07,1.909109159647926e-08
1894,1.8337479446017824e-07,2.0164925729204697e-08
1895,2.600041568712186e-07,2.527818065978238e-08
1896,2.1347244683056488e-07,5.248355883225031e-08
1897,1.7713209388148243e-07,2.155884004650943e-08
1898,2.1841249520093697e-07,2.546259780800142e-08
1899,1.9678179796756012e-07,1.8241008703512307e-08
1900,1.5988443635706062e-07,2.2840633051579573e-08
1901,1.4698383665745496e-07,2.1237207659119406e-08
1902,1.6645861933284323e-07,1.7677022512430085e-08
1903,2.0736845840474416e-07,2.052083791781456e-08
1904,1.4189009789333795e-07,1.7736263124845664e-08
1905,1.6307998862430395e-07,1.651442893546573e-08
1906,1.6409948955242726e-07,1.388929771195535e-08
1907,1.5428530275585217e-07,2.5714215978744903e-08
1908,1.8123026279681653e-07,1.2278472460991452e-08
1909,1.9363461944976734e-07,1.3202360149566772e-08
1910,2.201790039180196e-07,3.366815048977401e-08
1911,1.8887328678829363e-07,1.8621310271527136e-08
1912,1.7295278098572453e-07,4.792667629427427e-08
1913,1.7022597376126214e-07,1.5908969031031006e-08
1914,2.2233189156395383e-07,5.357394972094198e-09
1915,1.4372530188211385e-07,2.3561524176152204e-08
1916,1.6151568615896394e-07,1.5382447093870155e-08
1917,2.061687780496868e-07,1.0966424657254947e-08
