year,autres_ADJ airs_NOUN,autres_ADJ cerfs_NOUN
1800,6.60274537267469e-08,1.2576657937302116e-08
1801,6.429193177837078e-08,1.4287095950749062e-08
1802,3.5805442166747525e-08,4.475680270843441e-09
1803,4.6808139586573816e-08,2.3404069793286908e-08
1804,8.651478111687538e-08,7.4155528384522995e-09
1805,3.980028751016107e-08,3.1271653710973624e-08
1806,1.2103009794373065e-07,0.0
1807,2.8469550272802735e-08,1.4234775136401367e-08
1808,3.172503681980743e-08,2.7192887941396293e-08
1809,9.036122294858728e-09,2.25903047379461e-08
1810,9.594519356781461e-08,3.7442028588685616e-08
1811,4.763445815569867e-08,2.5070767684098882e-09
1812,8.801787032552966e-08,1.8670457180292033e-08
1813,3.163315653864629e-08,2.300593315851529e-08
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,1.8880564667256294e-08,0.0
1816,5.7940098940889584e-08,3.476405652236281e-08
1817,8.56280379935015e-08,1.0431051900017252e-07
1818,6.079800130009971e-08,8.344824387052086e-09
1819,7.866798057420965e-08,9.315945348475907e-09
1820,4.390598107306687e-08,3.678609061807947e-08
1821,5.719663320746804e-08,1.972297702934611e-08
1822,6.015369535816717e-08,2.2056354964661296e-08
1823,4.249555374258307e-08,5.5343048366296443e-08
1824,5.3053010873327366e-08,1.51580028528997e-08
1825,6.251864448358901e-08,3.3460683113162304e-08
1826,5.5490302908189904e-08,5.284790383086602e-09
1827,3.041700225026034e-08,7.373818333711313e-09
1828,2.7516904310687096e-08,1.1923991571904935e-08
1829,2.4862210068476998e-08,1.5431716349212365e-08
1830,5.218418053232199e-08,9.39315203396518e-09
1831,4.5214498811674275e-08,7.795603051974354e-09
1832,3.788391467196561e-08,2.570694235259907e-08
1833,7.52935847003755e-08,2.3167257001688313e-09
1834,3.733812548034621e-08,1.9602515832772838e-08
1835,3.6302822081779595e-08,5.142899794918776e-08
1836,1.0753200108126748e-08,1.0753200108126748e-08
1837,2.99189295560609e-08,3.6876822484543936e-08
1838,4.86036455527028e-08,6.943378316748294e-09
1839,5.2436064379435265e-08,6.9914749545318955e-09
1840,5.159447979963261e-08,6.3696887764308485e-09
1841,2.6966304744746594e-08,1.6051371787284552e-08
1842,3.287049921141261e-08,4.695785538189057e-09
1843,2.4809025944705354e-08,5.1390124156114325e-08
1844,3.622450606144412e-08,4.116420981858937e-08
1845,4.0177642546268544e-08,3.794554892522228e-08
1846,1.5807152919933287e-08,2.751615646445771e-08
1847,2.9123407685460734e-08,5.3932236454556914e-09
1848,2.654923214606697e-08,8.045221711050488e-10
1849,2.8490010350878947e-08,4.189707469848258e-09
1850,1.425689166723032e-08,9.504594444820214e-09
1851,3.353708066811123e-08,3.8696632564949596e-09
1852,6.640756566866912e-08,1.6276363590250753e-08
1853,3.4040009921909586e-08,1.5527022778627497e-08
1854,2.5458755104068587e-08,8.832629738719788e-09
1855,3.131092896069276e-08,1.4328730202350926e-08
1856,4.711242240773572e-08,8.28350277259915e-09
1857,2.0502337605421417e-08,3.4170564155999728e-09
1858,1.859596826525589e-08,8.31924928945682e-09
1859,3.258990943777462e-08,5.092173349652285e-09
1860,2.654766717569146e-08,5.9503392213500206e-09
1861,3.3483342321005694e-08,8.017138508620292e-09
1862,3.7047489076513784e-08,7.22877824266277e-09
1863,2.8469337998160427e-08,3.995696662428827e-09
