year,voulez_VERB avoir_VERB,voulez_VERB savoir_VERB
1800,2.7668647817336023e-07,2.6096566330124915e-07
1801,2.8574191901498125e-07,3.000290007548756e-07
1802,2.394488944901241e-07,1.8126505096915935e-07
1803,2.4379241381211614e-07,3.5496174177751527e-07
1804,2.5707248596518184e-07,3.58418390078441e-07
1805,2.842877790953935e-07,4.0368863096773566e-07
1806,2.0748018414451508e-07,3.112202762167726e-07
1807,1.7935816742919997e-07,2.3629726797480544e-07
1808,1.1783584596969376e-07,2.1074488643080258e-07
1809,1.965356517530381e-07,2.4849336455190496e-07
1810,2.667744638529257e-07,4.1420244656364957e-07
1811,1.8803075363393873e-07,1.855236746450828e-07
1812,2.507175622668001e-07,2.90725694185312e-07
1813,1.6104152678053651e-07,3.192073165791953e-07
1814,1.1642705288750221e-07,2.0768068509369186e-07
1815,1.9150287755564932e-07,1.591361922237411e-07
1816,2.2712518443768204e-07,3.824046359568456e-07
1817,2.537703664984292e-07,3.565239978797763e-07
1818,2.837240344888414e-07,3.8028557014513353e-07
1819,2.0081037632735388e-07,2.7844325245496293e-07
1820,1.981702411057995e-07,2.586892833278398e-07
1821,3.5994432323604997e-07,4.6940684228502505e-07
1822,2.4161732881111675e-07,4.651885774364928e-07
1823,1.887593157334777e-07,3.528119236761995e-07
1824,2.627387232223555e-07,2.3494904155541008e-07
1825,3.4429282891323965e-07,2.9057960659883975e-07
1826,2.651203203640762e-07,3.170874265379098e-07
1827,2.1199727484599862e-07,2.3964909701135184e-07
1828,1.9995616185042309e-07,2.7150011305820954e-07
1829,1.9546841656392644e-07,3.0434773634624435e-07
1830,2.2126091892005206e-07,4.310413146413339e-07
1831,1.855353559676587e-07,3.726298132278316e-07
1832,3.3824923661995854e-07,4.1807604134191934e-07
1833,2.6063165137202304e-07,3.3824196066234435e-07
1834,2.4363126271964575e-07,3.7804849739586643e-07
1835,2.821031728217349e-07,3.40338942805829e-07
1836,2.889922541271517e-07,3.9450802091778314e-07
1837,2.929272113760817e-07,3.3815351230259694e-07
1838,1.9378336446607136e-07,2.840472745901934e-07
1839,2.8455303890950745e-07,2.7686240855473443e-07
1840,1.598791925516707e-07,3.299498700926051e-07
1841,2.093098885325162e-07,3.3643675578787224e-07
1842,2.3478928312670178e-07,3.4413400840094255e-07
1843,2.173743212097179e-07,3.130662946659868e-07
1844,2.6180435952483094e-07,3.315091134936665e-07
1845,1.9809809259641042e-07,4.0121838651430153e-07
1846,1.879294870832382e-07,3.219975610591064e-07
1847,1.4777432966184278e-07,2.545601489600813e-07
1848,2.4537925469303445e-07,3.161772212934011e-07
1849,2.1367507940794894e-07,2.5724804686433345e-07
1850,2.3625706546681613e-07,2.0842217907102167e-07
1851,1.6962023607902665e-07,2.3540451365988702e-07
1852,1.9010792584595038e-07,3.151104124299309e-07
1853,2.030456869306363e-07,3.571215358988411e-07
1854,2.3172663077275502e-07,3.299246884580498e-07
1855,2.218299641754129e-07,2.8710530841635773e-07
1856,2.562708800724067e-07,3.3185781944666815e-07
1857,2.0063002637016325e-07,3.2803740168674267e-07
1858,1.6247004452907277e-07,3.866004192332184e-07
1859,2.1896345003824536e-07,2.9738291118519555e-07
1860,2.1512764192266332e-07,2.9248204214127327e-07
1861,2.645655570177041e-07,3.5181088264835125e-07
1862,2.4306766022164084e-07,4.5812379312337725e-07
1863,2.0627784635962598e-07,3.9207773738780816e-07
1864,1.91309638353232e-07,3.6200196973368293e-07
1865,1.8733240381152427e-07,4.1561435182302375e-07
1866,2.1554664897394105e-07,3.5421660982137837e-07
1867,2.2614101169438072e-07,3.785193030125811e-07
1868,1.7931742490873148e-07,3.275136464253592e-07
1869,2.510128922494914e-07,4.2095933849850553e-07
1870,2.2018747358742985e-07,3.3486844586150255e-07
1871,1.9649178284453228e-07,2.485355423686997e-07
1872,2.50359846631909e-07,2.5156930405501043e-07
1873,2.328555694930401e-07,3.4359666756245133e-07
1874,1.905900290921636e-07,2.670650189884327e-07
1875,2.437370483221457e-07,3.3184858239110326e-07
1876,1.9468167522518343e-07,3.180203691499628e-07
1877,1.73174854012359e-07,2.6038074452117144e-07
1878,1.2802867388472805e-07,2.0714074366878776e-07
1879,2.309324997895601e-07,2.425402101380314e-07
1880,2.6826597832041443e-07,2.804598864258878e-07
1881,1.8686320402139245e-07,3.76515401967481e-07
1882,2.2295540702543803e-07,3.713705041263893e-07
1883,1.5040026823953667e-07,2.6541223974163586e-07
1884,1.7230429705250572e-07,2.1785599813028966e-07
1885,1.7661041340488737e-07,2.2882007044700003e-07
1886,1.2584254704961495e-07,2.071561908678632e-07
1887,1.4885948473875033e-07,2.226363307045176e-07
1888,1.356891488057954e-07,1.6992846951779939e-07
1889,1.4848373552922567e-07,2.581236344667559e-07
1890,1.5992702628864208e-07,2.4513406060577836e-07
1891,1.185604929787587e-07,2.4285779431920673e-07
1892,1.3289246680869837e-07,1.936970335236765e-07
1893,1.4964952299578727e-07,2.0076437579064077e-07
1894,1.0964678409663975e-07,2.602535857931798e-07
1895,1.2277973837626632e-07,1.986142734722307e-07
1896,1.244273164502374e-07,2.028577910095919e-07
1897,1.4508516699152096e-07,1.701400407227993e-07
1898,1.5786810081408476e-07,1.8446236538238736e-07
1899,1.3432016032766114e-07,2.553741182964586e-07
1900,1.5313607093503379e-07,1.78572221898321e-07
1901,8.550770758120052e-08,1.6486779941260465e-07
1902,1.1244549824596106e-07,1.5614702419952664e-07
1903,1.1826482193555421e-07,1.7172700950141007e-07
1904,1.2039160424137663e-07,1.8972427540120407e-07
1905,1.2282606576263788e-07,1.67208597190438e-07
1906,8.230695414113143e-08,1.7747436231729807e-07
1907,1.1725683179975022e-07,1.6405670066887978e-07
1908,1.3850117852598487e-07,2.1315428000434622e-07
1909,1.5567783862024953e-07,1.738310828613976e-07
1910,1.3200052251249872e-07,1.8597644668716384e-07
1911,1.1119581699858827e-07,1.9738588719064865e-07
1912,1.4325908637147222e-07,2.1358627577683365e-07
1913,1.431807277185726e-07,2.2696795554111304e-07
1914,1.0179050491387898e-07,2.270196119980028e-07
1915,1.0720493293092659e-07,1.6964297344657098e-07
1916,2.3623043432507984e-07,2.0326804417436506e-07
1917,1.4804672332502378e-07,2.204251359216869e-07
1918,1.274987795341076e-07,1.619578995359916e-07
1919,1.1417731826668387e-07,1.9981031584848097e-07
1920,9.313845339420368e-08,2.1050804832611902e-07
1921,7.875657104250422e-08,1.5827042432192684e-07
1922,8.92730227519678e-08,1.8813734925515746e-07
1923,1.1359064444604883e-07,1.8684067981666885e-07
1924,1.0184383114619777e-07,2.281817472749026e-07
1925,1.4957521443648147e-07,1.9246810722961527e-07
1926,9.36275625917915e-08,2.329542923007466e-07
1927,1.5497423078159045e-07,2.385934010362689e-07
1928,9.940655587570291e-08,1.8624447761794727e-07
1929,1.1808830890913669e-07,2.0052731031228177e-07
1930,8.928063266466779e-08,2.4893540739867603e-07
1931,1.0036713860017699e-07,1.6879927500212943e-07
1932,1.1288322809832607e-07,1.8192831419128197e-07
1933,7.341223806633934e-08,1.6632459676202416e-07
1934,9.585264137967897e-08,1.7373291427702497e-07
1935,8.976213194955562e-08,1.9388620842164528e-07
1936,8.00231134689966e-08,1.4792151148412813e-07
1937,9.065605155456069e-08,1.5361163718807802e-07
1938,9.334954143014329e-08,1.58175609499267e-07
1939,8.870549095263414e-08,1.5294050115244318e-07
1940,5.832300686847702e-08,9.128818589942966e-08
1941,5.312704587367989e-08,1.5052663115966425e-07
1942,3.6410540360520827e-08,1.9722376976005762e-07
1943,5.516146828199453e-08,1.8871028828471026e-07
1944,9.960876923287287e-08,1.4780655988033686e-07
1945,7.62476446425353e-08,2.3092142953373695e-07
1946,8.07424029858339e-08,1.7958224418634927e-07
1947,9.536697120893223e-08,2.3841741381147585e-07
1948,1.2285232742215157e-07,1.9895554714821628e-07
1949,8.049946842447753e-08,1.963401672355758e-07
1950,9.146410917537651e-08,2.0313540005645336e-07
1951,9.808489664919762e-08,1.9403751139179803e-07
1952,9.91211592804575e-08,1.7504375193766464e-07
1953,9.480967833042087e-08,2.2086345552452258e-07
1954,8.502106396690579e-08,2.3454086317542533e-07
1955,8.634759041115103e-08,2.0836048975070298e-07
1956,8.808353157974125e-08,1.9884203084075125e-07
1957,7.863183526524153e-08,1.731667396143166e-07
1958,6.783239570040678e-08,2.0597886418727285e-07
1959,8.370807336177677e-08,2.2632183060977695e-07
1960,1.045045863179439e-07,2.207745808391337e-07
1961,8.268309414916075e-08,1.9663291084270895e-07
1962,8.688480335194981e-08,2.2577364688913804e-07
1963,6.72469511187046e-08,2.082069130437958e-07
1964,1.2228775858602603e-07,2.330159816210653e-07
1965,7.9344630421474e-08,2.1669291072612396e-07
1966,1.0358069602034448e-07,1.9940668494200509e-07
1967,8.036447241011047e-08,2.2827454415619286e-07
1968,1.2486135858580383e-07,2.50621013719865e-07
1969,9.991867244707464e-08,2.0029152381084714e-07
1970,9.703309444830666e-08,1.6463435770219803e-07
1971,8.838043896730596e-08,2.0193901661968994e-07
1972,7.69522046084603e-08,1.898154380342021e-07
1973,9.70323839055709e-08,2.001292926934184e-07
1974,9.225937702694864e-08,2.396493528067367e-07
1975,8.452990840623897e-08,1.770558810676448e-07
1976,7.313314398516013e-08,2.0340155515441438e-07
1977,7.228441489814941e-08,2.0333665418093005e-07
1978,8.732668987931902e-08,2.079206922189769e-07
1979,7.900163723206788e-08,2.1652301995800372e-07
1980,9.153092861424739e-08,2.478725775745261e-07
1981,8.666003026291946e-08,2.3657555914269324e-07
1982,7.759378206628753e-08,2.3526433778897626e-07
1983,6.44162270191373e-08,2.532441669700347e-07
1984,1.0902135727519635e-07,2.7603280727817037e-07
1985,9.023337099733908e-08,2.1716164155805018e-07
1986,8.692003916621616e-08,2.76345787142418e-07
1987,8.371819149033399e-08,2.303777932866069e-07
1988,8.39517539930057e-08,2.2007353095432336e-07
1989,9.49445109199587e-08,2.859311791780783e-07
