year,meilleures_ADJ heures_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,1.421438877713399e-08
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,4.4034472068688046e-08
1817,4.670620334934483e-09
1818,0.0
1819,3.1053151161586356e-09
1820,2.3732962262101864e-09
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,1.1789557774477544e-08
1825,3.522177216552791e-09
1826,0.0
1827,9.217273055917019e-10
1828,1.8344602503717056e-09
1829,1.714635211591542e-09
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,2.20088942626262e-08
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,2.4866775305554256e-08
1837,1.1828414692161004e-08
1838,1.2624323808552163e-09
1839,1.3982949909063791e-08
1840,6.3696887764308485e-09
1841,1.6693427085101575e-08
1842,4.024959032733477e-09
1843,4.134837805480629e-09
1844,1.5367971784030487e-08
1845,9.48638767539478e-09
1846,9.952652035849496e-09
1847,5.3932236454556914e-09
1848,6.43617736884039e-09
1849,1.3407063903514427e-08
1850,6.788996032014438e-09
1851,7.094382858952031e-09
1852,9.765818376195057e-09
1853,1.3735443005202796e-08
1854,2.286092382064453e-08
1855,1.3798036491152743e-08
1856,3.572260709461261e-08
1857,2.0990489346672803e-08
1858,1.5170396494568195e-08
1859,2.9025388315062628e-08
1860,3.4328881071132855e-08
1861,3.065376574795664e-08
1862,2.936691068100572e-08
1863,5.094513255698985e-08
1864,2.685047562067666e-08
1865,2.2592853810010638e-08
1866,2.1408697037372804e-08
1867,4.270474107670452e-08
1868,1.877152122631287e-08
1869,2.3440891894210836e-08
1870,4.9886224928741285e-08
1871,3.186353225714811e-08
1872,2.4794090336399677e-08
1873,3.591602748542755e-08
1874,4.122480135038131e-08
1875,1.830888685105947e-08
1876,2.2974855795609983e-08
1877,2.3502300550148902e-08
1878,1.69094480639842e-08
1879,4.215434401544371e-08
1880,2.888030792291829e-08
1881,2.8587281875047665e-08
1882,5.324308105514319e-08
1883,6.319339007632152e-08
1884,5.479408571318345e-08
1885,5.414333870135124e-08
1886,3.484870347847391e-08
1887,4.6355363991779086e-08
1888,4.057993407968752e-08
1889,3.4458253139746375e-08
1890,2.7528423984790606e-08
1891,3.6970476458009216e-08
1892,4.011847920537548e-08
1893,4.002970754868329e-08
1894,3.591877373310126e-08
1895,5.2963805785566365e-08
1896,5.366296207398591e-08
1897,3.6708296846654775e-08
1898,4.0740154361174064e-08
1899,3.814029270188257e-08
1900,4.983411017178696e-08
1901,3.7444550571308355e-08
1902,4.075535642300565e-08
1903,3.67214987306852e-08
1904,3.117282432185675e-08
1905,2.631987072732045e-08
1906,5.761486576716379e-08
1907,4.2685599055403145e-08
1908,6.433919708115354e-08
1909,4.34577707153494e-08
1910,6.680188135987919e-08
1911,5.533189195716659e-08
1912,5.0010442009806866e-08
1913,4.7726906871048413e-08
1914,2.678697441638178e-08
1915,4.005459075528961e-08
1916,6.262853702310167e-08
1917,5.3735480065597585e-08
1918,4.709414369585829e-08
1919,6.537572261322566e-08
1920,6.66356356759934e-08
1921,4.543648302046677e-08
1922,5.4596721810185045e-08
1923,4.564857647437748e-08
1924,5.0277336072213075e-08
1925,4.8391981977147225e-08
1926,5.461607699430715e-08
1927,5.1286434654684854e-08
1928,4.570416578530967e-08
1929,4.121950425428622e-08
1930,5.2518018378577835e-08
1931,3.9918749195066994e-08
1932,3.3974561830518724e-08
1933,4.817677989876756e-08
1934,3.2350264689284813e-08
1935,3.949533677882755e-08
1936,2.424942913137329e-08
1937,4.1550688223424004e-08
1938,6.093650739558143e-08
1939,3.364691281149135e-08
1940,2.028626333583361e-08
1941,3.836953510472085e-08
1942,3.6410540360520827e-08
1943,3.4838823381733164e-08
1944,5.1410978585408884e-08
1945,4.1391576388605245e-08
