year,deux_DET sentiers_NOUN
1800,9.432493897065797e-09
1801,5.9529565277216534e-08
1802,3.5805442166747525e-08
1803,2.145373123596528e-08
1804,6.673997887673977e-08
1805,5.970043215342002e-08
1806,2.305335300434308e-08
1807,4.555128185756985e-08
1808,9.064295980465431e-09
1809,3.6144488291256494e-08
1810,7.254392997424475e-08
1811,3.7606151082059114e-08
1812,5.067695596494559e-08
1813,1.4378708002027452e-08
1814,0.0
1815,2.4275011778485123e-08
1816,2.7811246638975717e-08
1817,2.1796228155679387e-08
1818,4.053200441944682e-08
1819,3.001804493862892e-08
1820,4.153268484685668e-08
1821,3.550135907470775e-08
1822,2.2056354964661296e-08
1823,2.569498569471307e-08
1824,3.368445256057839e-08
1825,3.2580137920845686e-08
1826,1.5854372037438225e-08
1827,2.3043182473259094e-08
1828,8.255071126672675e-09
1829,2.0575622095009294e-08
1830,3.548524118990315e-08
1831,6.704218291631037e-08
1832,1.7588960066206027e-08
1833,3.59092489077284e-08
1834,2.42697808516823e-08
1835,4.310960122211327e-08
1836,2.6210924986003192e-08
1837,2.504840823647214e-08
1838,2.1461350030449466e-08
1839,2.237272145322322e-08
1840,3.24854127486951e-08
1841,1.6693425752833946e-08
1842,2.3478928135034494e-08
1843,1.1813822142769936e-08
1844,3.567564665907241e-08
1845,2.3994979891917012e-08
1846,2.9272506196775794e-08
1847,1.3483059113639229e-08
1848,3.2180887066246555e-08
1849,2.8490011683146577e-08
1850,2.5119284430275002e-08
1851,2.966741918797311e-08
1852,4.492276417522589e-08
1853,2.2693341206192486e-08
1854,2.0263090760863633e-08
1855,3.078023524949458e-08
1856,5.487820509131325e-08
1857,3.75876205715997e-08
1858,2.936205634185285e-08
1859,2.851617009191898e-08
1860,2.746310379109218e-08
1861,2.971057133649424e-08
1862,2.5300723738297393e-08
1863,2.4973104750802833e-08
1864,2.7809422320501653e-08
1865,4.0478859819614854e-08
1866,2.0435573677701768e-08
1867,4.901339600849042e-08
1868,3.902500567143363e-08
1869,4.444002543735337e-08
1870,2.6376623996071658e-08
1871,3.5049883884141764e-08
1872,4.595977864951806e-08
1873,1.496501056408306e-08
1874,2.867812365359157e-08
1875,3.89063856687244e-08
1876,2.0556449875641647e-08
1877,2.0409893108919164e-08
1878,3.1403260214446505e-08
1879,2.7491963261461194e-08
1880,4.364135341994313e-08
1881,2.510102770081346e-08
1882,1.8635079035433932e-08
1883,2.7805091562527195e-08
1884,2.706695756415911e-08
1885,2.9005360113742995e-08
1886,4.1947515239115774e-08
1887,6.920659800790929e-08
1888,2.599652049184442e-08
1889,2.8819629793730428e-08
1890,3.1461055982617836e-08
1891,1.9760081126918294e-08
1892,3.13425623232888e-08
1893,3.879802479289651e-08
1894,4.4110775476724484e-08
1895,3.1898656827067384e-08
1896,4.245860768525844e-08
1897,4.7196381025571554e-08
1898,3.225262279471508e-08
1899,4.4220625383672996e-08
1900,2.85507917308081e-08
1901,2.9620317087974968e-08
1902,1.8659077838378835e-08
1903,2.3220946943069976e-08
1904,1.4511488011237361e-08
1905,3.1996705729397945e-08
1906,2.520650421722337e-08
1907,4.217131532868734e-08
1908,3.045061180984021e-08
1909,2.4204327875310128e-08
1910,1.9773357173846762e-08
1911,2.6601870040110498e-08
1912,3.021464278774033e-08
1913,1.856046472070716e-08
1914,1.4063161746236119e-08
1915,2.709575230852579e-08
1916,1.7579939060041738e-08
1917,1.3159709433274713e-08
1918,2.986458014220261e-08
1919,2.2098835428252528e-08
1920,1.514446301698058e-08
1921,2.574734203619755e-08
1922,1.9920425642361295e-08
1923,2.1231896241147297e-08
1924,2.8361574200275186e-08
1925,3.189471620146378e-08
1926,3.6782258128198464e-08
1927,3.1217830542829006e-08
1928,2.2852082781632532e-08
1929,3.787738167559951e-08
1930,1.155396367469308e-08
1931,2.3951248984133144e-08
1932,1.205549005067752e-08
1933,3.555905236929391e-08
1934,1.7972370258689807e-08
1935,1.3165112555668657e-08
1936,2.182448710641438e-08
1937,2.8959572406783707e-08
1938,2.074434313215079e-08
1939,2.4470480752825097e-08
1940,1.7750480640899013e-08
1941,2.066051862925633e-08
1942,2.730790527039062e-08
1943,2.322588166236983e-08
1944,1.6065930807940276e-08
1945,4.357007954425285e-08
1946,3.062642939255511e-08
1947,2.5033829231801974e-08
1948,8.697510267552389e-09
1949,1.6688914139528777e-08
1950,1.2762433998503298e-08
1951,2.9851925376078725e-08
1952,2.214408811873625e-08
1953,2.26250382873161e-08
1954,1.856781861597767e-08
1955,2.0648337706319353e-08
1956,1.2209598221346596e-08
1957,2.4738105619537265e-08
1958,1.3235589513271862e-08
1959,2.325224279786653e-08
1960,2.3530833948015584e-08
1961,1.3896318540318475e-08
1962,3.7417541509654484e-08
1963,2.2631186702426476e-08
1964,2.3119079761713124e-08
1965,1.6963334070752012e-08
1966,1.6617224152248866e-08
1967,2.3172576746333107e-08
1968,2.3355361866705948e-08
1969,2.134626109207005e-08
1970,2.5292986816083385e-08
1971,2.003975030362426e-08
1972,2.2059631232806964e-08
1973,2.205281557365879e-08
1974,1.6876715580593782e-08
1975,1.8847885030481848e-08
1976,1.7711933197883667e-08
1977,1.7630345627850375e-08
1978,2.019801104147234e-08
1979,1.697072249395859e-08
1980,2.501466345172787e-08
1981,2.213942373874289e-08
1982,1.8622506203769262e-08
1983,2.7787390832756387e-08
1984,2.3775934110403796e-08
1985,1.4437338990980209e-08
1986,2.2779043984400005e-08
1987,1.0999470501094066e-08
1988,1.679035044332977e-08
1989,2.250130037850795e-08
1990,1.798054749535538e-08
1991,2.4032007939212008e-08
1992,1.818281503140895e-08
1993,1.32940979336027e-08
1994,2.05722139323683e-08
1995,1.843633334885908e-08
1996,1.3879039695297024e-08
1997,1.3425704215030976e-08
1998,2.0979768700080115e-08
1999,1.553868367309974e-08
2000,1.767212509662386e-08
2001,1.883921085799045e-08
2002,1.533427496092088e-08
2003,1.7084384795751362e-08
2004,2.55477894395284e-08
2005,1.3511248564412881e-08
2006,2.9648806521009874e-08
2007,3.435252260430843e-08
2008,3.66139802920884e-08
2009,4.8635564908749984e-08
2010,4.86550693068466e-08
2011,1.0783600856711928e-07
2012,7.148930514233598e-08
2013,1.0403436689898626e-07
2014,6.041592026662101e-08
2015,8.489483960261168e-08
2016,7.974659155252084e-08
2017,6.666369944952066e-08
2018,6.453666756556231e-08
2019,7.168275395486035e-08
