year,véritables_ADJ hommes_NOUN,véritables_ADJ sommes_NOUN
1800,7.860410988769218e-08,6.288328968651058e-09
1801,5.714838380299625e-08,0.0
1802,7.832440473976021e-08,0.0
1803,6.046051481689574e-08,0.0
1804,6.426812149129546e-08,0.0
1805,5.401467717547348e-08,0.0
1806,4.3225035994964855e-08,8.645007376628655e-09
1807,4.555128185756985e-08,0.0
1808,5.211970233176544e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,4.44624070894406e-08,2.3401267590372754e-09
1811,2.5070768572277302e-08,5.0141535368197765e-09
1812,2.1337665856435706e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.4474714760126517e-07,0.0
1815,8.90083740046066e-08,0.0
1816,7.184571870766376e-08,0.0
1817,7.472992535895173e-08,0.0
1818,1.0848271614349869e-07,0.0
1819,1.2938812687934842e-07,0.0
1820,5.22125169766241e-08,3.5599443393152796e-09
1821,8.973954379598581e-08,0.0
1822,8.321261191213125e-08,0.0
1823,7.906149335212831e-08,0.0
1824,8.000056794799093e-08,0.0
1825,1.259178361578961e-07,0.0
1826,9.160303449107232e-08,0.0
1827,6.820781806027298e-08,0.0
1828,7.613009955775851e-08,0.0
1829,9.944884027390799e-08,6.858540846366168e-09
1830,6.053365098068753e-08,0.0
1831,5.6128342862393765e-08,1.091384405071949e-08
1832,1.5153565868786245e-07,6.764984572527055e-09
1833,6.602667923516492e-08,0.0
1834,7.841006066655609e-08,0.0
1835,6.806779140333674e-08,6.050470346963266e-09
1836,5.309392392405243e-08,0.0
1837,5.705470584871364e-08,0.0
1838,7.574594462766981e-08,6.312161904276081e-10
1839,1.1046530801195331e-07,5.5931801412612e-09
1840,9.490835850556323e-08,0.0
1841,6.741576186186649e-08,0.0
1842,8.989075439558292e-08,0.0
1843,1.1045923997698992e-07,0.0
1844,1.3995831693591754e-07,0.0
1845,9.263178668561522e-08,0.0
1846,1.1884637984849178e-07,0.0
1847,1.1325769833092636e-07,0.0
1848,1.8584462679882563e-07,0.0
1849,9.133562173246901e-08,0.0
1850,1.0251383741888276e-07,0.0
1851,1.0190112931240947e-07,0.0
1852,1.1393454713015672e-07,0.0
1853,9.674529621861438e-08,0.0
1854,7.793496337171746e-08,2.0782657816909023e-09
1855,8.650307847801741e-08,0.0
1856,7.403380664072756e-08,3.6240324075009767e-09
1857,7.56633937726292e-08,5.857811125054013e-09
1858,6.410715513993637e-08,9.787352039936081e-10
1859,9.98065985413632e-08,0.0
1860,8.742421186980209e-08,4.577183909670879e-10
1861,1.089387637875916e-07,0.0
1862,1.0301008757096497e-07,0.0
1863,9.789457067199692e-08,9.989241434027463e-09
1864,9.253825083987977e-08,4.794727948009836e-10
1865,1.1108152619954126e-07,0.0
1866,7.103794530394225e-08,0.0
1867,4.755755256269367e-08,0.0
1868,8.595380762699278e-08,4.93987406535723e-10
1869,6.592750878553488e-08,1.4650557433881772e-09
1870,6.938198993111655e-08,5.160643912205387e-09
1871,1.4869648623516696e-07,3.18635318130589e-09
1872,7.740594298866199e-08,0.0
1873,7.42264560926742e-08,0.0
1874,7.468261742360482e-08,0.0
1875,7.83849216645649e-08,0.0
1876,7.85981910667033e-08,0.0
1877,7.916564470633602e-08,0.0
