year,trois_DET airs_NOUN,trois_DET cerfs_NOUN
1800,4.087413785214267e-08,0.0
1801,8.096020565062645e-08,2.3811825844433088e-09
1802,1.7902721083373763e-08,1.3427040812530322e-08
1803,2.145373123596528e-08,0.0
1804,1.1123329102247226e-07,7.4155528384522995e-09
1805,0.0,2.842877755426798e-08
1806,1.613734639249742e-07,0.0
1807,2.2775641372874134e-08,2.562259560079383e-08
1808,1.5862518409903714e-08,3.6257184365950934e-08
1809,8.132509776714869e-08,0.0
1810,2.106114083133548e-08,0.0
1811,8.524060923775778e-08,0.0
1812,7.20146218213813e-08,5.867858021701977e-08
1813,1.552900432688631e-07,1.1502966579257645e-08
1814,4.090680105761635e-08,1.5733386149463513e-08
1815,1.0788894222457657e-08,4.315557688983063e-08
1816,1.3905623319487859e-08,4.6352077731626196e-09
1817,1.5568734412774177e-08,0.0
1818,1.1921177378582115e-08,2.384235475716423e-09
1819,2.5877625819958894e-08,5.175524897538253e-09
1820,3.441279616822612e-08,3.5599443393152796e-09
1821,4.5362847478358503e-08,4.9307441463142254e-09
1822,3.308453244699194e-08,1.0025615893027862e-09
1823,7.906149623870817e-09,6.9178810457870554e-09
1824,3.452656205382709e-08,1.6842225392110777e-09
1825,1.8491430608946757e-08,1.144707595379657e-08
1826,2.2019961409824873e-08,1.0569580766173203e-08
1827,1.1982455361270183e-08,0.0
1828,1.7427372434042354e-08,9.172301418391982e-09
1829,4.972442174677738e-08,2.4004892296147773e-08
1830,5.0096812920230605e-08,1.1480519646056564e-08
1831,4.989186042081428e-08,1.4032085715598441e-08
1832,3.5177921020590475e-08,4.058990921151917e-09
1833,4.2859427118457916e-08,1.1583628500844156e-09
1834,2.0535967593104942e-08,1.8669061851994684e-09
1835,3.327758690829796e-08,2.0420337421001022e-08
1836,2.419469957715137e-08,6.720750067579218e-10
1837,1.87863058442872e-08,8.349468672008697e-09
1838,1.704283669745621e-08,7.574594285131298e-09
1839,4.824117816326634e-08,4.194885327990505e-09
1840,2.9300568360479673e-08,2.2930879195470766e-08
1841,2.8892467973662406e-08,1.5409316489467528e-08
1842,2.68330611064016e-08,8.049918065466954e-09
1843,1.8311423488626133e-08,2.303695378902404e-08
1844,1.866110915793584e-08,2.25031016043431e-08
1845,1.3950569588416784e-08,1.2834524387717039e-08
1846,1.2294452567118697e-08,7.025401815852206e-09
