year,fus_VERB en_PRON,fus_VERB sans_ADP
1800,3.144164484325529e-09,2.2009151834367913e-08
1801,7.143547975374531e-09,2.8574191901498125e-08
1802,0.0,4.475680270843441e-09
1803,0.0,1.3652374342143503e-08
1804,0.0,2.9662210465630778e-08
1805,0.0,2.2743021688143017e-08
1806,2.881669125542885e-09,4.610670600868616e-08
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,4.518061036407062e-09,4.518061036407062e-09
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,0.0,1.504245972228091e-08
1812,0.0,8.00162425207418e-09
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,0.0,5.034683425719777e-08
1815,8.091670444798638e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,6.721051448721482e-08
1817,3.113746815941454e-09,7.784366928831332e-09
1818,0.0,4.768470951432846e-09
1819,1.035105001712111e-09,2.173720581311045e-08
1820,1.1866481131050932e-09,1.6613073583471305e-08
1821,9.86148829262845e-10,9.861488514673056e-09
1822,2.0051231786055723e-09,2.4061478143266868e-08
1823,8.894418535021487e-09,9.882686669016039e-09
1824,2.0210670470532932e-08,3.452656116564867e-08
1825,0.0,4.3146670236637874e-08
1826,8.807984341885344e-10,2.290075862276808e-08
1827,0.0,8.295545583791863e-09
1828,2.8434133270138773e-08,2.384798314380987e-08
1829,6.001223074036943e-09,2.914879893012312e-08
1830,3.1310507520032616e-09,4.800944353178238e-08
1831,0.0,4.677361609140007e-09
1832,1.352996914505411e-08,3.3824925083081325e-08
1833,1.0425265983826648e-08,2.548398292390175e-08
1834,1.8669061851994684e-09,2.0535967593104942e-08
1835,3.025235173481633e-09,2.949604294144592e-08
1836,6.048674894287842e-09,2.2850549896702432e-08
1837,1.3915781860163179e-09,2.5048407792382932e-08
1838,6.312161904276081e-10,3.219202682203104e-08
1839,6.9914751765765e-10,3.4957377437194737e-08
1840,2.5478754661634184e-09,2.993753511759678e-08
1841,5.1364388298225094e-09,2.0545755319290038e-08
1842,4.695785538189057e-09,2.2137275124123335e-08
1843,0.0,1.7130041385371442e-08
1844,5.488561272137815e-10,1.2623690537338916e-08
