year,autres_ADJ airs_NOUN,autres_ADJ serres_NOUN
1800,6.60274537267469e-08,0.0
1801,6.429193177837078e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,4.6808139586573816e-08,1.5602713787643552e-08
1804,8.651478111687538e-08,1.2359254952798437e-08
1805,3.980028751016107e-08,5.685755422035754e-09
1806,1.2103009794373065e-07,0.0
1807,2.8469550272802735e-08,0.0
1808,3.172503681980743e-08,0.0
1809,9.036122294858728e-09,6.7770917766551975e-09
1810,9.594519356781461e-08,0.0
1811,4.763445815569867e-08,0.0
1812,8.801787032552966e-08,0.0
1813,3.163315653864629e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,8.56280379935015e-08,0.0
1818,6.079800130009971e-08,1.1921177378582115e-09
1819,7.866798057420965e-08,0.0
1820,4.390598107306687e-08,5.933240565525466e-09
1821,5.719663320746804e-08,9.86148829262845e-10
1822,6.015369535816717e-08,3.0076847679083585e-09
1823,4.249555374258307e-08,0.0
1824,5.3053010873327366e-08,8.421112696055388e-10
1825,6.251864448358901e-08,1.7610886970942374e-08
1826,5.5490302908189904e-08,1.7615968683770689e-09
1827,3.041700225026034e-08,0.0
1828,2.7516904310687096e-08,9.172301251858528e-10
1829,2.4862210068476998e-08,6.001223074036943e-09
1830,5.218418053232199e-08,6.262101504006523e-09
1831,4.5214498811674275e-08,0.0
1832,3.788391467196561e-08,1.3529969367098715e-09
1833,7.52935847003755e-08,1.1583628500844156e-09
1834,3.733812548034621e-08,2.146942046366007e-08
1835,3.6302822081779595e-08,1.0588323107185715e-08
1836,1.0753200108126748e-08,3.36037508930076e-09
1837,2.99189295560609e-08,2.0873671680021744e-09
1838,4.86036455527028e-08,0.0
1839,5.2436064379435265e-08,1.1885507689157748e-08
1840,5.159447979963261e-08,1.0191501864653674e-08
1841,2.6966304744746594e-08,8.988767952189392e-09
1842,3.287049921141261e-08,6.708265054555795e-09
1843,2.4809025944705354e-08,4.134837805480629e-09
1844,3.622450606144412e-08,7.683985892015244e-09
1845,4.0177642546268544e-08,5.580227835366713e-09
1846,1.5807152919933287e-08,2.1661654026061683e-08
1847,2.9123407685460734e-08,7.550513103637968e-09
1848,2.654923214606697e-08,9.65426583121598e-09
1849,2.8490010350878947e-08,1.256912263158938e-08
1850,1.425689166723032e-08,1.0862393651223101e-08
1851,3.353708066811123e-08,3.8696632564949596e-09
1852,6.640756566866912e-08,6.510545436100301e-09
1853,3.4040009921909586e-08,6.569124799682413e-09
1854,2.5458755104068587e-08,1.0391328908454511e-09
1855,3.131092896069276e-08,1.0083180512765466e-08
