year,moindres_ADJ hommes_NOUN,moindres_ADJ sommes_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,0.0,2.2743021688143017e-08
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,1.3596443970698147e-08
1809,0.0,4.518061036407062e-09
1810,0.0,4.680253518074551e-09
1811,1.2535384286138651e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,6.952811659743929e-09
1817,1.556873407970727e-09,3.113746815941454e-09
1818,0.0,1.9073883805731384e-08
1819,2.070210003424222e-09,8.280840013696888e-09
1820,0.0,9.493184904840746e-09
1821,0.0,7.88919063410276e-09
1822,0.0,0.0
1823,0.0,1.087095569118901e-08
1824,0.0,1.8526447931321854e-08
1825,1.0566531649658373e-08,2.1133063299316746e-08
1826,0.0,2.8185549894033102e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,1.1923991571904935e-08
1829,0.0,4.286587973467704e-09
1830,3.1310507520032616e-09,1.0436835395921662e-08
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,0.0,5.411987746839486e-09
1833,0.0,4.6334514003376626e-09
1834,0.0,2.14694217959277e-08
1835,0.0,7.563087933704082e-09
1836,0.0,3.36037508930076e-09
1837,1.1132625488130543e-08,9.74104708006962e-09
1838,0.0,1.2624323808552163e-08
1839,6.9914751765765e-10,2.516931019158619e-08
1840,0.0,9.554533164646273e-09
1841,0.0,4.494383976094696e-09
1842,0.0,6.708265054555795e-10
1843,0.0,5.906910960362666e-09
1844,7.683985892015244e-09,5.488561161115513e-09
1845,5.580227946389016e-10,8.37034175305007e-09
1846,6.439951683034906e-09,7.610851504580296e-09
1847,0.0,8.089835468183537e-09
1848,0.0,1.206783295515379e-08
1849,0.0,1.508294644736452e-08
1850,2.0366988096043315e-09,1.6293590476834652e-08
1851,3.8696632564949596e-09,1.6768540334055615e-08
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,0.0,8.957897534855874e-09
1854,0.0,7.79349651480743e-09
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,2.0708756931497874e-09,3.6240324075009767e-09
1857,4.881508974818871e-09,1.4644527812635033e-09
1858,0.0,1.9574704079872163e-09
1859,2.5460866748261424e-09,4.073738679721828e-09
1860,4.577183909670879e-10,9.15436793036406e-09
1861,4.715963730639317e-10,2.357981809808507e-09
1862,2.2589932147099034e-09,4.517986429419807e-09
1863,1.5982786649715308e-08,5.494082966350788e-09
1864,5.753673537611803e-09,9.589456340108882e-09
1865,0.0,1.0355057256106193e-08
1866,0.0,9.731225825149181e-10
1867,4.85281148598915e-09,5.82337378318698e-09
1868,2.9639244392143382e-09,1.4819621974027086e-08
1869,0.0,2.9301114867763545e-09
1870,0.0,5.160643912205387e-09
1871,1.0621177271019633e-09,1.4869648623516696e-08
1872,4.23313739617015e-09,9.675742873582749e-09
1873,5.986004469882289e-10,4.788803575905831e-09
1874,2.9873046258899194e-09,7.169530746864439e-09
1875,0.0,2.8607636259891933e-09
1876,0.0,1.209202959984168e-08
1877,0.0,4.329371083855449e-09
1878,6.039088673581716e-10,6.039088673581716e-10
1879,0.0,1.4662380642960215e-08
1880,0.0,1.9253538763308597e-09
1881,0.0,2.1614773970668466e-08
1882,4.6587693702804245e-09,7.986462158271479e-09
1883,5.687405213450347e-09,1.2006744043446815e-08
1884,6.601696966868076e-10,7.2618666635548834e-09
1885,6.445635691854079e-10,7.090199094506033e-09
1886,3.872078213618124e-09,5.808117542471791e-09
1887,1.3057849246322917e-09,6.528924512139156e-09
1888,0.0,3.1703073499755874e-09
1889,1.8795409673089125e-09,3.759081934617825e-09
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,2.5496880162734215e-09,1.2748440081367107e-09
1892,3.1342561879199593e-09,3.1342561879199593e-09
1893,1.4780200174868696e-08,1.539604177480669e-08
1894,0.0,4.411077725308132e-09
1895,3.611168697403855e-09,4.213029924926559e-09
1896,2.358811590497112e-09,5.897029087265082e-09
1897,5.826713556089658e-10,5.2440420894583895e-09
1898,5.092519295146758e-09,7.355861253444118e-09
1899,1.1055156790007459e-09,1.1607914629507832e-08
1900,5.191053142894475e-10,1.5573159428683425e-09
1901,5.588738916095792e-10,1.1177477832191585e-09
1902,1.4730852093691738e-09,2.9461704187383475e-09
1903,1.4040573148577096e-08,7.560307935250421e-09
1904,0.0,3.7622376325430196e-09
1905,7.741138396966107e-09,8.773290538499623e-09
1906,5.144184522798412e-10,1.0288369045596824e-09
1907,0.0,7.71426478252124e-09
1908,0.0,4.4202499438483756e-09
1909,0.0,0.0
1910,0.0,1.2825961626106164e-08
1911,0.0,4.25629931299909e-09
1912,0.0,5.730363294986773e-09
1913,3.181793939432964e-09,1.590896969716482e-09
1914,0.0,3.3483718020477227e-09
1915,0.0,3.534228465440492e-09
1916,0.0,6.592477230782379e-09
1917,0.0,0.0
1918,0.0,6.89182577673364e-09
1919,5.524709134618888e-09,7.366278698128781e-09
1920,0.0,7.572231730534895e-09
1921,0.0,5.300923255902035e-09
1922,1.4755870969551665e-09,2.951174193910333e-09
1923,4.246379248229459e-09,5.307974060286824e-09
1924,0.0,2.578324886925998e-09
1925,2.1996355847875293e-09,6.598906754362588e-09
1926,1.1146138456652466e-09,3.343841648018042e-09
1927,2.2298449753321847e-09,6.689535148041159e-09
1928,0.0,5.713020723163709e-09
1929,0.0,0.0
1930,0.0,3.1510811737689437e-09
1931,1.1405356659111021e-09,0.0
1932,0.0,1.0959536611565568e-09
1933,0.0,0.0
1934,0.0,0.0
1935,2.393656828303392e-09,0.0
1936,0.0,4.849885826274658e-09
1937,0.0,2.5182236296217297e-09
1938,0.0,7.779128452511941e-09
1939,0.0,1.5294050470515685e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,6.4263723231761105e-09
1945,2.178504043826024e-09,0.0
1946,0.0,0.0
1947,0.0,5.960435700558264e-09
1948,2.174377566888097e-09,1.0871887834440486e-09
1949,0.0,0.0
1950,0.0,5.317680518146517e-09
1951,2.1322803522849654e-09,0.0
1952,0.0,1.0544803918932644e-09
1953,1.0773827385790469e-09,0.0
1954,0.0,9.772536113672459e-10
1955,1.8771215692936494e-09,9.385607846468247e-10
1956,0.0,0.0
1957,0.0,2.6505113659425206e-09
1958,0.0,3.3088973783179654e-09
1959,0.0,2.325224457422337e-09
1960,1.3841666701708277e-09,0.0
1961,0.0,1.3896318540318475e-09
1962,0.0,1.2683912808952869e-09
1963,6.466053248388448e-10,3.2330267352165265e-09
1964,3.6503808864551957e-09,1.2167936658258327e-09
1965,0.0,1.0944086747954884e-09
1966,0.0,2.769537488234164e-09
1967,4.930335695263466e-09,2.9582012395223956e-09
1968,4.042274071025531e-09,4.4914158503495116e-10
1969,4.541757636644661e-09,4.541757636644661e-09
1970,9.197450023812337e-10,4.598724956395017e-09
1971,5.138397485282553e-10,3.083038491169532e-09
1972,1.0260293725750103e-09,0.0
1973,5.513203782392395e-10,5.513203782392395e-10
1974,0.0,2.812785782069227e-09
1975,1.7134440533084216e-09,5.711480177694739e-10
1976,0.0,1.7140580066410394e-09
1977,0.0,5.876781838942691e-10
1978,2.3762365408686037e-09,1.1881182704343018e-09
1979,5.851973350345929e-10,1.7555920051037788e-09
1980,0.0,5.685150683554241e-10
1981,1.8976649140967083e-09,0.0
1982,6.207502289967692e-10,0.0
1983,0.0,0.0
