year,suis_VERB en_PRON,suis_VERB sans_ADP
1800,2.829747991484055e-08,4.08741385626854e-07
1801,4.0480102825313224e-08,4.833800630876794e-07
1802,8.951360541686881e-09,5.102275508761522e-07
1803,3.9006784247064274e-08,4.856344730796991e-07
1804,1.730295728918918e-08,6.847026838840975e-07
1805,1.9900143755080535e-08,4.5770332235406386e-07
1806,5.76333825108577e-09,4.466587029128277e-07
1807,5.124519120158766e-08,3.245528716888657e-07
1808,6.798222074166915e-08,2.605985116588272e-07
1809,1.581321384946932e-08,4.0662550304659817e-07
1810,4.212228077449254e-08,5.616304292743735e-07
1811,2.5070767684098882e-09,2.908209069119039e-07
1812,4.000812481308458e-08,5.947874228695582e-07
1813,3.163315653864629e-08,4.5724291908300074e-07
1814,9.440030979135372e-09,3.996279929197044e-07
1815,8.091670444798638e-09,3.9109741578613466e-07
1816,3.0128852301913867e-08,4.6815597443128354e-07
1817,3.269434145636296e-08,7.644248398719355e-07
1818,3.814776761146277e-08,5.340687607713335e-07
1819,6.210630232317271e-09,4.2025263269351854e-07
1820,4.9839222526770754e-08,4.651660674426239e-07
1821,9.861488337037372e-08,7.514453841395152e-07
1822,5.012807946513931e-08,4.7621676912967814e-07
1823,6.917881023582595e-08,5.969142762296542e-07
1824,4.7158231097910175e-08,5.406354262049717e-07
1825,2.201360693732113e-08,4.393916128719866e-07
1826,9.688783109140786e-09,3.461537971816142e-07
1827,3.502563927781921e-08,3.622388362600759e-07
1828,2.0179061976932644e-08,5.695999334420776e-07
1829,3.1720752247110795e-08,4.826698045690136e-07
1830,3.757260813586072e-08,4.696576070273295e-07
1831,7.639690835503643e-08,4.5058584419166436e-07
1832,2.841293600397421e-08,5.574347596848384e-07
1833,5.21263281427764e-08,5.664394393534167e-07
1834,2.42697808516823e-08,4.4339020632833126e-07
1835,6.277362984974388e-08,5.279035235616902e-07
1836,3.36037508930076e-08,6.425037213375617e-07
1837,4.453050195252217e-08,4.564376467897091e-07
1838,1.9567702125300457e-08,3.515874311688094e-07
1839,2.3771015378315496e-08,5.054836833551235e-07
1840,3.121147429396842e-08,3.5351771998648474e-07
1841,3.4028907691663335e-08,4.4109168584327563e-07
1842,1.9453969546390226e-08,3.991417827364785e-07
1843,4.430183153658618e-08,3.685912588480278e-07
1844,3.677336124496833e-08,3.073594427860371e-07
1845,2.9575208060350633e-08,3.52112380141989e-07
1846,3.571245699163228e-08,3.694190411351883e-07
1847,2.8044762956369595e-08,2.885374783545558e-07
1848,7.24069959545659e-09,3.7168925359765126e-07
1849,1.005529792763582e-08,3.4690776828938397e-07
1850,1.1541293254424545e-08,3.5574339563027024e-07
1851,1.7413483988093503e-08,3.830966761597665e-07
1852,2.148479971708639e-08,3.1836566449783277e-07
1853,2.3290533723852036e-08,3.332337996653223e-07
1854,2.5978321716024766e-08,3.9902704429550795e-07
1855,2.4411910715116392e-08,5.009748633710842e-07
1856,1.7602443946884705e-08,3.458362414221483e-07
1857,2.9289054737091647e-08,4.412884209159529e-07
1858,3.670256892851498e-08,4.345584443399275e-07
1859,4.2265038802113963e-08,4.5167578832661093e-07
1860,1.9681891672007623e-08,4.778580091624463e-07
1861,3.3483342876117206e-08,5.380914558372751e-07
1862,2.1686334561454856e-08,4.5315402985579567e-07
1863,4.0955889346605545e-08,4.7299059247052355e-07
1864,2.8768368576237435e-08,4.065929317675909e-07
1865,5.7894187222018445e-08,3.883146462158038e-07
1866,3.1139921974343565e-08,4.155233455094276e-07
1867,2.426405742994575e-08,3.9793053474568296e-07
1868,5.5820578381826635e-08,4.1247949411626905e-07
1869,4.688178378842167e-08,4.3658661752488115e-07
1870,3.4404291415768284e-08,4.690452044542326e-07
1871,3.186353225714811e-08,5.607981847788324e-07
1872,2.7213026498884574e-08,4.668546011998842e-07
1873,2.6338419445437466e-08,5.076131515124871e-07
1874,2.6288279997288555e-08,4.970874556420313e-07
1875,5.263805036292979e-08,5.710083996746107e-07
1876,2.1765654167893445e-08,4.82471989471378e-07
1877,2.8450154232473324e-08,4.82415657643287e-07
1878,1.8117265909722846e-08,3.430202468734933e-07
1879,1.8938909107646396e-08,4.349839457518101e-07
1880,3.3372801855335865e-08,4.858309807787009e-07
1881,4.044054335849978e-08,5.236353217696887e-07
1882,3.9266770945900475e-08,4.7519449708488537e-07
1883,2.7805090674348776e-08,3.835838811028225e-07
1884,3.498899303622238e-08,3.479094345948397e-07
1885,1.546952527187173e-08,3.216372306269477e-07
1886,2.9040586824180536e-08,2.800803429181542e-07
1887,2.154545164501087e-08,3.5647929053084226e-07
1888,2.7264643875923866e-08,2.6630581828612776e-07
1889,2.7566601445982997e-08,3.2140150096893194e-07
1890,2.6217545467943637e-08,2.7856142992277455e-07
1891,2.2309770031370135e-08,3.5823117627842294e-07
1892,2.570090096298827e-08,3.171867319906596e-07
1893,2.586534897375259e-08,2.9498815479200857e-07
1894,2.1425233365235385e-08,2.766375644114305e-07
1895,3.0694934372021976e-08,2.9190280770308163e-07
1896,1.4742572385095798e-08,2.960308620458818e-07
1897,2.505486740300711e-08,2.8084758696422796e-07
1898,3.8476814734345055e-08,4.3739083821492386e-07
1899,1.6582735185011188e-08,4.1069907297242025e-07
1900,1.401584381888199e-08,3.57144443796642e-07
1901,1.1736351446245408e-08,3.135282611310686e-07
1902,1.86590785600238e-08,2.415859512439056e-07
1903,2.1060859278776434e-08,2.878317388876894e-07
1904,2.0961039126632386e-08,3.26777211512308e-07
1905,7.225062603755106e-09,3.2925643722592213e-07
1906,3.549487403997631e-08,3.153385250698193e-07
