year,plusieurs_DET ailes_NOUN,plusieurs_DET selles_NOUN
1800,6.288328968651058e-09,1.8864987794131594e-08
1801,1.1905912700171939e-08,4.7623650800687756e-08
1802,0.0,1.1636768704192946e-07
1803,0.0,8.581492494386112e-08
1804,2.2246657849223084e-08,5.339198025922087e-07
1805,5.685755422035754e-09,1.165579879280898e-07
1806,0.0,8.356840108802999e-08
1807,0.0,1.9643990833984049e-07
1808,2.2660739951163578e-09,8.38447409279297e-08
1809,2.9367396514601296e-08,1.1972861502229648e-07
1810,4.9142660163425944e-08,1.263668423234776e-07
1811,1.7549536934780008e-08,8.774768422981083e-08
1812,3.467370746079723e-08,1.2269157689814847e-07
1813,5.751483289628823e-09,1.2653262615458516e-07
1814,3.1466772298927026e-08,1.730672458677418e-07
1815,2.6972236000233352e-08,3.3175850244759886e-07
1816,2.3176038865813098e-09,9.733936501277185e-08
1817,1.401186100480345e-08,5.916119083515525e-08
1818,2.2650237241350624e-08,1.0729059329861457e-07
1819,3.1053151161586356e-09,6.521161832750977e-08
1820,1.6613073583471305e-08,1.4002447912275784e-07
1821,1.0847637454958203e-08,9.861488026174925e-08
1822,6.015369535816717e-09,1.233150754842427e-07
1823,5.929612356680991e-09,3.666476899866211e-07
1824,6.736890156844311e-09,8.673745988119208e-08
1825,8.805443485471187e-09,9.685987212293412e-08
1826,1.2331177856594877e-08,2.043452376199184e-07
1827,2.7651818612639545e-09,1.2812009675400304e-07
1828,4.586150570418113e-09,2.0454232085853619e-07
1829,5.143905745796928e-09,2.126147613523699e-07
1830,7.305785310052215e-09,3.5380874763291104e-07
1831,3.1182412207897414e-09,2.1204040079325637e-07
1832,6.764984572527055e-09,3.247192701394397e-07
1833,9.266902800675325e-09,1.9460496147871709e-07
1834,7.467624740797874e-09,1.6708809980059414e-07
1835,1.739510224751939e-08,1.9890920555099e-07
1836,1.5457725766054864e-08,1.5121688434760472e-07
1837,6.957891041103892e-09,2.706619603998206e-07
1838,1.2624323808552163e-08,1.1677499234252764e-07
1839,9.788065469251706e-09,2.0974425218867054e-07
1840,1.210240813120933e-08,1.6370100119900144e-07
1841,7.0626033910059505e-09,2.0930988675615936e-07
1842,2.0124795163667386e-09,1.5026513544569298e-07
1843,2.2446261738195972e-08,1.5062622971129258e-07
1844,2.4149668931272572e-08,1.295300395831589e-07
1845,2.5669049108500985e-08,9.542189549627267e-08
1846,1.4636253098387897e-08,1.2879903010798444e-07
1847,9.707802561820245e-09,1.1056108650819851e-07
1848,1.6090443422100975e-09,9.654266164282888e-08
1849,1.256912263158938e-08,1.4580182394752228e-07
1850,1.2899092460827433e-08,1.2152302986123686e-07
1851,1.0964045893402385e-08,1.0641574199610204e-07
1852,5.859490670445666e-09,1.5234675743158732e-07
1853,1.6124216628554677e-08,9.316214022447866e-08
1854,1.0391328519876453e-08,1.6470255914668996e-07
1855,3.714855978387277e-09,1.1728330662208464e-07
1856,1.0354378410237786e-08,6.575030431221762e-08
1857,1.1715622250108026e-08,6.638852045881549e-08
1858,8.31924928945682e-09,9.983099236166026e-08
1859,1.171199848215565e-08,8.860381939257422e-08
1860,7.781213007262977e-09,1.1259872678692773e-07
1861,1.3676294763342867e-08,7.498382004200721e-08
1862,1.9879140111811466e-08,8.087195713102346e-08
1863,1.2486552236623538e-08,7.591823525388008e-08
1864,1.1986819536957682e-08,7.671564716815737e-08
1865,1.1767110841276462e-08,5.7894185001572396e-08
1866,1.556996132023869e-08,5.838735650520732e-08
1867,1.552899675516528e-08,8.589476330200796e-08
1868,1.3831646938911035e-08,5.53265904201794e-08
1869,1.0743741896135361e-08,5.3718712145212066e-08
1870,6.880858549607183e-09,6.938199081929497e-08
1871,4.248470908407853e-09,8.284518404622077e-08
1872,7.256807155187062e-09,4.23313739617015e-08
1873,3.591602570907071e-09,1.0954387796857645e-07
1874,2.2106053876314036e-08,6.691562148830599e-08
1875,5.7215269744226305e-09,7.952922942422447e-08
1876,2.0556450763820067e-08,4.7158914995293344e-08
1877,8.658742500777805e-09,5.937423441793044e-08
1878,7.850815109122777e-09,6.70338842212459e-08
1879,3.0546627449723474e-09,6.475884939405319e-08
1880,5.776061406947974e-09,5.583526174746112e-08
1881,2.7890030285249168e-09,4.811030240858827e-08
1882,1.3310770263785798e-09,2.6621540083482387e-08
1883,9.479008689083912e-09,3.286056182716379e-08
1884,1.1883054540362536e-08,5.2813576623123026e-08
1885,5.80107206715752e-09,7.154655445873459e-08
1886,7.744156427236248e-09,4.38835527916126e-08
1887,5.876032105334161e-09,4.9619827136027084e-08
1888,6.34061447790657e-09,2.6630581295705724e-08
1889,2.5060546970934183e-09,4.573549716724301e-08
1890,1.5730527991308918e-08,1.1994527326919524e-07
1891,8.286486163910922e-09,5.035633865446698e-08
1892,3.761107425503951e-09,3.19694137829174e-08
1893,3.695050043717174e-09,3.94138661707899e-08
1894,1.2603078580752936e-08,3.150769800619457e-08
1895,5.416753046105782e-09,3.069493414997737e-08
1896,4.717623180994224e-09,3.18439561386441e-08
1897,8.157399200570126e-09,2.2724183423861177e-08
1898,7.355861253444118e-09,3.5647636842384145e-08
1899,1.2160672469008205e-08,3.040168117252051e-08
1900,9.34389543516545e-09,2.9069898266342875e-08
1901,3.353243460679778e-09,2.123720777014171e-08
1902,6.628883397752361e-08,1.964113471863982e-08
1903,1.3500550899436803e-08,3.0781254878320397e-08
1904,4.837162670412454e-09,2.0961038238453966e-08
1905,3.6125313851442797e-09,2.4255567332431838e-08
1906,7.716276506641861e-09,2.1091156710006942e-08
1907,2.5714217422034835e-09,3.44570505461661e-08
1908,5.893667109901912e-09,2.3574666885295414e-08
1909,1.265226234892225e-08,2.310413083073115e-08
1910,5.34415089958884e-09,2.3514263869373053e-08
1911,6.384448858476333e-09,2.0217422180834888e-08
1912,8.856016087133156e-09,1.4586379215586476e-08
1913,6.893886794756554e-09,2.863614512182977e-08
1914,7.366418142140674e-09,1.2054139020278853e-08
1915,0.0,8.246533234057551e-09
1916,1.0987462051303964e-09,2.746865512825991e-08
1917,5.483212106582869e-09,1.2063066989753679e-08
1918,3.44591288836682e-09,2.1824114071478107e-08
1919,1.8415696745321952e-09,1.2890987832747669e-08
1920,3.786115865267448e-09,1.8173356597372958e-08
1921,9.087297137000405e-09,2.3475516641724425e-08
1922,1.4018077088007175e-08,1.4018077698629838e-08
1923,8.492758496458919e-09,1.5923921736771263e-08
1924,1.289162443462999e-09,1.2891624656674594e-08
1925,5.499089184013428e-09,6.598906754362588e-09
1926,8.916910765321973e-09,8.916910432255065e-09
1927,3.3447675740205796e-09,1.0034302277972529e-08
1928,2.2852082448565625e-09,2.170947777102583e-08
1929,3.342121912552898e-09,1.6710609784809094e-08
1930,3.1510811737689437e-09,1.995684684175103e-08
1931,5.7026783295555106e-09,6.843213995466613e-09
1932,8.767629289252454e-09,6.575722188983946e-09
