year,certains_DET âges_NOUN,certains_DET ages_NOUN
1800,1.2576657937302116e-08,0.0
1801,9.524730337773235e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,3.315576790896557e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,1.7057266488151868e-08,0.0
1806,2.305335300434308e-08,0.0
1807,8.540865792383556e-09,0.0
1808,9.064295980465431e-09,0.0
1809,1.3554183553310395e-08,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,5.034683425719777e-08,3.1466771410748606e-09
1815,3.506390555685357e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,2.384235475716423e-08,0.0
1819,1.449147024601416e-08,0.0
1820,1.1866481131050932e-08,0.0
1821,3.94459531705138e-09,0.0
1822,9.023054303725075e-09,0.0
1823,1.2847493291445744e-08,0.0
1824,1.1789557774477544e-08,0.0
1825,9.68598712347557e-09,0.0
1826,4.403992281964975e-09,0.0
1827,3.3182182335167454e-08,0.0
1828,6.420610709767516e-09,0.0
1829,1.3717081692732336e-08,0.0
1830,1.7742620705973877e-08,0.0
1831,6.236482441579483e-09,0.0
1832,3.788391467196561e-08,0.0
1833,2.7800709290204395e-08,1.1583628500844156e-09
1834,4.200539072130027e-08,0.0
1835,3.2521278114927554e-08,7.563087933704082e-10
1836,1.5457725044409898e-08,0.0
1837,2.1569462660409044e-08,0.0
1838,2.4617431648721322e-08,0.0
1839,3.5656523067473245e-08,6.9914751765765e-10
1840,3.503328827036967e-08,0.0
1841,3.659712666248538e-08,0.0
1842,3.018719141323345e-08,0.0
1843,4.1939068662344425e-08,1.1813822142769936e-09
1844,1.3721403568922597e-08,0.0
1845,2.3436957263811564e-08,0.0
1846,1.2879903366069811e-08,1.1709002656346001e-09
1847,1.294373674909366e-08,0.0
1848,1.448139919091318e-08,0.0
1849,1.1731181359664333e-08,8.379414939696517e-10
1850,1.9009188889640427e-08,0.0
1851,2.579775504329973e-08,0.0
1852,7.161600201754936e-09,0.0
1853,2.329053394589664e-08,5.971931837933653e-10
1854,3.4291385730966795e-08,5.195664454227256e-10
1855,2.5473298137512757e-08,1.0613874223963649e-09
1856,2.4332790005132665e-08,5.177189232874468e-10
1857,2.8800903106862563e-08,0.0
1858,3.0830157982109085e-08,0.0
1859,1.884104072757964e-08,0.0
1860,2.1055045706930287e-08,0.0
1861,2.0278644541349422e-08,4.715963730639317e-10
1862,3.252950264709398e-08,0.0
1863,3.795911879267422e-08,0.0
1864,2.1096803859421698e-08,1.4384183844029508e-09
1865,2.58876440284439e-08,0.0
1866,1.8489329178805747e-08,0.0
1867,1.747012134956094e-08,0.0
1868,4.544684140128652e-08,0.0
1869,4.19982639776606e-08,0.0
1870,1.548193129252695e-08,5.734048791339319e-10
1871,2.6552942955504477e-08,0.0
1872,1.4513613977307216e-08,0.0
1873,3.052862140862089e-08,0.0
1874,1.672890553860995e-08,0.0
1875,1.9453192279250686e-08,0.0
1876,3.204387932775887e-08,0.0
1877,2.040989244278535e-08,0.0
1878,2.0532901601200138e-08,6.039088673581716e-10
1879,3.1157558311178946e-08,1.221865053580018e-09
1880,3.9790645445236805e-08,6.417846254436199e-10
1881,2.4403776777148778e-08,0.0
1882,3.327692410515226e-08,0.0
1883,1.9589950106535525e-08,6.319338941018771e-10
1884,1.5183903911974994e-08,0.0
1885,1.9981470700258797e-08,0.0
1886,2.3877817056927597e-08,0.0
1887,1.0446279397058333e-08,0.0
1888,8.242799331981132e-09,0.0
1889,1.1277245803853475e-08,0.0
1890,2.1629475099871343e-08,0.0
1891,3.059625441892422e-08,0.0
1892,1.2537024751679837e-08,0.0
1893,9.23762488724833e-09,0.0
1894,7.561847148451761e-09,0.0
1895,1.504653623918273e-08,1.2037228991346183e-09
1896,2.1229304536518612e-08,0.0
1897,1.6897469756749217e-08,5.826713556089658e-10
1898,9.619203211741478e-09,0.0
1899,1.326618814800895e-08,5.527578395003729e-10
1900,1.972600216504361e-08,1.038210628578895e-09
1901,1.397184767881754e-08,5.588738916095792e-10
1902,4.419255628107521e-09,0.0
1903,1.4040573148577096e-08,0.0
1904,1.289910045443321e-08,0.0
1905,2.012696076469922e-08,0.0
1906,1.4918134283448126e-08,0.0
