year,très_ADV salé_VERB
1923,8.492758496458919e-09
1924,5.156649773851996e-09
1925,2.1996355847875293e-09
1926,8.916910765321973e-09
1927,1.6723836537835268e-08
1928,3.4278122562625413e-09
1929,1.0026365515614089e-08
1930,1.3654684494213143e-08
1931,9.124285327288817e-09
1932,3.287861094491973e-09
1933,5.735331320977366e-09
1934,2.3963160344919743e-09
1935,2.992070946561398e-08
1936,1.33371855781661e-08
1937,1.3850230295986421e-08
1938,9.075650453382877e-09
1939,6.117620188206274e-09
1940,7.607348528892999e-09
1941,1.4757512545315876e-08
1942,1.2136847082899749e-08
1943,1.4516175816936538e-08
1944,0.0
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,5.960435700558264e-09
1948,1.3046265401328583e-08
1949,9.817008539414473e-09
1950,7.444753258312176e-09
1951,1.9190522948520083e-08
1952,8.435843135146115e-09
1953,2.1547654327491728e-08
1954,2.6385848173049453e-08
1955,1.407841132561316e-08
1956,1.744228228517386e-08
1957,1.4136060322300636e-08
1958,1.5717262158432277e-08
1959,7.750747710311146e-09
1960,8.305000243069571e-09
1961,1.042223907177231e-08
1962,8.244543381330516e-09
1963,1.0992290633282664e-08
1964,1.8251904876365188e-08
1965,1.2038495533772675e-08
1966,1.273987226824147e-08
1967,8.874604162656397e-09
1968,9.431973424511852e-09
1969,9.083515273289322e-09
1970,5.978342709767048e-09
1971,5.652237344833111e-09
1972,6.156176013405457e-09
1973,1.2129048487796723e-08
1974,8.438357568252286e-09
1975,1.4849848462006321e-08
1976,7.427584769459372e-09
1977,6.464460078348111e-09
1978,1.0099005187669263e-08
1979,7.022368020415115e-09
1980,8.527726136353664e-09
1981,1.3283654176632353e-08
1982,1.1794254461960918e-08
1983,1.136756910824488e-08
1984,1.0438215625185876e-08
1985,9.02333674446254e-09
1986,1.1988970705090196e-08
1987,5.49973533381376e-09
1988,6.596209356501959e-09
1989,4.939309850016116e-09
1990,3.2691906959314565e-09
1991,1.1722930182145319e-08
1992,7.713921945651236e-09
1993,1.1632335983335906e-08
1994,7.384897138251745e-09
1995,5.4224509327127635e-09
1996,9.60856638698715e-09
1997,9.110299181713799e-09
1998,5.72175506974304e-09
1999,1.3710603319339043e-08
2000,5.3016377954406835e-09
2001,1.095302959441824e-08
2002,9.200564754507923e-09
2003,7.917153876935146e-09
2004,8.369103632333008e-09
2005,8.557124120400772e-09
2006,9.471146977801936e-09
2007,1.4380126256430259e-08
2008,1.617827133371108e-08
2009,1.2874119548200724e-08
2010,2.0312309167991316e-08
2011,2.1031846431096568e-08
2012,2.314891900390137e-08
2013,2.0081699469987058e-08
2014,2.5119164748232947e-08
2015,2.5268959369384447e-08
2016,2.6306018252597596e-08
2017,2.490455189296803e-08
2018,2.2458759518784177e-08
2019,2.295889056647127e-08
