year,nos_DET sentiers_NOUN
1800,1.5720821977538435e-08
1801,1.1905912700171939e-08
1802,3.8043282302169246e-08
1803,3.90067853572873e-08
1804,0.0
1805,1.1371510844071508e-08
1806,4.034336598124355e-08
1807,3.4163463169534225e-08
1808,2.2660739951163578e-09
1809,1.581321384946932e-08
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,1.8880564667256294e-08
1816,1.3905623319487859e-08
1817,4.670620334934483e-09
1818,2.384235475716423e-09
1819,2.3807414706311647e-08
1820,8.306536791735653e-09
1821,8.875339574387908e-09
1822,4.010246357211145e-09
1823,2.3718449426723964e-08
1824,1.51580028528997e-08
1825,7.044354433105582e-09
1826,1.0569580766173203e-08
1827,1.013900075008678e-08
1828,1.6510141975789594e-08
1829,2.571952872898464e-09
1830,1.0436835395921662e-08
1831,7.795603274018958e-09
1832,6.088486248501113e-08
1833,3.4750885280487864e-08
1834,1.3068343074351674e-08
1835,3.025235173481633e-08
1836,3.965242711956307e-08
1837,1.1132625488130543e-08
1838,1.893648637896206e-08
1839,2.167357338045406e-08
1840,3.121147429396842e-08
1841,3.274479709602929e-08
1842,3.7566283861423244e-08
1843,2.8943865137964764e-08
1844,3.238251200521347e-08
1845,2.0646844234306627e-08
1846,3.102885770545072e-08
1847,1.4022381478184798e-08
1848,2.011305433313737e-08
1849,2.765206996713232e-08
1850,3.8018378667459274e-08
1851,3.224719336003545e-08
1852,2.6042181744401205e-08
1853,3.583158991737889e-08
1854,4.468271352919828e-08
1855,3.980202833986368e-08
1856,2.9509978460851016e-08
1857,4.442173229257662e-08
1858,1.7127865348243176e-08
1859,2.8516171202142004e-08
1860,4.30255272243496e-08
1861,2.9710572058139206e-08
1862,5.376403680590336e-08
1863,3.745965698742637e-08
1864,3.1165733105353866e-08
1865,4.094954419997521e-08
1866,1.4596838404656864e-08
1867,2.5719900875742496e-08
1868,2.865126980111654e-08
1869,3.564969008884589e-08
1870,4.185855750904466e-08
1871,3.18635318130589e-09
1872,3.8702971494330995e-08
1873,1.8556614189702003e-08
1874,1.7923827755339516e-08
1875,2.345826055627498e-08
1876,3.3857681547289076e-08
1877,4.3912192215778134e-08
1878,3.200716930384928e-08
1879,1.7106110861142554e-08
1880,3.080566313151678e-08
1881,2.7192779805673695e-08
1882,1.7969540300200038e-08
1883,1.832608309548789e-08
1884,4.291102939646407e-08
1885,3.158361394639542e-08
1886,2.839524015918471e-08
1887,2.0892558794116667e-08
1888,1.2047168373996442e-08
1889,2.0674950640398038e-08
1890,3.604912485188905e-08
1891,1.529812809764053e-08
1892,2.6954603882245465e-08
1893,1.5396041108672875e-08
1894,1.7014155639927253e-08
1895,1.9861428057765806e-08
1896,2.535722409824359e-08
1897,3.554295135987928e-08
1898,3.112095137147719e-08
1899,1.4371703827009696e-08
1900,2.3878844346292283e-08
1901,8.941982265753268e-09
1902,1.915010727771005e-08
1903,1.83607493653426e-08
1904,2.042357483134083e-08
1905,1.7030505006232488e-08
1906,1.9547901075611662e-08
1907,2.7257069490360664e-08
1908,2.406580645875067e-08
1909,3.520629449083046e-08
1910,2.0307772907735e-08
1911,2.3941684190731394e-08
1912,2.3442395302719632e-08
1913,2.227255757603075e-08
1914,2.8126322881849575e-08
1915,1.8849218963445935e-08
1916,6.592477230782379e-09
1917,2.631941953268324e-08
1918,2.1824114071478107e-08
1919,1.4732557396257562e-08
1920,1.817335615328375e-08
1921,2.801916526573578e-08
1922,9.591316185719734e-09
1923,1.3800733000834953e-08
1924,2.191576142784868e-08
1925,4.179307566687385e-08
1926,2.1177662290483568e-08
1927,2.3413372796099452e-08
1928,1.7139061725401916e-08
1929,2.33948540540041e-08
1930,8.402882833991043e-09
1931,2.2810713318222042e-08
1932,1.5343351700281005e-08
1933,2.2941325283909464e-08
1934,9.585264137967897e-09
1935,1.196828414151696e-08
1936,1.333718602225531e-08
1937,4.155068988875854e-08
1938,1.4261735792331365e-08
1939,1.3764645423464117e-08
1940,2.5357829391836617e-08
1941,3.836953554881006e-08
1942,1.2136847082899749e-08
1943,4.064529424141483e-08
1944,2.2492303131116387e-08
1945,8.714016175304096e-09
1946,6.12528623378239e-08
1947,1.6689218895749036e-08
1948,2.0656587551570738e-08
1949,2.1597417965146803e-08
1950,1.914365022059883e-08
1951,2.0256663901818683e-08
1952,1.0544804140977249e-08
1953,1.7238124039309355e-08
1954,1.2704296947774196e-08
1955,1.8771215248847284e-08
1956,1.4825940475304833e-08
1957,2.562160866803609e-08
1958,1.4890038535497752e-08
1959,1.0851047171911432e-08
1960,1.1765417085030094e-08
1961,9.03260666262895e-09
1962,2.219684702708946e-08
1963,1.9398160300276857e-08
1964,2.129388909644092e-08
1965,9.849678406226303e-09
1966,1.2739871713129958e-08
1967,1.331190602193999e-08
1968,1.8414804320299183e-08
1969,1.6350328146952364e-08
1970,1.977451802304131e-08
1971,1.644287195290417e-08
1972,1.2312352026810913e-08
1973,1.984753439376874e-08
1974,1.0688586071783135e-08
1975,1.1422960355389478e-08
1976,1.428381679602353e-08
1977,8.815173146992095e-09
1978,1.3069301196821925e-08
1979,1.7555920828193905e-08
1980,3.126832948119329e-08
1981,1.771153890217647e-08
1982,1.8622506203769262e-08
1983,1.705135321827811e-08
1984,1.8556827185989277e-08
1985,1.4437339546091721e-08
1986,1.2588419306958087e-08
1987,1.099947022353831e-08
1988,8.39517544370949e-09
1989,1.4269117998289005e-08
1990,1.3621627881210685e-08
1991,1.1136784217047335e-08
1992,1.3774860585513693e-08
1993,1.550978012687665e-08
1994,6.85740436656701e-09
1995,1.843633246068066e-08
1996,4.804283193493575e-09
1997,5.753873377756236e-09
1998,1.1920323395031573e-08
1999,1.2339543442596579e-08
2000,1.0603275923948274e-08
2001,1.621048362210331e-08
2002,1.401990912253126e-08
2003,3.750230681554001e-09
2004,1.4095331846153414e-08
2005,1.216012357474483e-08
2006,1.4824403260504937e-08
2007,1.6377365907871422e-08
2008,1.0217855006544596e-08
2009,7.629108234041837e-09
2010,1.8895172981814312e-08
2011,1.6060682339613663e-08
2012,1.3957436206801788e-08
2013,3.207493759482816e-08
2014,1.7540106256319632e-08
2015,2.061415105281128e-08
2016,2.7963089843652256e-08
2017,1.6603034946882644e-08
2018,3.43335089247887e-08
2019,1.5816123966061468e-08
