year,seriez_VERB à_ADP,seriez_VERB a_ADP
1800,4.4018303668735825e-08,0.0
1801,1.4048977448055666e-07,0.0
1802,2.9091921760482364e-08,0.0
1803,4.8758479920252285e-08,0.0
1804,4.449331569844617e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,9.509508203109363e-08,0.0
1807,4.27043254092041e-08,0.0
1808,6.798222074166915e-08,0.0
1809,6.09938268780752e-08,0.0
1810,5.148278958699848e-08,2.3401267590372754e-09
1811,3.008491944456182e-08,0.0
1812,6.934741492159446e-08,0.0
1813,2.300593315851529e-08,0.0
1814,4.090680150170556e-08,0.0
1815,3.506390555685357e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,6.538868291272593e-08,0.0
1818,8.464036227451288e-08,0.0
1819,4.7614829412623294e-08,0.0
1820,9.137190204455692e-08,0.0
1821,7.987805616949117e-08,0.0
1822,8.72228582693424e-08,0.0
1823,8.696764552951208e-08,0.0
1824,6.989523626543814e-08,8.421112696055388e-10
1825,8.893497494000258e-08,0.0
1826,6.429828403042848e-08,8.807984341885344e-10
1827,4.7929820112813104e-08,0.0
1828,5.6868266540277546e-08,9.172301251858528e-10
1829,2.5719527840806222e-08,0.0
1830,5.218418053232199e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,5.141388470519814e-08,2.705993873419743e-09
1833,6.255159235024621e-08,3.4750886612755494e-09
1834,8.961149688957448e-08,0.0
1835,1.1722786297241328e-07,0.0
1836,7.19120265557649e-08,6.720750067579218e-10
1837,7.862416850912268e-08,6.957890930081589e-10
1838,6.059675428105038e-08,0.0
1839,5.942753844578874e-08,0.0
1840,8.981260890550402e-08,1.9109065441114126e-09
1841,9.823439484080154e-08,2.5682194149112547e-09
1842,5.836190553054621e-08,0.0
1843,5.1390127708828004e-08,5.906911071384968e-10
1844,6.256959750317037e-08,0.0
1845,7.14269177137794e-08,1.1160455892778032e-09
1846,5.1519613464279246e-08,5.854501328173001e-10
1847,7.820174374728595e-08,5.393223645455691e-10
1848,5.470750608083108e-08,8.045221711050488e-10
1849,1.5920887719289567e-08,8.379414939696517e-10
1850,4.2091777174846357e-08,6.788996032014438e-10
1851,2.7087642351375507e-08,0.0
1852,4.427170807730363e-08,0.0
1853,4.837264810930719e-08,0.0
1854,9.50806580135577e-08,3.63696517347023e-09
1855,6.792879503336735e-08,5.306937111981824e-10
1856,4.40061072026765e-08,0.0
1857,8.200935042168567e-08,0.0
