year,grands_ADJ cils_NOUN
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,4.034336598124355e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,2.6466848268569265e-08
1818,0.0
1819,0.0
1820,7.119888678630559e-09
1821,0.0
1822,6.015369535816717e-09
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,6.163809906922779e-09
1826,1.2331177856594877e-08
1827,7.373818444733615e-09
1828,2.7516904310687096e-09
1829,0.0
1830,9.39315203396518e-09
1831,0.0
1832,4.058990921151917e-09
1833,5.791814139399776e-09
1834,1.4001796166951408e-08
1835,1.0588323107185715e-08
1836,4.704525213838906e-09
1837,1.0436836284100082e-08
1838,5.680945491803868e-09
1839,6.9914751765765e-10
1840,6.369688665408546e-10
1841,2.3113974734201292e-08
1842,1.7441490030023488e-08
1843,1.4767278067040479e-08
1844,1.2074834465636286e-08
1845,1.0044410636567136e-08
1846,3.5127007969038004e-09
1847,4.853901280910122e-09
1848,1.769948809737798e-08
1849,4.1897072478036534e-09
1850,5.431196825611551e-09
1851,1.2898877521649865e-09
1852,4.557382027314816e-09
1853,2.9859659189668264e-09
1854,1.0391328908454511e-09
1855,1.2205955357558196e-08
1856,8.28350277259915e-09
1857,2.0990489346672803e-08
1858,5.3830437884982985e-09
1859,1.2730433596175317e-08
1860,1.0985241161165504e-08
1861,1.5091083938045813e-08
1862,1.7620147119146168e-08
1863,7.491931519609807e-09
1864,4.315255264231155e-09
1865,2.729969672543575e-08
1866,3.113992264047738e-08
1867,1.2132028714972876e-08
1868,1.2349684830326169e-08
1869,2.8812763730456936e-08
1870,9.17447806614291e-09
1871,8.496941816815706e-09
1872,1.3908880269752899e-08
1873,3.5317427204972773e-08
1874,2.4495896866483235e-08
1875,4.005068987567029e-08
1876,2.5997863417615008e-08
1877,2.3502300550148902e-08
1878,2.8987624745013818e-08
1879,1.8938909107646396e-08
1880,1.6044616302224313e-08
1881,2.998178416646624e-08
1882,3.128031167420886e-08
1883,4.92908434068795e-08
