year,petites_ADJ herbes_NOUN
1800,7.860410988769218e-08
1801,7.857902772911984e-08
1802,1.0294064622939914e-07
1803,6.436119548425268e-08
1804,6.179627121127851e-08
1805,8.244345273134002e-08
1806,1.9595350408962986e-07
1807,1.9928686256776018e-08
1808,2.039466595604722e-08
1809,1.581321384946932e-08
1810,1.8721014516387413e-08
1811,5.515568801683912e-08
1812,1.8670457180292033e-08
1813,5.7514832008109806e-08
1814,3.4613449884091096e-08
1815,7.012781111370714e-08
1816,4.4034472068688046e-08
1817,9.808302792180257e-08
1818,4.172412104708201e-08
1819,2.173720581311045e-08
1820,4.034603762193001e-08
1821,2.1695274909916407e-08
1822,2.90742860897808e-08
1823,5.5343047478118024e-08
1824,1.431589158329416e-08
1825,2.201360693732113e-08
1826,3.5231937367541377e-09
1827,1.935627302884768e-08
1828,3.852366359247128e-08
1829,2.5719527840806222e-08
1830,3.757260813586072e-08
1831,3.585977381703742e-08
1832,4.735489433915774e-08
1833,6.139323005527331e-08
1834,5.3206825612051034e-08
1835,4.9916380362446944e-08
1836,3.1587525484155776e-08
1837,3.826840000442644e-08
1838,2.5879863585487328e-08
1839,3.216078425793967e-08
1840,2.1019973317493168e-08
1841,5.97110982880622e-08
1842,3.4212153110502186e-08
1843,1.594865928211675e-08
1844,3.512679214168202e-08
1845,2.6227071903139887e-08
1846,5.151960991156557e-08
1847,2.1033573105455616e-08
1848,2.172209917494783e-08
1849,2.2624420337180595e-08
1850,3.8018377779280854e-08
1851,1.5478653025979838e-08
1852,2.7344290387532055e-08
1853,2.9859659189668264e-08
1854,6.702406807335137e-08
1855,2.388121700391821e-08
1856,2.2261912924204097e-08
1857,2.9777205645675764e-08
1858,2.6425850785383176e-08
1859,2.0877910955618972e-08
1860,2.5174511364411956e-08
1861,4.433005740267504e-08
1862,6.144461650592348e-08
1863,5.2942979777981236e-08
1864,4.411149845395812e-08
1865,5.8835556093761454e-08
1866,3.892490180179564e-08
1867,3.6396087921275466e-08
1868,2.5193357733321875e-08
1869,2.7347706987868037e-08
1870,2.9243649279919737e-08
1871,9.559059321873065e-09
1872,4.7169246175648993e-08
1873,4.010622978167788e-08
1874,2.7483202547085028e-08
1875,1.94531928343622e-08
1876,4.776351758550845e-08
1877,2.6594708657512456e-08
1878,4.1065803202400275e-08
1879,3.421222061206208e-08
1880,4.171599954361227e-08
1881,2.022027167924989e-08
1882,3.261138559196297e-08
1883,2.7173157945981075e-08
1884,3.1688146329145184e-08
1885,2.4493415351489745e-08
