year,longs_ADJ cils_NOUN
1800,1.0375742931501009e-07
1801,9.28661236798689e-08
1802,6.042168365638645e-08
1803,1.3847407842604298e-07
1804,1.0134588990240445e-07
1805,2.8144489760961733e-07
1806,7.204172902675055e-08
1807,6.263301344233696e-08
1808,2.2660739062985158e-08
1809,6.777091243748146e-08
1810,3.978215445954447e-08
1811,1.579458341893769e-07
1812,6.13457871168066e-08
1813,2.5881675469463516e-08
1814,0.0
1815,1.9959453823048534e-07
1816,1.228330006597389e-07
1817,1.4945985071790346e-07
1818,8.464036227451288e-08
1819,3.8298885840504227e-08
1820,6.645229433388522e-08
1821,4.832129363308013e-08
1822,8.020492714422289e-08
1823,1.2649839220557624e-07
1824,6.06320114115988e-08
1825,1.3472327964336728e-07
1826,9.072223861039674e-08
1827,8.20337291429496e-08
1828,1.476740436601176e-07
1829,8.487444347338169e-08
1830,1.9203777412712952e-07
1831,2.2763160245631298e-07
1832,3.801921479862358e-07
1833,1.6796261093077192e-07
1834,2.0442622883365402e-07
1835,2.011781390365286e-07
1836,2.9302469783942797e-07
1837,2.9431879511321313e-07
1838,2.5059281938411004e-07
1839,1.8876983176596696e-07
1840,2.0128216249304387e-07
1841,1.9839494314055628e-07
1842,3.19313414820499e-07
1843,2.4690888267286937e-07
1844,2.5576696316420566e-07
1845,3.59924712256543e-07
1846,2.57012601423412e-07
1847,2.901554410073004e-07
1848,2.2687525813580578e-07
1849,3.133901316232368e-07
1850,2.5051394914044067e-07
1851,2.515281209980458e-07
1852,2.584686455975316e-07
1853,3.8578679095735424e-07
1854,2.0003308520699647e-07
1855,3.5291131439407764e-07
1856,2.433278893931856e-07
1857,3.426819432661432e-07
1858,3.366849057329091e-07
1859,3.7987612699907913e-07
1860,3.629706952779088e-07
1861,3.2068552968667063e-07
1862,3.347827828292793e-07
1863,3.9157828268798767e-07
1864,3.0206786050257506e-07
1865,2.842934065938607e-07
1866,3.6102846934227273e-07
1867,3.5571108014664787e-07
1868,3.3640543506407994e-07
1869,3.1156852742242336e-07
1870,3.182396994816372e-07
1871,2.63405183886789e-07
1872,5.980818400530552e-07
1873,4.016609125301329e-07
1874,5.992532692289387e-07
1875,5.212311293689709e-07
1876,4.0750140328782436e-07
1877,4.6200574388421956e-07
1878,3.164482507145294e-07
1879,3.732797608790861e-07
1880,4.158764284056815e-07
1881,4.1904769432221656e-07
1882,4.299378701944079e-07
1883,4.701588238731347e-07
1884,4.944670877193857e-07
1885,4.125206771732337e-07
1886,4.4464366055763094e-07
1887,4.3221481860200583e-07
1888,4.818867296307872e-07
1889,3.2077500122795755e-07
1890,3.9391863992932485e-07
1891,7.46421164876665e-07
1892,6.682234356958361e-07
1893,4.55106970775887e-07
1894,5.450831395137357e-07
1895,4.6283145138659165e-07
1896,4.2281698142687674e-07
1897,4.3234214786025404e-07
1898,4.91145215164579e-07
1899,5.942146685811167e-07
1900,4.427968463005527e-07
1901,4.973977638655924e-07
1902,4.345601212207839e-07
1903,5.049205924478883e-07
1904,3.9288511288759764e-07
1905,3.483512216462259e-07
1906,3.354008413225529e-07
1907,3.9034182464092737e-07
1908,4.621617222255736e-07
1909,4.813360874322825e-07
1910,3.6874638453809894e-07
1911,3.7349025205912767e-07
1912,4.0685580415811273e-07
1913,4.1946648821067356e-07
1914,2.7188778517484025e-07
1915,1.9438256515513785e-07
1916,3.373150718744e-07
1917,3.531188781380479e-07
1918,1.9756566871365067e-07
1919,3.2872017641238926e-07
1920,3.392359815279633e-07
1921,3.218417532480089e-07
1922,4.485784756980138e-07
1923,3.503262746562541e-07
1924,4.3186940956729813e-07
1925,4.4982547819927277e-07
1926,3.700517936522374e-07
1927,3.656945750662999e-07
1928,4.981753818356083e-07
1929,3.4312452612539346e-07
1930,2.9515126698242966e-07
1931,3.159283892273379e-07
1932,3.6056874819223594e-07
1933,2.9479602403625904e-07
1934,2.4202790882554837e-07
1935,3.518675555369555e-07
1936,3.0796775263297604e-07
1937,3.336646443585778e-07
1938,4.2136946376558626e-07
1939,2.492930093467294e-07
1940,2.8907925297971815e-07
1941,4.1616186763349106e-07
1942,4.2782386344697443e-07
1943,4.209691155665496e-07
1944,3.920087010556017e-07
1945,3.6816717852161673e-07
1946,3.341065166750923e-07
1947,3.4808942928066244e-07
1948,5.359840429264295e-07
1949,3.4065018894580135e-07
1950,5.424034270617994e-07
1951,2.9745311280748865e-07
1952,3.9648463712183e-07
1953,3.8247085853981844e-07
1954,3.4106150792467815e-07
1955,3.7542432096415723e-07
1956,3.6279948290030006e-07
1957,4.505869242166227e-07
1958,3.441253397795663e-07
1959,3.092548297445319e-07
1960,3.688804213197727e-07
1961,4.120258552120504e-07
1962,2.7333831553733035e-07
1963,3.1360357866105915e-07
1964,2.5005110160236654e-07
1965,5.422795084086829e-07
1966,3.0908037729204807e-07
1967,2.2285117040610203e-07
1968,2.9373859433690086e-07
1969,2.102833889239264e-07
1970,1.9912479842787434e-07
1971,2.3225557299610955e-07
1972,2.093099880084992e-07
1973,2.0453985882795678e-07
1974,1.41201851988626e-07
1975,1.564945506515869e-07
1976,1.6055010121363011e-07
1977,1.76303458943039e-07
1978,2.0198010020067159e-07
1979,1.972115057924384e-07
1980,1.6998600926854124e-07
1981,2.138035739562838e-07
1982,1.887080713913747e-07
1983,1.6798740887224994e-07
1984,1.8730797535226884e-07
1985,1.9851341903631692e-07
1986,2.1759981905233872e-07
1987,1.8882424512867146e-07
1988,1.67303852549594e-07
1989,1.7836397603332443e-07
1990,1.776260205588187e-07
1991,1.5122580521165219e-07
1992,1.5262544650340715e-07
1993,1.7116150274887332e-07
1994,1.751275675587749e-07
1995,1.4261046032970626e-07
1996,1.6494705334935134e-07
1997,1.4336734466269263e-07
1998,1.6688451864865783e-07
1999,1.384770911272426e-07
2000,1.4314422003280924e-07
2001,1.5334241254549852e-07
2002,1.7262013329855108e-07
2003,1.6542684022624599e-07
2004,1.709059063159657e-07
2005,1.8645523880422843e-07
2006,2.3266078130745882e-07
2007,3.6589432284017676e-07
2008,4.172290744008933e-07
2009,4.925543066747196e-07
2010,6.367673108798044e-07
2011,7.219659323709493e-07
2012,8.415312890974747e-07
2013,9.820508921620785e-07
2014,1.0770924063763232e-06
2015,1.1530624988154159e-06
2016,1.1819066685347934e-06
2017,1.0024710945799598e-06
2018,1.1265520925007877e-06
2019,1.0479457159817684e-06
