year,sois_VERB avant_ADP,sois_VERB savant_ADJ
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,2.8574191901498125e-08
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,1.152667650217154e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.1716869958463576e-08,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,7.24573512300708e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,9.217273055917019e-10,0.0
1828,9.172301251858528e-10,0.0
1829,7.715858174606183e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,1.1583628500844156e-09,2.3167257001688313e-09
1834,0.0,0.0
1835,2.2689263801112247e-09,0.0
1836,1.3441500135158435e-09,6.720750067579218e-10
1837,0.0,0.0
1838,6.312161904276081e-10,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,6.420548537278137e-10,0.0
1842,0.0,1.341653010911159e-09
1843,2.953455480181333e-09,5.906911071384968e-10
1844,0.0,1.6465684371524958e-09
1845,5.580227946389016e-10,0.0
1846,0.0,5.854501328173001e-10
1847,1.0786447290911383e-09,0.0
1848,0.0,0.0
1849,1.6758829879393033e-09,0.0
1850,0.0,0.0
1851,1.0319102017319892e-08,0.0
1852,0.0,0.0
1853,5.971931837933653e-10,0.0
1854,3.63696517347023e-09,2.5978321716024766e-09
1855,1.5920811335945473e-09,0.0
1856,3.1063134287023786e-09,5.177189232874468e-10
1857,1.9526036343364694e-09,4.881509085841174e-10
1858,4.893676019968041e-10,2.4468380654951716e-09
1859,2.5460866748261424e-09,1.5276520048956854e-09
1860,1.373155145145688e-09,0.0
1861,9.431927461278633e-10,9.431927461278633e-10
1862,0.0,4.517986262886353e-10
1863,4.994620828036034e-10,0.0
1864,2.3973640850272204e-09,0.0
1865,9.41368871743009e-10,0.0
1866,7.298419202328432e-09,9.731225825149181e-10
1867,6.308654931785895e-09,0.0
1868,2.4699371437009177e-09,4.93987406535723e-10
1869,6.8369265804335555e-09,0.0
1870,1.7202146374017957e-09,1.1468097582678638e-09
1871,2.1242354542039266e-09,0.0
1872,3.0236697590169115e-09,6.047339295989218e-10
1873,5.986004469882289e-10,0.0
1874,1.1949218281515073e-09,0.0
1875,0.0,0.0
1876,7.859819461941697e-09,3.627608879952504e-09
1877,6.184816214727107e-09,0.0
1878,3.6234530931267273e-09,0.0
1879,2.443730107160036e-09,0.0
