year,quelques_DET ombres_NOUN,quelques_DET sombres_ADJ
1800,1.1633408547595536e-07,3.144164484325529e-09
1801,7.143547731125466e-08,2.3811825844433088e-09
1802,8.056224487518193e-08,8.951360541686881e-09
1803,1.0336797906518314e-07,9.751696339321825e-09
1804,6.673997887673977e-08,9.887403784603066e-09
1805,4.264316522117895e-08,2.842877711017877e-09
1806,2.305335300434308e-08,8.645007376628655e-09
1807,4.839823830593559e-08,0.0
1808,7.024829473678551e-08,1.3596443970698147e-08
1809,3.6144488291256494e-08,0.0
1810,8.658469141664682e-08,9.360507036149102e-09
1811,3.008492122091866e-08,2.757784400841956e-08
1812,5.601137331723294e-08,2.6672082320544632e-09
1813,6.039057343087961e-08,0.0
1814,5.034683425719777e-08,3.4613449884091096e-08
1815,1.888056444521169e-08,2.697223555614414e-09
1816,3.476405652236281e-08,3.9399267848239106e-08
1817,4.203558212623193e-08,6.227493631882908e-09
1818,7.152706160695743e-08,1.7881765401739358e-08
1819,3.622867339458935e-08,7.24573512300708e-09
1820,2.8479554714522237e-08,8.306536791735653e-09
1821,4.339054981983281e-08,1.1833785507064931e-08
1822,3.5089655625597516e-08,9.023054303725075e-09
1823,1.2847492847356534e-08,6.917880934764753e-09
1824,5.3053010873327366e-08,5.894778887238772e-09
1825,5.459374818883589e-08,1.4088708422121954e-08
1826,5.9013494979609504e-08,9.688782665051576e-09
1827,3.410390903013649e-08,9.217273055917019e-10
1828,6.879225589173643e-08,9.172301251858528e-10
1829,2.5719527840806222e-08,8.573175946935407e-09
1830,2.2961039070068523e-08,3.1310507520032616e-09
1831,5.456922114177587e-08,0.0
1832,5.547287607043927e-08,1.3529969367098715e-08
1833,4.170106393530659e-08,1.3900354201012988e-08
1834,4.387229446400909e-08,4.667265462998671e-09
1835,3.327758690829796e-08,9.075705520444899e-09
1836,7.056787776349438e-08,1.2097349788575684e-08
1837,3.478945309609571e-08,4.870523762079415e-09
1838,4.797242914023059e-08,7.574594285131298e-09
1839,6.362242666035911e-08,5.5931801412612e-09
1840,5.796416635561741e-08,4.458782232319436e-09
1841,5.585877360658742e-08,1.0272877215555809e-08
1842,5.0311988797346885e-08,6.037438549100216e-09
1843,5.079943576902224e-08,5.906910960362666e-09
1844,5.3239042951958027e-08,8.781698090931656e-09
1845,8.984167276793187e-08,8.928364714222425e-09
1846,7.025401771443285e-08,8.781751770214896e-09
1847,8.521293626273518e-08,7.550513103637968e-09
1848,6.194820856286753e-08,2.4135665133151463e-09
1849,8.798385664476882e-08,1.6758829435303824e-08
1850,6.042206646128534e-08,1.0862393651223101e-08
1851,3.740674348051698e-08,5.804495106787044e-09
1852,8.203287338304222e-08,1.0416872697760482e-08
1853,6.987159983928848e-08,6.569125021727018e-09
1854,8.728716061057185e-08,5.715230788627679e-09
1855,7.376642585654736e-08,1.0613874223963649e-08
1856,1.1648675535269604e-07,1.9155600661235894e-08
1857,1.0641690018076133e-07,1.757343293107283e-08
1858,8.759679914760454e-08,8.31924928945682e-09
