year,des_DET hommes_NOUN,des_DET sommes_NOUN
1800,5.787778013655043e-05,4.301217067848029e-06
1801,5.5233912462426815e-05,4.674261369075339e-06
1802,5.159116767572414e-05,4.84268619516115e-06
1803,5.082974121251027e-05,4.4487236294799e-06
1804,5.977182672722847e-05,4.713819940604935e-06
1805,4.697002486864221e-05,4.412146090260194e-06
1806,4.101479726159596e-05,5.616372945382864e-06
1807,4.452637813301408e-05,6.505292226677284e-06
1808,4.216030743009469e-05,5.09866662667946e-06
1809,4.033950904158701e-05,4.707819435623151e-06
1810,4.281261976757378e-05,4.331574778859704e-06
1811,3.4186497259725e-05,6.33538307681647e-06
1812,3.83011117719434e-05,4.60893569709242e-06
1813,3.91963596939604e-05,3.988653475062165e-06
1814,5.54507460037712e-05,5.387111222887597e-06
1815,5.571115434577223e-05,4.334438319375522e-06
1816,5.168720031178964e-05,4.164734257017244e-06
1817,5.772886493105034e-05,4.004278181923837e-06
1818,6.590503539882775e-05,4.814963709520725e-06
1819,6.060436408006353e-05,5.174489714931951e-06
1820,6.283182960942213e-05,4.955442612697425e-06
1821,6.16707882272749e-05,4.517547594673488e-06
1822,5.406914920058625e-05,4.595742453261664e-06
1823,4.9683233328323695e-05,4.846469764174799e-06
1824,5.342522354112589e-05,4.614769906652327e-06
1825,5.322361948856269e-05,4.598202416161712e-06
1826,5.067321603746677e-05,5.671461067890959e-06
1827,5.238821586317499e-05,5.062126348320817e-06
1828,5.289482851367211e-05,5.068613589287452e-06
1829,5.2353813089212053e-05,5.6274327988603545e-06
1830,5.210277345213399e-05,5.364533421925444e-06
1831,5.8937877611242584e-05,4.070863752758669e-06
1832,5.2247329676902154e-05,4.195643608539967e-06
1833,5.450560615827271e-05,4.7180119580048085e-06
1834,5.6491645864298334e-05,5.183464914182423e-06
1835,5.26784201611008e-05,4.380540559623114e-06
1836,5.049433877957199e-05,4.2549069334540945e-06
1837,5.004393347007863e-05,4.972804426017774e-06
1838,4.644930413633119e-05,5.088864853064479e-06
1839,4.51376635055567e-05,5.330300865580284e-06
1840,5.661060845341126e-05,5.440351309005109e-06
1841,4.814576846001728e-05,5.13258666501315e-06
1842,5.0424685468897223e-05,5.881806757201957e-06
1843,5.411025836110639e-05,5.550724530678508e-06
1844,5.3051334361953195e-05,5.390315820363867e-06
1845,5.1499367373253335e-05,5.1511082190813795e-06
1846,4.8889770596360904e-05,4.661354125801154e-06
1847,5.3135659072722774e-05,5.871063400775256e-06
1848,5.1414600193311344e-05,5.074121119719166e-06
1849,5.0211130883326405e-05,5.784310104672841e-06
1850,4.664379537189234e-05,5.382315961810491e-06
1851,4.726729332560353e-05,5.340780163010095e-06
1852,4.415712260197324e-05,4.977311874654333e-06
1853,4.404001094826526e-05,4.774559506870446e-06
1854,4.420471259436454e-05,4.594526131995735e-06
1855,4.170987267571036e-05,4.545391796284548e-06
1856,4.333359333941189e-05,4.591131293807393e-06
1857,4.216159322822932e-05,4.500751160207983e-06
1858,4.261070648681198e-05,4.595650970884435e-06
1859,4.385583213206701e-05,4.525414531997285e-06
1860,4.447695346243563e-05,4.500287204223241e-06
1861,4.7894385033941944e-05,4.0901552438299404e-06
1862,4.459478282115015e-05,4.644490090299769e-06
1863,4.5037495056021726e-05,4.385276895391144e-06
1864,4.575033699438791e-05,4.256279893866122e-06
1865,4.536315236691735e-05,4.657422607579065e-06
1866,4.283101873170381e-05,4.066679380798632e-06
1867,4.049040444442653e-05,5.006645480420957e-06
1868,4.11481636319877e-05,4.691892414143695e-06
1869,4.208030850350042e-05,3.7988894305840404e-06
1870,4.226280577768193e-05,4.110166038628904e-06
1871,4.5843124553357484e-05,4.443900351702723e-06
1872,4.621436983143212e-05,4.250070077205237e-06
1873,3.793690143538697e-05,4.1441110596451836e-06
1874,3.4845714253606275e-05,4.638686391444935e-06
1875,3.825641738330887e-05,4.195023883823978e-06
1876,3.7964135117363185e-05,4.532092795273002e-06
1877,3.41129707521759e-05,4.55882773309213e-06
1878,3.345655136399728e-05,4.479192206474636e-06
1879,3.750514895273227e-05,4.36816767290793e-06
1880,3.3650691761977214e-05,4.501477292251366e-06
1881,3.418969129143079e-05,4.408019137258634e-06
1882,3.3333495480292186e-05,3.958623040034581e-06
1883,3.0603926347794186e-05,4.797642095155652e-06
1884,3.233181246287131e-05,4.5234828505158475e-06
1885,3.075148265452299e-05,4.697579264245633e-06
1886,3.104503298345662e-05,4.652947353633863e-06
1887,2.9588433335447917e-05,4.323453659083043e-06
1888,2.980659621698578e-05,4.9000271218346825e-06
1889,3.0967943871473835e-05,4.527814539301289e-06
1890,3.0253081945375015e-05,4.843036109036802e-06
1891,2.9381329795796773e-05,4.883289818735648e-06
1892,2.9530335268646013e-05,4.703891775648117e-06
1893,2.979257192237128e-05,4.564002445306414e-06
1894,2.9093576927152753e-05,4.428721993576801e-06
1895,3.146531719266932e-05,4.634935010017216e-06
1896,2.9588343636532954e-05,4.80018145054828e-06
1897,2.8345214332148316e-05,4.8583138294588935e-06
1898,2.887684752295172e-05,4.303744688627376e-06
1899,2.9578071689684293e-05,4.4430673327156e-06
1900,2.9487257620530727e-05,4.504276937211671e-06
1901,2.9206748877186328e-05,4.813580737561551e-06
1902,2.4185111442420748e-05,3.97438363108904e-06
1903,2.8445660518627847e-05,4.260773664555018e-06
1904,2.7156369128533697e-05,4.364195802963877e-06
1905,2.8138005745859118e-05,4.573980589839266e-06
1906,2.7241543307354732e-05,4.633366977202513e-06
1907,2.6808613142748072e-05,4.552959453008043e-06
1908,2.751163788161648e-05,4.6068831451862025e-06
1909,2.766224656625127e-05,4.396386010796505e-06
1910,2.9564375154222944e-05,4.506722198982516e-06
1911,2.7317992817188497e-05,4.2126723585056425e-06
1912,2.7303617912366462e-05,4.696293082417924e-06
1913,2.7491758373798802e-05,4.4953441644679515e-06
1914,2.6691210905482876e-05,4.456013215303756e-06
1915,3.108118403361004e-05,4.885481772021194e-06
1916,3.3916098118425e-05,4.679560170472996e-06
1917,3.536562326189596e-05,4.441401820542978e-06
1918,3.4142104368584114e-05,4.285566831185861e-06
1919,3.074868914154649e-05,4.3451836972963065e-06
1920,2.870708703994751e-05,4.441871077176529e-06
1921,2.6466751705811475e-05,4.409610873779002e-06
1922,2.628389518122276e-05,4.5507105497222256e-06
1923,2.6123724978788232e-05,4.335553100531797e-06
1924,2.6775903961606673e-05,4.020897861778394e-06
1925,2.614816810364573e-05,4.329982424167156e-06
1926,2.5436603323214513e-05,4.126300602536048e-06
1927,2.7907624712497636e-05,3.7494843141416823e-06
1928,2.4067813455985743e-05,4.071098700819675e-06
1929,2.553492595325224e-05,3.957072252092075e-06
1930,2.4871483333299693e-05,3.817009485374001e-06
1931,2.3702612679699087e-05,3.93941025578215e-06
1932,2.345012103432964e-05,3.926801802833779e-06
1933,2.354582750285772e-05,3.828906983471825e-06
1934,2.4148875013452198e-05,4.177977174890657e-06
1935,2.3126316023081017e-05,3.6658855080418107e-06
1936,2.466894488861726e-05,3.740474511459979e-06
1937,2.3434588911186438e-05,3.772298967419374e-06
1938,2.504879353182332e-05,3.8195521412376365e-06
1939,2.361860219934897e-05,3.951982421313005e-06
1940,2.2733292894372426e-05,3.7808523885018985e-06
1941,2.704461792291113e-05,3.636251200589413e-06
1942,2.7049997811445792e-05,2.9947670263652526e-06
1943,3.106171357103449e-05,2.8248478010084455e-06
1944,3.108436271759274e-05,3.113577342617191e-06
1945,3.609345685617882e-05,3.0128711756560733e-06
1946,3.179997861479933e-05,3.2338725617364616e-06
1947,3.1562890399072785e-05,3.666859903717068e-06
1948,2.8981191690036212e-05,3.35071582924229e-06
1949,2.5748048756213393e-05,3.845322247286731e-06
1950,2.7597699840953283e-05,3.648992624505354e-06
1951,2.7278261768515222e-05,3.2122804469736366e-06
1952,2.538977923904895e-05,3.3247765856003753e-06
1953,2.5277552936131542e-05,3.1265646569522687e-06
1954,2.5877675057017768e-05,3.015804551864676e-06
1955,2.407126794423675e-05,2.913292682649171e-06
1956,2.5872138053273375e-05,2.943385268849852e-06
