year,les_DET airs_NOUN,les_DET serres_NOUN
1800,1.3324968762162825e-05,1.7921737160975226e-06
1801,9.998585923653991e-06,1.3525117399382225e-06
1802,9.871112979453756e-06,1.788034296623664e-06
1803,1.2858586558195384e-05,2.295549272446351e-06
1804,1.5327947807008968e-05,1.532547560856301e-06
1805,1.2190259582212093e-05,1.6687692614425487e-06
1806,1.3604359764940455e-05,1.22759109189019e-06
1807,9.542993836930691e-06,1.0249038142617906e-06
1808,1.1763189775138017e-05,1.108110168956955e-06
1809,9.46985633731856e-06,2.1844825717209915e-06
1810,1.557588387868236e-05,1.0390162308304696e-06
1811,1.0391833313860843e-05,2.903194843639767e-06
1812,1.0028703343323286e-05,6.561332028809375e-07
1813,1.183942828220097e-05,4.946275637962572e-07
1814,1.101022309057953e-05,7.426158248335923e-07
1815,8.515134723552364e-06,1.6399118898391407e-06
1816,7.467319932175087e-06,1.1402610891053655e-06
1817,9.496927731333926e-06,2.3524356578263905e-06
1818,1.0029286769963619e-05,9.870734976047402e-07
1819,9.241417828320664e-06,8.58102065848243e-07
1820,1.0386730480149708e-05,5.161919229834666e-07
1821,9.884169799079245e-06,7.169302227438834e-07
1822,9.61155804191094e-06,7.439006992626673e-07
1823,8.369647432004967e-06,9.437965999836706e-07
1824,9.600068523241134e-06,7.486369160147888e-07
1825,1.0828053007116978e-05,1.074264059042207e-06
1826,9.133879913747478e-06,7.927185841083428e-07
1827,6.846590473230663e-06,1.0719688297022856e-06
1828,7.461666939434508e-06,7.768938985464047e-07
1829,8.055356147451675e-06,1.44715208572066e-06
1830,9.430724787762301e-06,7.650200473108271e-07
1831,8.018557679179139e-06,8.294521884888439e-07
1832,9.112434710800699e-06,1.6263023647766772e-06
1833,1.0465808713888691e-05,1.0552685711928689e-06
1834,8.686714238592685e-06,1.2722965951894594e-06
1835,8.70738324465492e-06,1.2040435919402626e-06
1836,8.332386045140083e-06,1.033651375603739e-06
1837,7.959827073023007e-06,8.878268804579648e-07
1838,7.293702950050829e-06,1.0156268306360516e-06
1839,7.055097526631471e-06,7.620707798139392e-07
1840,6.677344650540817e-06,6.592627883605928e-07
1841,7.537724059147877e-06,8.924562724388352e-07
1842,6.920917101638224e-06,8.714036425772065e-07
1843,7.585655282582593e-06,7.927074836544534e-07
1844,7.089025793050041e-06,1.036789192276899e-06
1845,6.053989366705537e-06,1.1288801342601573e-06
1846,5.999107713705598e-06,1.0532247749495127e-06
1847,5.701716169426163e-06,7.669164192591893e-07
1848,6.272859550904286e-06,7.51423713474253e-07
1849,6.230932918072085e-06,1.2091495218413684e-06
1850,6.899656739278726e-06,1.0061291755292245e-06
1851,6.306261127519974e-06,1.493045072464838e-06
1852,6.749482395207451e-06,1.1985914349921245e-06
1853,6.968049916622476e-06,1.323977294021006e-06
1854,6.6852613400669725e-06,9.705501362589075e-07
1855,7.634559651137351e-06,1.375027412819918e-06
1856,6.480805353703545e-06,8.645906270920989e-07
1857,7.01619282494903e-06,8.606100376784553e-07
1858,6.3020758886978e-06,8.813510392613466e-07
1859,6.959473168421937e-06,9.98575205635177e-07
1860,7.022773090170631e-06,8.925508891977074e-07
1861,7.099411860167493e-06,9.681873454070455e-07
1862,6.448973493888843e-06,1.0233238900703157e-06
1863,6.414591609882336e-06,8.655677969926501e-07
1864,6.506445842546782e-06,7.350317874355028e-07
1865,5.8444885695507764e-06,9.074796123442752e-07
