year,vastes_ADJ ailes_NOUN
1800,1.2576657937302116e-08
1801,4.7623651688866175e-09
1802,2.9091921760482364e-08
1803,9.751696339321825e-09
1804,9.887403784603066e-09
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,2.4926814390369145e-08
1809,1.581321384946932e-08
1810,2.3401267590372754e-09
1811,1.0780430415024966e-07
1812,1.600324850414836e-08
1813,0.0
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,2.5493642752394408e-08
1817,2.80237220096069e-08
1818,1.0729059418679299e-08
1819,9.315945348475907e-09
1820,1.6613073583471305e-08
1821,2.5639868894700157e-08
1822,3.107940926838637e-08
1823,1.3835761869529506e-08
1824,1.1789557774477544e-08
1825,2.993850500843109e-08
1826,9.688783109140786e-09
1827,2.5808365222701468e-08
1828,2.0179061976932644e-08
1829,3.6864655328372464e-08
1830,1.6698937344017395e-08
1831,4.677361786775691e-08
1832,5.411987658021644e-08
1833,6.02348677603004e-08
1834,3.827157613045529e-08
1835,4.9916380362446944e-08
1836,4.9061476659062464e-08
1837,3.6181031504156635e-08
1838,5.7440672662778525e-08
1839,4.194885150354821e-08
1840,5.923810419972142e-08
1841,1.1235960073463502e-07
1842,4.561620414733625e-08
1843,4.252975926988256e-08
1844,4.720162749549672e-08
1845,3.459741293454499e-08
1846,3.1614305839866574e-08
1847,4.1527822958187244e-08
1848,2.574470947536156e-08
1849,3.603148357456121e-08
1850,5.159636984330973e-08
1851,4.9660677348128957e-08
1852,4.166749079104193e-08
1853,4.299791100947914e-08
1854,2.0263090760863633e-08
1855,5.1477289986223695e-08
1856,1.9673318973900678e-08
1857,4.637433548282388e-08
1858,1.7127865348243176e-08
1859,4.277425702525761e-08
1860,3.61597543019343e-08
1861,4.904602235455968e-08
1862,4.879425219428413e-08
1863,3.7459656709870615e-08
1864,1.6302074357099627e-08
1865,2.118079933666195e-08
1866,4.135770836910524e-08
1867,3.008743121313273e-08
1868,2.1735445443482604e-08
1869,2.4417595057002472e-08
1870,1.9495765002375265e-08
1871,2.6552942955504477e-08
1872,2.4794090336399677e-08
1873,1.7958013742713774e-08
1874,2.6885741633009275e-08
1875,2.803548326824057e-08
1876,2.1765654167893445e-08
1877,2.2265338017746217e-08
1878,2.1740719446938783e-08
1879,2.3826368433788048e-08
1880,2.631317030932223e-08
1881,2.4403776777148778e-08
1882,1.0648616211028639e-08
1883,1.516641390253426e-08
1884,1.9144920315739e-08
1885,2.707166935067562e-08
1886,2.452316216761119e-08
1887,1.3710741875172516e-08
1888,1.268122939990235e-08
1889,1.8168895721260014e-08
1890,3.47382496102e-08
1891,1.784781566982474e-08
1892,2.1312942521944933e-08
1893,2.6481190573690583e-08
1894,8.822155450616265e-09
1895,2.8287487907618925e-08
1896,1.47425724961181e-08
1897,1.8645483379486905e-08
1898,1.640922953072277e-08
1899,1.879376654301268e-08
1900,2.6474371139784125e-08
1901,1.676621685930968e-08
1902,2.4060391012881155e-08
1903,1.5660639007819555e-08
1904,2.579820090886642e-08
1905,1.3934049469810361e-08
1906,1.1317205839134203e-08
1907,2.3142794347563722e-08
1908,3.290630701258124e-08
1909,2.53045246978445e-08
1910,3.099607326362275e-08
1911,3.085817112946643e-08
1912,2.9693701719679666e-08
1913,2.4393752795504042e-08
1914,2.1429579888376793e-08
1915,1.4136913861761968e-08
1916,3.5159878564172686e-08
1917,3.5092558192673096e-08
1918,2.067547733020092e-08
1919,1.2890987832747669e-08
1920,3.028892692213958e-08
1921,3.332008802203745e-08
1922,2.2871599725249325e-08
1923,2.229349149729387e-08
1924,3.2229060309418855e-08
1925,3.519416935660047e-08
1926,2.0063049888108253e-08
1927,3.1217830098739796e-08
1928,1.9424270192303084e-08
1929,2.5622934884950155e-08
1930,2.7309368988426286e-08
1931,2.0529641986399838e-08
1932,3.1782654730250215e-08
1933,1.1470662641954732e-08
1934,2.6359476379411717e-08
1935,2.2739740757060645e-08
1936,3.758661648589623e-08
1937,1.888667711114067e-08
1938,1.9447821131279852e-08
1939,1.2235240376412548e-08
1940,3.803674530900025e-08
1941,8.854508237732261e-09
1942,1.517105907566929e-08
1943,9.00002916637277e-08
1944,4.177142187700156e-08
1945,8.714016175304096e-09
1946,1.5313215584455975e-08
1947,1.6689218895749036e-08
1948,1.4133454406817236e-08
1949,6.8719057111366055e-09
1950,2.4461330738745346e-08
1951,1.1727541604500402e-08
1952,1.687168627029223e-08
1953,3.124409886368085e-08
1954,2.6385848173049453e-08
1955,1.6894095011821264e-08
1956,1.3081712602058815e-08
1957,2.3854601849393475e-08
1958,6.617794756635931e-09
1959,1.007597205671118e-08
1960,2.4914999841030294e-08
1961,1.667558180429296e-08
1962,1.3952304200870458e-08
1963,1.2932106940866106e-08
1964,1.3993127545575135e-08
1965,1.7510538796727815e-08
1966,2.1602390987141007e-08
1967,1.1339771788243524e-08
1968,1.9313088017725022e-08
1969,1.3625273354023193e-08
1970,1.241655755990223e-08
1971,1.5415192677892264e-08
1972,1.1799337507056862e-08
1973,1.4334330167287135e-08
1974,1.012602890426706e-08
1975,7.4249242310031605e-09
1976,1.428381679602353e-08
1977,1.5279633558407113e-08
1978,1.7821774278559133e-08
1979,1.462993370893173e-08
1980,7.390696055153967e-09
1981,1.138598904049104e-08
1982,5.586751949948621e-09
1983,1.0104505676622466e-08
1984,1.5657322549600394e-08
1985,9.02333674446254e-09
1986,1.6185110141009318e-08
1987,1.4665960890170027e-08
1988,7.195864348830128e-09
1989,1.0427432250992297e-08
1990,9.80757164370516e-09
1991,6.4476117778156095e-09
1992,6.060938417817852e-09
1993,1.3294098266669607e-08
