year,pouvez_VERB avoir_VERB,pouvez_VERB savoir_VERB
1800,3.9930890238792927e-07,2.2009151834367913e-08
1801,4.548058711861813e-07,1.0239084957675004e-07
1802,4.968005100636219e-07,6.489736392722989e-08
1803,4.427270141604822e-07,9.946730017418304e-08
1804,4.671798308208963e-07,1.0134588990240445e-07
1805,3.439882050315646e-07,9.097208675257207e-08
1806,5.532804721042339e-07,5.76333825108577e-08
1807,3.3024679169102455e-07,2.562259560079383e-08
1808,2.6739672875919496e-07,2.2660739062985158e-08
1809,4.156616171258065e-07,7.454800510231507e-08
1810,4.773858677253884e-07,8.190443878675069e-08
1811,2.356652117896374e-07,3.008491944456182e-08
1812,3.867451994210569e-07,6.934741492159446e-08
1813,2.8469841595324397e-07,6.039057609541487e-08
1814,2.454408161156607e-07,2.2026739543434815e-08
1815,3.0478625490104605e-07,1.6183340889597275e-08
1816,4.357095235718589e-07,1.3905623319487859e-08
1817,4.966425990460266e-07,1.3856173097792635e-07
1818,3.5644319495986565e-07,9.06009489654025e-08
1819,4.2542816913737624e-07,1.438795891317568e-07
1820,4.687260002356197e-07,1.1629151686065597e-07
1821,8.747140327614034e-07,1.0354562363090736e-07
1822,6.025395009601198e-07,1.31335568198665e-07
1823,4.822751407118631e-07,7.708495530778237e-08
1824,7.587422601318394e-07,1.364220310051678e-07
1825,5.353709298105969e-07,1.2855946351919556e-07
1826,6.236052740860032e-07,2.4310037360919523e-07
1827,4.839068310502626e-07,1.0415518403306123e-07
1828,4.852147412748309e-07,8.255071293206129e-08
1829,4.586649140492227e-07,7.201467866480016e-08
1830,5.343659950085566e-07,1.3046044955444813e-07
1831,4.4434938217818853e-07,7.171954763407484e-08
1832,7.833852464500524e-07,8.523880978827947e-08
1833,5.722312721445633e-07,1.3205335847032984e-07
1834,5.535376885745791e-07,1.0081293311259287e-07
1835,7.215185746645147e-07,2.3143049077134492e-07
1836,6.377991894623847e-07,1.3105461960094544e-07
1837,4.974892249265395e-07,8.001574514082677e-08
1838,5.106538765176083e-07,1.0036337272367746e-07
1839,5.94974551404448e-07,1.4961756278353278e-07
1840,5.140338998899097e-07,9.490835850556323e-08
1841,3.6725538166137994e-07,9.374000597972554e-08
1842,4.2194986349386454e-07,6.238686722781495e-08
1843,4.276603533526213e-07,7.738053398043121e-08
1844,4.923239202980767e-07,9.056125804818294e-08
1845,4.559046260510513e-07,7.812319324784767e-08
1846,4.449420885066502e-07,9.191567329480677e-08
1847,3.9208737234730506e-07,3.9909856752728956e-08
1848,5.17307739755779e-07,4.907585093860689e-08
1849,3.8545309166693187e-07,6.703531596485846e-08
1850,4.74550830631415e-07,6.924776130290411e-08
1851,5.120854211781989e-07,5.804495017969202e-08
1852,4.140706835187302e-07,7.226705633911479e-08
1853,3.7742609038105e-07,4.538668108011734e-08
1854,5.938644562775153e-07,6.494580873095401e-08
1855,4.134103903652431e-07,6.686740761097099e-08
1856,4.5093318590261333e-07,6.523258377910679e-08
1857,4.2859650761783996e-07,7.66396937024183e-08
1858,4.903463377559092e-07,9.934162648050915e-08
1859,3.8598673768319713e-07,1.0388033899744187e-07
1860,3.886029276145564e-07,9.474770479300787e-08
1861,4.305674963234196e-07,8.913171711810719e-08
1862,5.764950401498936e-07,8.267915063697728e-08
1863,4.954663950229587e-07,6.493007020935693e-08
1864,5.072822091278795e-07,7.287986392157109e-08
1865,5.008082553104032e-07,1.09198786901743e-07
1866,5.196474717195088e-07,6.617233339056838e-08
1867,4.280179837223841e-07,5.095451882652924e-08
1868,4.465646270546131e-07,8.0025962745367e-08
1869,4.2242439235451457e-07,5.274200631788517e-08
1870,4.63311152998358e-07,6.938198993111655e-08
1871,4.3971672880616097e-07,7.965883241922711e-08
1872,5.170475105842343e-07,1.2094677970253542e-07
1873,4.1542870121702435e-07,7.24306516985962e-08
1874,4.5048551555737504e-07,1.027632805516987e-07
1875,5.372514237933501e-07,6.465325697035951e-08
1876,4.909364292871032e-07,7.376137745040978e-08
1877,3.846955678454833e-07,7.545475710912797e-08
1878,3.430202468734933e-07,4.1065803202400275e-08
1879,4.2093250840480323e-07,8.369775628125353e-08
1880,3.574740503609064e-07,6.417846520889725e-08
1881,4.39965219811711e-07,9.343160201069622e-08
1882,3.9932311324264447e-07,1.0914831705122197e-07
1883,3.728409865288995e-07,5.371438049905919e-08
1884,3.1424076496477937e-07,5.809493330843907e-08
