year,ces_DET herbes_NOUN,ces_DET serbes_NOUN
1800,4.181738830766335e-07,0.0
1801,4.095634125178549e-07,0.0
1802,5.348437923657912e-07,0.0
1803,5.012371868673426e-07,0.0
1804,3.683057911985088e-07,0.0
1805,4.889749618541828e-07,5.685755422035754e-09
1806,4.84120420196632e-07,2.881669125542885e-09
1807,2.1921554571591173e-07,0.0
1808,5.574542285557982e-07,0.0
1809,6.347875824985749e-07,0.0
1810,3.697400217106406e-07,0.0
1811,1.930449116116506e-07,0.0
1812,1.626997043757683e-07,2.1337665856435706e-08
1813,1.6966875548973803e-07,1.1502966579257645e-08
1814,1.7936060103806994e-07,0.0
1815,3.6951961490672147e-07,0.0
1816,1.900435186996674e-07,0.0
1817,3.8454773232388106e-07,0.0
1818,2.3842354934799914e-07,0.0
1819,2.732677284456031e-07,0.0
1820,1.4358442168571628e-07,0.0
1821,1.9525747063653398e-07,0.0
1822,2.5866089004011883e-07,0.0
1823,1.9468893874829973e-07,0.0
1824,1.9958037000833428e-07,6.736890156844311e-09
1825,1.5585634116632718e-07,0.0
1826,1.567821286130311e-07,0.0
1827,1.6591091167583727e-07,0.0
1828,1.8619770969507954e-07,0.0
1829,1.4488666977285902e-07,8.573175946935407e-09
1830,3.1310508319393193e-07,0.0
1831,1.668259024256713e-07,0.0
1832,2.1242051495562464e-07,4.058990921151917e-09
1833,2.6063163716116833e-07,0.0
1834,1.5868702862853468e-07,0.0
1835,2.2235478525090002e-07,0.0
1836,2.1170362174416368e-07,0.0
1837,2.463093276006134e-07,0.0
1838,1.401299938308398e-07,0.0
1839,2.405067505151237e-07,0.0
1840,1.5159859145796872e-07,0.0
1841,2.1252016146888764e-07,0.0
1842,2.1533530869533024e-07,0.0
1843,2.309602269434663e-07,1.2404513416441887e-08
1844,2.3545927163581837e-07,2.744280691580059e-09
1845,1.752191529647007e-07,0.0
1846,1.9671123840936389e-07,0.0
1847,1.2512278857457204e-07,3.235934187273415e-09
1848,1.8745366681116593e-07,0.0
1849,1.424500597480005e-07,1.6758829879393033e-09
1850,1.6972489902400412e-07,1.3577992064028876e-09
1851,2.0380226928295997e-07,6.449438760824933e-10
1852,1.4518516433525974e-07,2.3437962681782665e-08
1853,1.6243655132086587e-07,1.1943863675867306e-09
1854,1.865243479670653e-07,5.195664454227256e-10
1855,2.1174678366264743e-07,5.837630823180007e-09
1856,2.2261913379395537e-07,1.0354378465748937e-09
1857,1.332652033170234e-07,0.0
1858,1.424059750121387e-07,1.4681028059904122e-09
1859,1.9095649861355923e-07,2.5460866748261424e-09
1860,1.597437204736707e-07,6.408057529050382e-09
1861,1.542120182662643e-07,2.357981809808507e-09
1862,1.5180433710071384e-07,3.6143890658202338e-09
1863,2.1826493679100167e-07,0.0
1864,1.9418647845270698e-07,0.0
1865,1.798014572784723e-07,0.0
1866,1.8781265787026769e-07,4.865612912574591e-10
1867,1.6790727386251092e-07,2.91168689159349e-09
1868,1.6350983678137254e-07,7.409810987013543e-09
1869,1.8752712982461617e-07,1.1720445947105418e-08
1870,2.104395946389559e-07,2.69500293192948e-08
1871,1.5825554378068318e-07,1.0621177271019633e-09
1872,1.9411959506498988e-07,2.4189357183956872e-09
1873,1.7598853396805225e-07,2.9930022904522957e-09
1874,1.3323378400542651e-07,5.974609140757536e-10
1875,1.5905845884844894e-07,5.721527140956084e-10
1876,1.4631355149674619e-07,2.478866090172005e-08
1877,2.418263047587743e-07,6.80329748092845e-09
1878,2.49414361164213e-07,7.850815109122777e-09
1879,2.8958200815054624e-07,2.443730107160036e-09
1880,1.1552123124758396e-07,1.2835692508872398e-09
1881,1.443309114446123e-07,9.761510488814906e-09
1882,1.5174278189533652e-07,1.3310770263785798e-09
1883,1.8642049770534186e-07,0.0
1884,1.769254822647781e-07,0.0
1885,1.6307458317044166e-07,5.8010721781798225e-09
1886,1.1358096152491726e-07,4.517424601058195e-09
1887,1.2274378313748002e-07,7.1818169189441505e-09
1888,1.3632321582690565e-07,4.438430289965822e-09
1889,1.359534671507845e-07,6.891650361495749e-09
1890,1.2912141045262615e-07,0.0
1891,1.217476039983012e-07,0.0
1892,1.310119088770989e-07,6.268512375839919e-10
1893,2.0569110947832314e-07,1.539604183031784e-08
1894,1.2161970985857806e-07,2.520615716150587e-09
1895,1.48057914373112e-07,1.0833506536300774e-08
1896,9.907008546861107e-08,2.2408710331767168e-08
1897,1.4275448734224483e-07,1.3984112423592876e-08
