year,petites_ADJ ondes_NOUN,petites_ADJ sondes_NOUN
1800,6.917161954334006e-08,0.0
1801,3.809892135109294e-08,7.143547975374531e-09
1802,8.727576528144709e-08,0.0
1803,7.606323038089613e-08,5.851017448321727e-09
1804,2.9662210465630778e-08,0.0
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,4.839823830593559e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,2.3401267590372754e-09
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,2.300593315851529e-08,2.300593315851529e-08
1814,5.034683425719777e-08,0.0
1815,5.394447111228828e-09,0.0
1816,9.270415546325239e-08,6.952811659743929e-09
1817,4.3592454090912724e-08,3.113746815941454e-09
1818,6.675859509641668e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,1.1866481131050932e-08,7.119888678630559e-09
1821,4.930744257336528e-09,9.86148829262845e-10
1822,1.2030739071633434e-08,5.012807946513931e-09
1823,6.226093063332883e-08,1.9765373782121287e-09
1824,3.3684450784221553e-08,8.421112696055388e-09
1825,1.6730341556581152e-08,9.68598712347557e-09
1826,4.492072136486058e-08,4.403992281964975e-09
1827,4.885154680778214e-08,4.608636583469661e-09
1828,5.870272801189458e-08,1.1006761724274838e-08
1829,1.2859763920403111e-08,1.1145129263923081e-08
1830,1.5655253093882493e-08,5.218417697960831e-09
1831,3.4300654760954785e-08,7.795603274018958e-09
1832,1.6235963684607668e-08,9.470978667991403e-09
1833,2.20088942626262e-08,1.2741991461950875e-08
1834,1.6802156110884425e-08,9.334530925997342e-10
1835,6.655517381659593e-08,2.0420337421001022e-08
1836,3.36037508930076e-08,4.704525213838906e-09
1837,2.5048407792382932e-08,2.0873671680021744e-09
1838,5.5547026533986354e-08,1.0730675015224733e-08
1839,2.9364196407755117e-08,1.7478688718597368e-08
1840,1.9746034141121527e-08,1.46502836528839e-08
1841,2.1829865914924085e-08,1.5409316489467528e-08
1842,7.379091560011375e-09,1.1404051036834062e-08
1843,1.1223130869097986e-08,3.1306630177141415e-08
1844,4.006649589882727e-08,1.4819115712327857e-08
1845,2.0088821273134272e-08,3.459741293454499e-08
1846,8.196302303531411e-09,1.6392604607062822e-08
1847,2.9662729161827883e-08,1.9954928376364478e-08
1848,0.0,0.0
1849,1.508294644736452e-08,1.005529792763582e-08
1850,2.308258650884909e-08,2.0366988096043315e-09
1851,1.483370937194195e-08,3.8696632564949596e-09
1852,2.018269107395554e-08,7.812654523320361e-09
1853,2.5679307569248522e-08,1.6721408258035808e-08
1854,1.454786069388092e-08,1.1430461910322265e-08
1855,3.290301009428731e-08,1.9104973603134567e-08
1856,2.692138423299184e-08,2.4332790005132665e-08
1857,1.8549734193129552e-08,5.857811125054013e-09
1858,2.2510910469009104e-08,1.1255455234504552e-08
1859,1.5276519604867644e-08,2.036869339860914e-08
1860,1.5562426014525954e-08,1.2816115280145368e-08
1861,7.545541969022906e-09,1.1789909493131745e-08
1862,2.1234535907410645e-08,4.9697850279528666e-09
1863,1.1987090431375691e-08,1.6482248454963155e-08
1864,6.233146443435089e-09,1.2945765348604255e-08
1865,1.694463946932956e-08,3.765475486972036e-09
1866,5.838735361862746e-08,9.731225825149181e-10
1867,2.426405742994575e-08,5.82337378318698e-09
1868,5.433861360870651e-08,4.939874287401835e-09
1869,3.809144999422642e-08,3.906815315701806e-09
1870,2.2936195165357276e-08,4.587239033071455e-09
1871,3.717412155879174e-08,8.496941816815706e-09
1872,2.237515595027162e-08,6.047339518033823e-09
1873,1.3767810003173508e-08,2.9930022904522957e-09
1874,4.301718448118663e-08,5.377148060148329e-09
1875,2.1741803024610817e-08,6.293679799540541e-09
1876,1.813804395567331e-08,9.673623679873344e-09
1877,2.8450154232473324e-08,3.0924081073635534e-09
1878,4.1065803202400275e-08,3.0195443923020093e-09
1879,9.774920428640144e-09,6.10932526790009e-10
1880,1.3477476912271413e-08,1.2835692508872398e-09
1881,3.346803723047742e-08,1.1853263259808955e-08
1882,2.994923420374107e-08,3.9932310791357395e-09
1883,1.516641390253426e-08,3.159669414998234e-09
1884,2.3105939384038265e-08,1.9805090900604227e-09
1885,1.6758653131887513e-08,7.7347630522695e-09
1886,6.453463896605172e-08,1.2906927748801422e-09
1887,1.4363633837888301e-08,3.264462256069578e-09
1888,9.510921827882157e-09,6.340614699951175e-09
1889,1.8168895721260014e-08,1.2530273485467092e-09
1890,2.0974036729626278e-08,1.3108772733971819e-08
1891,1.3385862196457765e-08,1.3385862196457765e-08
1892,2.7581453565517222e-08,4.387958441043338e-09
1893,1.970693297437265e-08,5.542574843531156e-09
1894,2.0164925729204697e-08,1.2603078580752936e-08
1895,3.370423939941247e-08,6.018614495673091e-09
1896,1.592197840238896e-08,5.89702897624278e-10
1897,2.155884004650943e-08,9.905413378419325e-09
1898,2.6028432742464247e-08,3.3950129374460403e-09
1899,2.266307141951529e-08,8.844125432005967e-09
1900,1.4015843596837385e-08,3.633737311048435e-09
1901,4.079779358789892e-08,5.58873880507349e-09
1902,1.5712908307818907e-08,6.874397495693074e-09
1903,1.1340462791054051e-08,5.400220270956879e-09
1904,2.956043942958786e-08,4.837162670412454e-09
1905,1.2385822145688508e-08,5.160758931310738e-09
1906,1.7490227932626112e-08,3.600929110447737e-09
1907,1.5942815068115124e-08,6.1714118260169926e-09
1908,1.6698722404839828e-08,4.911389073214423e-10
1909,1.0451868703853506e-08,2.7504918342913243e-09
1910,1.4429207162436342e-08,3.206490406526541e-09
1911,3.1390207766435196e-08,5.3203743632934675e-09
1912,1.40654377034366e-08,5.209421227725386e-10
1913,6.522677153952827e-08,5.30298971401777e-10
1914,2.4777952134513725e-08,8.705766774141921e-09
1915,3.062998032987707e-08,0.0
1916,1.538244731591476e-08,4.394984820521586e-09
1917,2.8512703309502285e-08,0.0
1918,4.020231614276781e-08,3.44591288836682e-09
1919,5.616787390749778e-08,9.207848372660976e-10
1920,4.770506123463747e-08,3.786115865267448e-09
1921,6.209653236055601e-08,1.2873671018098776e-08
1922,5.976127681606158e-08,2.951174193910333e-09
1923,1.1783702547063513e-07,2.1231896241147297e-09
1924,8.25063998233233e-08,1.289162443462999e-09
1925,8.028669640225417e-08,0.0
1926,8.582526334066642e-08,3.343841648018042e-09
1927,1.1595194093771966e-07,3.3447675740205796e-09
1928,7.769708243454687e-08,3.4278122562625413e-09
1929,1.1474618588636076e-07,5.570202965543558e-09
1930,7.667630796959202e-08,2.4158287814657342e-08
