year,grandes_ADJ ondes_NOUN,grandes_ADJ sondes_NOUN
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,1.904946067554647e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,3.460591457837836e-08,0.0
1805,1.9900144199169745e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,4.601186631703058e-08,5.751483289628823e-09
1814,2.5173417128598885e-08,0.0
1815,3.506390555685357e-08,0.0
1816,0.0,2.3176038865813098e-09
1817,2.3353100786493997e-08,0.0
1818,5.960588467246453e-09,0.0
1819,1.4491470468058765e-08,1.2421260464634543e-08
1820,4.746592452420373e-09,0.0
1821,3.94459531705138e-09,1.97229765852569e-09
1822,0.0,3.0076847679083585e-09
1823,1.1859224713361982e-08,0.0
1824,4.210556348027694e-09,4.210556348027694e-09
1825,8.805443041381977e-10,8.805443041381977e-10
1826,3.5231937367541377e-09,0.0
1827,3.2260455640198415e-08,9.217273055917019e-10
1828,1.7427371545863934e-08,1.8344602503717056e-09
1829,6.001223074036943e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,3.897801548191637e-08,1.5591206103948707e-09
1832,1.488296597074168e-08,0.0
1833,0.0,0.0
1834,1.8669061851994684e-09,2.8003592777992026e-09
1835,3.6302822081779595e-08,7.563087933704082e-10
1836,1.8818100855355624e-08,1.3441500135158435e-09
1837,8.349468672008697e-09,2.0873671680021744e-09
1838,3.408567295082321e-08,0.0
1839,1.5381244722334486e-08,6.9914751765765e-10
1840,2.93005673057678e-08,4.458782232319436e-09
1841,9.630822361827995e-09,3.852329122366882e-09
1842,6.708265054555795e-09,2.683306021822318e-09
1843,1.8902115428431898e-08,9.451057714215949e-09
1844,1.1525978393933656e-08,1.1525978393933656e-08
1845,6.138250796539069e-09,5.580227946389016e-10
1846,1.1709002656346001e-08,9.367202125076801e-09
1847,1.240441438454809e-08,1.6179670936367074e-09
1848,1.609044275596716e-08,4.82713291560799e-09
1849,2.1786478399121734e-08,0.0
1850,1.2899092460827433e-08,4.073397619208663e-09
1851,2.257303499675345e-08,0.0
1852,1.6276363368206148e-08,5.208436348880241e-09
1853,2.09017620989016e-08,2.9859659189668264e-09
1854,1.1950028522278444e-08,2.0782657816909023e-09
1855,1.9104973603134567e-08,9.552486801567284e-09
1856,3.7793480345271746e-08,2.0708756931497874e-09
1857,3.3194261561675376e-08,4.393358121745905e-09
