year,quelques_DET ondes_NOUN,quelques_DET sondes_NOUN
1800,5.973912209356058e-08,0.0
1801,2.6193008650921e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,6.241085515057421e-08,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,1.1371510844071508e-08,0.0
1806,5.187004603612877e-08,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,1.1330369531492579e-08,1.3596443970698147e-08
1809,1.3554183553310395e-08,1.129515236897305e-08
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,5.034683425719777e-08,0.0
1815,1.0788894222457657e-08,1.6183340889597275e-08
1816,5.3304887615013286e-08,6.952811659743929e-09
1817,7.005930058312515e-08,3.113746815941454e-09
1818,2.026600220972341e-08,7.152706427149269e-09
1819,4.140419918030602e-08,1.0351049795076506e-08
1820,2.1359666035891678e-08,1.4239777357261119e-08
1821,2.9584464655840748e-08,1.0847637454958203e-08
1822,1.7043547018147365e-08,5.012807946513931e-09
1823,1.976537300496517e-08,3.9530747564242574e-09
1824,4.210556348027694e-09,6.736890156844311e-09
1825,7.044354433105582e-09,0.0
1826,5.284790383086602e-09,6.1655889282974385e-09
1827,1.935627302884768e-08,1.659109177820639e-08
1828,2.935136400594729e-08,1.6510141920278443e-08
1829,9.430493719264632e-09,6.858540846366168e-09
1830,1.1480519646056564e-08,0.0
1831,1.7150327380477393e-08,4.677361609140007e-09
1832,2.0294953273491956e-08,0.0
1833,3.01174338801502e-08,8.108539839568607e-09
1834,8.401078055442213e-09,2.8003592777992026e-09
1835,2.193295500774184e-08,6.050470346963266e-09
1836,8.736974699274924e-09,3.36037508930076e-09
1837,1.3915782304252389e-08,4.174734336004349e-09
1838,7.574594285131298e-09,1.0730675015224733e-08
1839,2.516931019158619e-08,2.0974426639952526e-09
1840,8.280594876453051e-09,7.64362617644565e-09
1841,1.0914932513372833e-08,7.704658244733764e-09
1842,4.024959032733477e-09,1.542900918138912e-08
1843,5.31621990873532e-09,3.5441467538532834e-09
1844,1.1525978393933656e-08,1.2623690648361219e-08
1845,2.2320911785556063e-09,4.8547981634783355e-08
1846,6.439951683034906e-09,1.3465353498887112e-08
1847,5.393223645455691e-10,4.853901280910122e-09
1848,9.65426583121598e-09,8.045221711050488e-10
1849,0.0,2.513824481908955e-09
1850,1.2220192857625989e-08,9.504594444820214e-09
1851,3.2247193804124663e-09,1.0964045893402385e-08
1852,1.3021090872200602e-09,3.906327261660181e-09
1853,5.971931837933653e-09,2.388772735173461e-09
1854,1.506742641765868e-08,6.234797567117312e-09
1855,9.021793090369101e-09,7.429711956774554e-09
1856,3.1063134287023786e-09,3.1063134287023786e-09
1857,4.393358121745905e-09,2.4407544874094356e-09
1858,4.893676019968041e-10,9.29798454896158e-09
1859,9.675129142294736e-09,5.601390462572908e-09
1860,2.288591982591015e-09,1.0527523297554353e-08
1861,8.017138064531082e-09,4.715963730639317e-10
1862,4.066187719864445e-09,6.325181045596651e-09
1863,2.4973103585068657e-09,2.497310414018017e-09
1864,1.9178911792039344e-09,9.589455896019672e-10
1865,5.177528628053096e-09,1.0825742080555756e-08
1866,4.865612801552288e-09,9.731225825149181e-10
1867,9.7056229719783e-10,9.220341823379385e-09
1868,6.421836395986702e-09,8.89177353968762e-09
1869,5.860222973552709e-09,1.4650557433881772e-09
1870,1.1468097582678638e-09,4.013834153937523e-09
1871,0.0,0.0
1872,6.047339295989218e-09,4.8378714367913744e-09
1873,4.1902030178953e-09,4.788803575905831e-09
1874,1.7923827755339516e-08,1.0754296120296658e-08
1875,4.577221712764867e-09,4.005068943158108e-09
1876,4.836811839936672e-09,7.255217537860403e-09
1877,1.608052180301911e-08,6.184815992682502e-10
1878,1.2078177347163432e-09,9.662541877730746e-09
1879,6.720257683667796e-09,3.0546627449723474e-09
1880,1.2835692508872398e-09,2.5671385017744797e-09
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,9.983077253750139e-09,2.6621540527571597e-09
1883,5.0554711528150165e-09,1.2638677882037541e-09
1884,3.9610181801208455e-09,0.0
1885,1.2891271383708158e-09,9.023890079618013e-09
1886,3.872078213618124e-09,1.2906927748801422e-09
1887,1.9586774424595887e-09,0.0
1888,1.9021844099853524e-09,1.9021844099853524e-09
1889,6.891650528029203e-09,6.265136742733546e-10
1890,4.5880703680722945e-09,6.554386478008212e-10
1891,7.0116419337296065e-09,1.2748440081367107e-09
1892,3.1342561879199593e-09,0.0
1893,5.173069800301633e-08,1.847525021858587e-09
1894,1.0082462864602348e-08,5.041231432301174e-09
1895,1.2037228769301578e-08,0.0
1896,5.897029087265082e-09,1.179405795248556e-09
1897,4.661370844871726e-09,2.330685422435863e-09
1898,1.6975064687230201e-09,3.960848315998078e-09
1899,0.0,2.7637891975018647e-09
1900,1.8168686111152965e-08,4.671947717582725e-09
1901,6.706486921359556e-09,6.147612641171918e-09
1902,5.4013122863239005e-09,9.820567692386817e-10
1903,1.0800440541913758e-09,5.400220270956879e-10
1904,1.0749250378694342e-08,0.0
1905,3.096455536422127e-09,7.2250627702885595e-09
1906,6.6874399351490865e-09,3.0865106026567446e-09
1907,1.0285686968813934e-08,1.5428530120153994e-09
1908,8.840499887696751e-09,9.822778146428846e-09
1909,4.400786846048277e-09,4.950885035270858e-09
1910,9.085056262847502e-09,3.2064905175488434e-09
1911,1.4897047595496815e-08,2.6601871816467337e-09
1912,1.3023552902780011e-08,1.5628263128064646e-09
1913,9.545381596254288e-09,3.71209285532359e-09
1914,5.357394972094198e-09,1.3393487430235496e-09
1915,1.1780762143587253e-08,2.3561523843085297e-09
1916,1.0987462051303964e-09,7.69122365795738e-09
1917,1.4256351654751143e-08,5.483212106582869e-09
1918,1.033773866510046e-08,2.2972752589112133e-09
1919,1.2890987832747669e-08,9.207848372660976e-10
1920,7.572231730534895e-09,7.572231730534895e-10
1921,9.087297137000405e-09,1.5145494858259667e-09
1922,1.0329110011753073e-08,2.2133805899215986e-09
1923,1.0615948120573648e-08,0.0
1924,7.734974438733389e-09,0.0
1925,1.2097995494286806e-08,3.299453377181294e-09
1926,1.2260752413340015e-08,1.1146138456652466e-09
1927,5.574612327308159e-09,0.0
1928,7.998228745975666e-09,2.2852082448565625e-09
1929,1.0026365515614089e-08,3.342121912552898e-09
1930,8.402882833991043e-09,1.0503603542488804e-09
1931,1.3686427990933225e-08,1.0264820993199919e-08
1932,1.8631212572728373e-08,5.4797684168050864e-09
1933,4.244145057619164e-08,4.588264879146209e-09
1934,3.354842448288764e-08,1.1981580172459871e-09
1935,7.180970484910176e-09,2.393656828303392e-09
1936,3.031178685830582e-08,2.424942913137329e-09
1937,3.147779614742774e-08,2.5182236296217297e-08
1938,2.463390735840676e-08,1.8151300462676545e-08
1939,1.6823456405745674e-08,1.5294050470515685e-09
1940,3.296517903095264e-08,0.0
1941,2.9515025534720962e-08,5.9030051957620344e-09
1942,1.517105863158008e-08,0.0
1943,2.6129116648121453e-08,2.9032352077962287e-09
1944,3.2131861615880553e-09,0.0
1945,1.742803235060819e-08,4.357008087652048e-09
1946,9.744772988540262e-09,1.1136883415474585e-08
1947,1.5497132244135514e-08,3.5762612871081956e-09
1948,1.1959077061973744e-08,3.2615663503321457e-09
1949,1.3743811200228606e-08,1.9634016634739737e-09
1950,1.808011518278363e-08,6.381216888229346e-09
1951,2.1322804077961166e-08,7.462981344019681e-09
1952,2.530752918339374e-08,5.272402070488624e-09
1953,1.723812381726475e-08,6.464296653518886e-09
1954,1.563605755983133e-08,4.886268278880834e-09
1955,3.660386926895853e-08,0.0
1956,2.703553825256222e-08,1.744228317335228e-09
1957,7.068030161150318e-09,2.6505113659425206e-09
1958,5.128790869779465e-08,1.6544486891589827e-09
1959,2.1702093455644444e-08,2.325224457422337e-09
