year,mes_DET sentiers_NOUN
1800,1.5720821977538435e-08
1801,3.5717739876872656e-08
1802,0.0
1803,7.801356893821776e-09
1804,3.213406074564773e-08
1805,0.0
1806,0.0
1807,1.9928686256776018e-08
1808,0.0
1809,1.8072244145628247e-08
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,1.5733386149463513e-08
1815,8.091670444798638e-09
1816,6.952811659743929e-09
1817,9.341240669868967e-09
1818,2.2650237241350624e-08
1819,1.3456364911235141e-08
1820,2.7292905713238724e-08
1821,3.35290586406245e-08
1822,9.023054303725075e-09
1823,1.2847493402468046e-08
1824,1.0947446504872005e-08
1825,9.68598712347557e-09
1826,6.1655889282974385e-09
1827,6.452091305675367e-09
1828,1.0089530988466322e-08
1829,5.143905745796928e-09
1830,1.1480519646056564e-08
1831,1.2472964883158966e-08
1832,1.758896062131754e-08
1833,1.1583628500844156e-09
1834,3.453776287187793e-08
1835,1.9664028627630614e-08
1836,2.2178475944656384e-08
1837,1.3219993100221927e-08
1838,2.209256599883247e-08
1839,2.586845759822154e-08
1840,1.592422194107712e-08
1841,1.8619590314017387e-08
1842,2.4149754640490073e-08
1843,6.497602011990011e-09
1844,7.683985892015244e-09
1845,1.897277535078956e-08
1846,1.8148954339380907e-08
1847,1.1325769655456952e-08
1848,9.65426583121598e-09
1849,1.6758829879393033e-09
1850,1.4935791270431764e-08
1851,1.6123596680017727e-08
1852,1.8880582430824688e-08
1853,1.6124216628554677e-08
1854,1.3508727469968562e-08
1855,1.8574279891936385e-08
1856,2.5368226630462232e-08
1857,1.757343343067319e-08
1858,1.859596826525589e-08
1859,3.360834410770508e-08
1860,1.6020143434047895e-08
1861,1.6977470096435354e-08
1862,1.0843167252971853e-08
1863,9.989241434027463e-09
1864,2.0617330065419992e-08
1865,2.259285342143258e-08
1866,1.4596838959768377e-08
1867,2.1837651686951176e-08
1868,1.2843672791973404e-08
1869,1.2697149442963962e-08
1870,7.454262984651905e-09
1871,1.0621176826930423e-08
1872,1.814201766592305e-08
1873,4.1303430009520525e-08
1874,5.974609251779839e-09
1875,1.4303817685856757e-08
1876,6.650616057868319e-09
1877,1.4843558382438005e-08
1878,8.4547240319921e-09
1879,1.4051448005147904e-08
1880,8.343200130767059e-09
1881,1.394501542018034e-08
1882,5.324308105514319e-09
1883,2.5277355764075082e-09
1884,3.9610181801208455e-09
1885,7.090199094506033e-09
1886,3.2267319927115068e-09
1887,7.834709769838355e-09
1888,6.974676169946292e-09
1889,6.891650361495749e-09
1890,1.5075089621063853e-08
