year,êtes_VERB en_ADP,êtes_VERB sans_ADP,etes_VERB en_ADP,etes_VERB sans_ADP
1800,6.225445758900605e-07,3.018398047061055e-07,0.0,0.0
1801,9.477106459598872e-07,2.6669243879950955e-07,0.0,0.0
1802,5.818384352096473e-07,2.998705781465105e-07,0.0,2.2378401354217203e-09
1803,6.007044817124552e-07,3.588624224448722e-07,0.0,0.0
1804,1.273003249480098e-06,4.3998946352985513e-07,0.0,0.0
1805,7.192480779849575e-07,3.2693094453861704e-07,0.0,0.0
1806,9.682407835498452e-07,3.169836020333605e-07,0.0,0.0
1807,5.067579991191451e-07,1.4804166426074516e-07,2.8469551160981155e-09,0.0
1808,4.826737836083339e-07,3.331128652916959e-07,4.5321479902327155e-09,0.0
1809,5.602395845016872e-07,2.620475356707175e-07,0.0,0.0
1810,1.1724034720828058e-06,5.452495202007412e-07,2.3401267590372754e-09,2.3401267590372754e-09
1811,5.214719749346841e-07,2.3315813280078146e-07,2.5070767684098882e-09,0.0
1812,8.081640885393426e-07,2.2671270016871858e-07,0.0,0.0
1813,6.757992991879291e-07,2.9620139230246423e-07,2.8757416448144113e-09,0.0
1814,5.821352715429384e-07,3.555745138328348e-07,0.0,0.0
1815,6.284531082201283e-07,3.749140660147532e-07,0.0,0.0
1816,8.273846106021665e-07,2.201723674488676e-07,2.3176038865813098e-09,0.0
1817,7.364011480603949e-07,3.191590565165825e-07,0.0,0.0
1818,8.642853686069429e-07,2.8491612624748086e-07,2.384235475716423e-09,0.0
1819,7.276788096532982e-07,2.836187604771112e-07,1.035105001712111e-09,0.0
1820,8.10480685231596e-07,4.0346034779759066e-07,4.746592452420373e-09,0.0
1821,1.0709576372391894e-06,4.230578554142994e-07,0.0,0.0
1822,1.052689640346216e-06,4.932603019369708e-07,1.0025615893027862e-09,0.0
1823,1.0090222986036679e-06,3.883895942635718e-07,1.9765373782121287e-09,9.882686891060644e-10
1824,7.705318125772465e-07,3.8989750805740186e-07,0.0,0.0
1825,9.421823961019982e-07,4.2354182028248033e-07,8.805443041381977e-10,0.0
1826,7.856722277210793e-07,2.9066347906336887e-07,1.7615968683770689e-09,0.0
1827,6.664088232355425e-07,3.1430900548912177e-07,0.0,9.217273055917019e-10
1828,7.934040695545264e-07,4.659528940464952e-07,1.8344602503717056e-09,9.172301251858528e-10
1829,7.244333914968593e-07,2.9577458349194785e-07,8.57317605795771e-10,0.0
1830,8.161605364875868e-07,4.2269184064025467e-07,2.0873671680021744e-09,0.0
1831,7.468187845915963e-07,3.1650148457629257e-07,3.1182412207897414e-09,0.0
1832,8.388581136387074e-07,4.126640646973101e-07,1.3529969367098715e-09,0.0
