year,puissiez_VERB avoir_VERB,puissiez_VERB savoir_VERB
1800,9.118077315406481e-08,3.144164484325529e-09
1801,1.0953439755212457e-07,4.7623651688866175e-09
1802,8.056224487518193e-08,1.1189200677108602e-08
1803,1.014176405078615e-07,1.1702034896643454e-08
1804,1.878606781247072e-07,1.2359254952798437e-08
1805,9.950071699904584e-08,8.528632911009026e-09
1806,1.2967511509032192e-07,1.729001475325731e-08
1807,7.117387923472052e-08,1.7081731584767113e-08
1808,9.290903335568146e-08,4.5321479902327155e-09
1809,1.0391540428145163e-07,0.0
1810,1.3572734758326988e-07,1.6380887757350138e-08
1811,5.264861258069686e-08,5.0141535368197765e-09
1812,1.360276229434021e-07,5.3344164641089264e-09
1813,9.202373263406116e-08,8.627225156487839e-09
1814,4.090680150170556e-08,0.0
1815,7.012781111370714e-08,0.0
1816,8.1116134253989e-08,0.0
1817,1.3077736582545185e-07,2.6466848268569265e-08
1818,1.4663048375496146e-07,4.053200441944682e-08
1819,1.1386155307491208e-07,5.175524897538253e-09
1820,1.6613073228199937e-07,9.493184904840746e-09
1821,2.583709886039287e-07,1.97229765852569e-09
1822,7.920236555492011e-08,3.0076847679083585e-09
1823,1.630643282624078e-07,7.906149512848515e-09
1824,2.054751462310378e-07,8.421112696055388e-09
1825,1.2944001070991362e-07,1.937197424695114e-08
1826,1.1274219957613241e-07,1.0569580766173203e-08
1827,9.954654700550236e-08,0.0
1828,1.0181254594954225e-07,5.503380862137419e-09
1829,1.4488666977285902e-07,1.0287811491593857e-08
1830,8.140732177253085e-08,6.262101504006523e-09
1831,9.198811312671751e-08,1.870944643656003e-08
1832,1.5288865995444212e-07,9.470978667991403e-09
1833,6.602667923516492e-08,1.1583628278799551e-08
1834,1.1761508744712046e-07,2.5203233278148218e-08
1835,1.2781617897417163e-07,1.5126175867408165e-09
1836,1.7003497987388982e-07,1.344150035720304e-08
1837,1.1410941169742728e-07,6.957891152126194e-09
1838,1.0983161757849302e-07,1.2624323808552163e-08
1839,1.649988092822241e-07,3.985140750728533e-08
1840,9.490835850556323e-08,8.280594876453051e-09
1841,1.0272877659645019e-07,5.1364388298225094e-09
1842,1.247737344556299e-07,8.720745015011744e-09
1843,6.438533262098645e-08,7.088293507706567e-09
1844,1.0812465944809446e-07,8.781698035420504e-09
1845,5.524425716885162e-08,1.785672942844485e-08
1846,8.54757189472366e-08,1.3465353276842507e-08
1847,7.065123242000482e-08,1.0786447290911383e-09
1848,6.355725190587691e-08,1.528592186161859e-08
1849,5.865590324560799e-08,1.5920887719289567e-08
1850,1.2152302986123686e-07,1.3577992064028876e-09
1851,9.02921399870138e-08,4.514607354622058e-09
1852,1.210961499964469e-07,7.161600201754936e-09
1853,8.002388796057858e-08,4.777545470346922e-09
1854,1.7249605832603265e-07,1.558699302961486e-08
1855,6.845948519185185e-08,4.2455496895854594e-09
1856,8.645906035553708e-08,3.6240324075009767e-09
1857,6.199516633387248e-08,5.857811125054013e-09
1858,1.1451201942236366e-07,9.297984604472731e-09
1859,6.772590666059841e-08,1.018434669930457e-08
1860,8.193158862468408e-08,5.950338888283113e-09
1861,1.12711532551657e-07,6.6023493339173456e-09
1862,1.3644319096783875e-07,1.3553959066214816e-09
1863,1.108805847138683e-07,8.490855130105501e-09
1864,1.2130661275477905e-07,2.8768367688059016e-09
1865,9.084209295906476e-08,6.118897832863013e-09
1866,1.0363755365006e-07,1.0704348518686402e-08
1867,7.424801395927716e-08,4.367530337390235e-09
1868,8.0025962745367e-08,9.87974857480367e-09
1869,7.618289998845285e-08,1.660396442559886e-08
1870,8.429051945313404e-08,1.4335121534259088e-08
1871,6.266494523288202e-08,5.3105884134652115e-09
1872,8.829115216713035e-08,4.8378714367913744e-09
1873,8.55998649740286e-08,2.21482157058972e-08
1874,5.018671700440791e-08,1.0156835372754358e-08
1875,1.178634576604054e-07,8.58229043387837e-09
1876,1.0338685285660176e-07,4.836811839936672e-09
1877,1.1565605717578364e-07,9.27722432209066e-09
1878,7.0657335982105e-08,5.435179861734696e-09
1879,1.0752412293868474e-07,6.109325489944695e-09
1880,9.11334154807264e-08,5.134277003548959e-09
1881,6.135806529528054e-08,1.4642266066289267e-08
1882,7.587139094766826e-08,3.3276925659464496e-09
1883,8.341527291122475e-08,5.0554711528150165e-09
1884,5.0833065756705764e-08,1.9805090900604227e-09
1885,5.0920522909336796e-08,3.2228177904158883e-09
1886,6.711602651421344e-08,8.38950331427668e-09
1887,5.4842967500690065e-08,3.264462256069578e-09
1888,9.827952851537702e-08,2.53624587998047e-09
1889,5.889228660294066e-08,0.0
1890,4.5880703680722945e-08,8.520702365899524e-09
1891,4.52569608455633e-08,7.649063604731055e-09
1892,6.080456671497814e-08,8.149066310636499e-09
1893,4.618812354806323e-08,5.542574843531156e-09
1894,6.679631781025819e-08,2.520615716150587e-09
1895,6.379731587458082e-08,2.4074457982692365e-09
1896,5.071444775239797e-08,3.5382172747233653e-09
1897,2.9716238358901137e-08,5.826713556089658e-10
1898,6.450524381307332e-08,5.6583548957434e-10
1899,5.30647525920358e-08,3.8693048765026106e-09
1900,4.8276795894253155e-08,1.142031713641245e-08
1901,2.794369535763508e-08,5.58873880507349e-09
1902,3.2407871941586563e-08,1.4730852093691738e-09
1903,3.564145245604777e-08,3.7801539676252105e-09
1904,5.5896101969210576e-08,2.1498500757388683e-09
1905,5.7800502162308476e-08,6.192911072844254e-09
1906,4.218231453023691e-08,4.115347618238729e-09
1907,4.011417686911045e-08,3.0857059130084963e-09
1908,4.174680867663483e-08,4.911389073214423e-09
1909,3.355599886845084e-08,9.901770070541716e-09
1910,3.580580809625644e-08,5.34415089958884e-09
1911,2.4473720827700163e-08,4.25629931299909e-09
1912,4.0112542620818203e-08,1.5628263128064646e-09
1913,3.818152549683873e-08,2.6514948014977335e-09
1914,3.4823067096567684e-08,2.0090231700464756e-09
1915,5.654765544704787e-08,0.0
1916,2.4172416956957932e-08,0.0
1917,1.973956464951243e-08,1.0966424435210342e-09
1918,5.054005569604669e-08,0.0
1919,4.051453217357448e-08,9.207848372660976e-10
1920,4.0132828615924154e-08,2.2716695191604686e-09
1921,3.710646367949266e-08,3.7863738810983705e-09
1922,2.87739485571592e-08,3.6889677978990676e-09
1923,3.6094224498128824e-08,4.246379248229459e-09
1924,3.2229060309418855e-08,0.0
1925,6.708888378170741e-08,1.0998178368026856e-08
1926,3.901148559748435e-08,1.5604593173179637e-08
1927,4.7941668412931904e-08,2.2298449753321847e-09
1928,5.255979118601317e-08,2.2852082448565625e-09
1929,4.67897081080082e-08,2.2280812750352652e-09
1930,4.20144132817768e-08,2.100720708497761e-09
1931,2.9653927313688655e-08,2.2810713318222042e-09
1932,4.4934100884574946e-08,7.6716757391182e-09
1933,4.7029715233293246e-08,5.735331320977366e-09
1934,2.516131836216573e-08,1.1981580172459871e-09
1935,3.7101681726881e-08,0.0
1936,4.364897421282876e-08,2.424942913137329e-09
