year,êtes_VERB avant_ADP
1800,0.0
1801,2.3811825844433088e-09
1802,8.951360541686881e-09
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,7.020380277111826e-09
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,1.622322720606917e-08
1817,4.670620334934483e-09
1818,3.5763532135746345e-09
1819,6.210630232317271e-09
1820,1.0679833017945839e-08
1821,9.86148829262845e-10
1822,2.0051231786055723e-09
1823,1.087095569118901e-08
1824,2.5263338088166165e-09
1825,1.7610886082763955e-09
1826,3.5231937367541377e-09
1827,4.608636583469661e-09
1828,4.586150570418113e-09
1829,6.858540846366168e-09
1830,3.1310507520032616e-09
1831,2.3386808933878456e-08
1832,8.117981842303834e-09
1833,1.1583628500844156e-09
1834,1.120143711119681e-08
1835,2.3445572594482655e-08
1836,8.736974699274924e-09
1837,9.045257876039159e-09
1838,7.574594285131298e-09
1839,1.3982949909063791e-08
1840,7.64362617644565e-09
1841,1.5409316489467528e-08
1842,4.024959032733477e-09
1843,1.3585895075607368e-08
1844,2.7442805805577564e-09
1845,7.812318791877715e-09
1846,8.781752214304106e-09
1847,3.775256551818984e-09
1848,5.63165514222419e-09
1849,6.703531951757213e-09
1850,2.7155984128057753e-09
1851,1.6123596680017727e-08
1852,1.0416872697760482e-08
1853,2.9859659189668264e-09
1854,2.5978321716024766e-09
1855,6.368324534378189e-09
1856,1.6049286344355096e-08
1857,1.0739319655783675e-08
1858,6.361778659424999e-09
1859,3.5645213447565993e-09
1860,4.57718396518203e-09
1861,4.715963619617014e-09
1862,5.421583626485926e-09
1863,1.2486552236623538e-08
1864,1.342523781033833e-08
1865,8.001635798393636e-09
1866,6.811858188626729e-09
1867,1.067618526917613e-08
1868,8.89177353968762e-09
1869,3.4184632902167778e-09
1870,1.490852596930381e-08
1871,8.496941816815706e-09
1872,1.7537283625301825e-08
1873,7.781805422268917e-09
1874,8.961913877669758e-09
1875,1.2015206607429718e-08
1876,4.232210137899983e-09
1877,4.9478527941460015e-09
1878,8.4547240319921e-09
1879,1.4051448005147904e-08
1880,7.059631101924424e-09
1881,4.183504653809678e-09
1882,6.655385131892899e-09
1883,5.0554711528150165e-09
1884,6.601696966868076e-09
1885,1.0957580620640783e-08
1886,5.162771099520569e-09
1887,5.876032105334161e-09
1888,1.521747527988282e-08
1889,1.8795409673089125e-09
1890,1.9663159989136147e-09
1891,3.1871101313640793e-09
1892,1.2537024751679837e-09
1893,4.310891643655168e-09
1894,3.780923574225881e-09
1895,4.814891596538473e-09
1896,7.076434549446731e-09
1897,6.992056267307589e-09
1898,1.5277558773618694e-08
1899,1.2160672469008205e-08
1900,4.15284251431558e-09
1901,3.912117296778206e-09
1902,1.6694965410124496e-08
1903,3.2401321625741275e-09
1904,1.6123875568041512e-09
1905,4.1286072338664326e-09
1906,8.230695236477459e-09
1907,7.71426478252124e-09
1908,1.5225305460830896e-08
1909,6.60118004702781e-09
1910,8.01622590529405e-09
1911,3.1922244847493175e-09
1912,7.293189607793238e-09
1913,4.242391771214216e-09
1914,4.68772043404897e-09
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,1.315970976634162e-08
1918,1.1486376294556067e-09
1919,1.5653341733923298e-08
1920,7.572231730534895e-09
1921,1.438822039290244e-08
1922,8.853522359686394e-09
1923,1.2739137744688378e-08
1924,6.445812328337297e-09
1925,5.499089184013428e-09
1926,1.0031524944054127e-08
1927,4.4596899506643695e-09
1928,5.713020723163709e-09
1929,1.0026365515614089e-08
1930,8.402882833991043e-09
1931,2.2810713318222042e-09
1932,3.287861094491973e-09
1933,8.02946331646126e-09
1934,3.5944740517379614e-09
1935,9.574627313213568e-09
1936,1.2124714565686645e-09
1937,7.554670666820584e-09
1938,2.5930428915188486e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,1.2528993842408909e-08
1947,1.3112957830685446e-08
1948,1.3046265401328583e-08
