year,des_DET eaux_NOUN,des_DET seaux_NOUN
1800,1.2161627836348998e-05,2.7983062977909867e-07
1801,1.0810568916497232e-05,3.262220051869491e-07
1802,1.0750584408469877e-05,2.2378401354217203e-07
1803,1.2193521158110343e-05,2.925508795215137e-07
1804,1.1934096463050992e-05,2.6943176645310984e-07
1805,1.0493061409988513e-05,2.757591308633067e-07
1806,8.725694257805117e-06,1.7001847130160286e-07
1807,1.0451171831959982e-05,3.3594070103504237e-07
1808,9.442730757314166e-06,3.217824939838465e-07
1809,1.143069447095968e-05,3.365955478784599e-07
1810,9.154575806746834e-06,1.4040760731859336e-07
1811,1.0775416043884434e-05,2.4820058808217027e-07
1812,1.0788856940280311e-05,1.76035744203773e-07
1813,9.303023773554742e-06,1.8979894389481444e-07
1814,7.325464238761015e-06,3.55574505839229e-07
1815,9.127404766218206e-06,7.552225866902518e-08
1816,8.081484850208653e-06,4.496151575494878e-07
1817,7.968077664344264e-06,1.4634609613040084e-07
1818,8.528410489816451e-06,3.2067967481452797e-07
1819,8.172153641794466e-06,2.8051346245838715e-07
1820,7.181594508409717e-06,1.827438156354333e-07
1821,6.7215905588113856e-06,1.1932401378089708e-07
1822,8.149823329972605e-06,1.443688688596012e-07
1823,6.7113327801848754e-06,1.5515817786138086e-07
1824,7.527632703840936e-06,1.1705346469881306e-07
1825,7.487268231187727e-06,2.210166143434833e-07
1826,8.103345280119356e-06,1.6030531924116076e-07
1827,7.783987014065019e-06,1.8803237367137626e-07
1828,7.69739506267797e-06,1.5501188421751522e-07
1829,8.64176151793572e-06,1.2688300898844318e-07
1830,8.167867537878237e-06,2.160424956709761e-07
1831,8.966502967666656e-06,2.3074985278093152e-07
1832,8.223515258976022e-06,1.677716170433996e-07
1833,9.679280147167901e-06,1.9112986449076885e-07
1834,8.237723786663764e-06,1.9975896403678917e-07
1835,8.491078808958719e-06,1.739510224751939e-07
1836,6.8820482610476574e-06,1.888530789528886e-07
1837,7.70795137583491e-06,1.5376939543898516e-07
1838,7.458450674846517e-06,1.4265485859255023e-07
1839,6.9446324175714835e-06,1.7688431785956027e-07
1840,7.442981001304361e-06,1.4331799569333725e-07
1841,7.3110786047436704e-06,1.6693426507785603e-07
1842,6.6042869377724855e-06,1.4959431648975396e-07
1843,7.415536231292208e-06,1.4294724609564824e-07
1844,7.332169111862186e-06,1.5093542959920825e-07
1845,7.733079932847886e-06,1.4564394296145977e-07
1846,7.986125666548105e-06,1.1591912851827146e-07
1847,6.925438384541849e-06,1.3321262315457716e-07
1848,6.943831074579521e-06,1.2067832755313646e-07
1849,7.152668619170299e-06,1.2150151462719805e-07
1850,6.721785084096155e-06,1.344221178811722e-07
1851,7.5155312018182485e-06,1.393078703504358e-07
1852,8.450037128682197e-06,1.8229526688173792e-07
1853,7.715138671926525e-06,1.863242706789947e-07
1854,8.09380572519558e-06,1.4340033760440463e-07
1855,8.42688534419267e-06,1.6345365594361283e-07
1856,7.945431899969435e-06,1.470321743246572e-07
1857,8.011532955265466e-06,1.6157795196258817e-07
1858,7.1614053993585e-06,1.2674620369912404e-07
1859,8.112850899522073e-06,1.0184346610486728e-07
1860,7.203114428477875e-06,1.986497770722906e-07
1861,7.572423086799063e-06,1.7779182748256517e-07
1862,7.998191151159517e-06,1.0481728218714181e-07
1863,7.627784853525554e-06,1.5882894555119265e-07
1864,7.602041137033666e-06,1.1747083161761651e-07
1865,7.054618528457013e-06,1.2896753492919188e-07
