avonsVERBeuVERB_count,avonsVERBtuVERB_count
1748.0000718843598,6.000000407054351
2168.000000352731,6.000000243219005
2004.9999248679615,8.99999994779779
2101.0001502551568,13.000000451118837
1671.0000429919091,12.000000273742696
1806.0000699194975,13.000000135170971
2010.9999707631325,6.999999741286955
1735.0000058165297,7.000000231690258
1965.9999820402631,15.999999638326903
2167.9999873726333,21.000000713350232
2162.999858189231,12.999999397475381
1998.9999182894403,20.000000098373466
1888.0001160215531,11.000000543337725
1920.000012467417,6.99999963365153
1872.9999451153285,11.000000239471817
1806.0000119266135,11.000000039822757
2261.99996591567,26.00000221596119
3437.999998435352,34.999999382511305
4597.00024208671,20.00000092264872
5307.99996167142,25.999999282922285
4784.000133129699,29.000001918465646
6126.999991411874,30.000000314142692
6063.00021875467,34.000000829290116
5149.999972151747,18.000000279736728
6361.999793076158,34.9999996159337
5820.000052891677,36.00000031884609
5762.000076325124,39.99999975764206
5608.00012633008,38.99999938279532
6251.999882747097,44.999996999733405
6918.000040849517,29.00000122445831
6321.000099593755,30.00000186197295
4214.000021082646,11.000000491948384
5478.0000809178355,21.999999935120087
5423.000020923333,19.000000312537296
6828.000476617172,42.00000238701183
7601.99970799147,45.99999834674246
8490.000071906476,77.00000145315808
9346.999778463161,46.00000015122881
9194.000032978634,71.0000017202288
9186.99968176642,61.00000043165773
9964.999915152559,79.9999966051948
10620.999453541284,47.9999989526433
9495.0003099749,47.99999853288524
11024.999793354265,49.99999884206068
11872.999758077083,64.99999847166936
11699.000151770717,52.99999829559866
12006.999564810003,41.999998842874966
12265.99948606552,41.00000101890607
9931.000313618424,11.999999689176267
9916.99980014568,39.99999737005074
10969.000505042564,52.00000168099258
9918.000123023889,45.000000313248535
10826.00015927599,72.00000080606698
12031.00046962865,57.99999923292703
13426.999631950457,45.999999712085156
12650.000509441414,73.00000208995276
13261.00011316219,92.99999962514359
15368.999519899447,57.999997065593725
14927.000862912846,53.00000010489955
14774.000072600918,43.00000101487461
17458.000560819415,54.00000311383431
16015.999125582233,78.99999539865878
17473.00030168908,79.00000253388879
15454.00039605649,60.00000473659225
15990.001092030378,44.00000077512315
17011.999489523558,59.000003017237475
15431.000935222037,51.999999885074246
15744.000377479384,58.99999965875369
16966.998326840305,33.999997051974155
16561.99980881499,62.99999708966724
13599.000137704305,32.000000511744666
9577.000282371511,15.00000057830474
16011.000601603351,40.00000196101227
14713.999810112367,33.999999937443086
14947.000783295225,38.00000261776625
14854.000838049846,40.99999982884728
13831.999550246474,58.9999967852478
12683.998886074918,27.99999889741782
13383.000860251741,46.000000247361115
14101.999329533919,32.999997278887044
13516.998853855901,40.99999940948586
13681.999313302205,48.00000059921623
13609.000978281318,62.00000026480928
14693.00089766037,54.00000340600188
13712.000080376543,33.999999185163794
14337.00092791647,37.00000052130372
13556.998970568879,37.999997528110114
13669.9993228456,39.99999923190877
14613.99877901829,38.99999797079996
15713.999169214872,40.00000015795379
14154.000598807528,27.999999661951204
14838.999602167794,23.999998566294494
15303.000144944215,35.00000146204096
15637.00099434474,24.00000003196186
14763.99942306857,23.00000002228884
16228.999524648312,17.00000015967845
16275.999936777192,15.000001168044971
16496.000361278617,21.000000746747382
17765.00056883055,16.000000612160022
17115.999775400935,24.99999969072131
17905.001543673734,19.000000927121743
17735.999164351957,17.999999744917137
18200.00098730928,25.000000322586722
17769.000239320812,24.0000009824587
18446.999019966537,19.99999929400122
18312.999001440094,20.999999316357993
18171.999581214244,22.9999998313775
18028.998835247727,22.999999080218934
19383.001355237106,27.00000183798757
17440.998964591163,26.999999098389917
18445.999226996402,32.99999909317451
17126.0004569418,22.00000048112583
18394.998732810644,18.999999385068552
17744.999184209042,18.99999985894125
14645.000208935535,29.000000676364223
10071.000636349865,9.000000399566805
10347.000771761726,15.00000073585224
10002.999262594602,12.99999947394015
8771.999764373766,21.000001060682052
10255.999732440447,10.999999789776627
11776.000026740554,34.00000211710425
12299.999999133177,12.000000689140203
12397.999993855497,22.000000242718684
8700.999726562952,18.99999906405675
7440.999976138726,15.999999536669513
8367.999640745144,20.000000327235515
7988.999748502105,9.999999721501302
8404.999933505092,12.000000723775559
7956.000545121788,16.000000554605435
8363.999985366414,12.999999662698494
8911.000146599392,30.000002078263062
8922.000810783642,11.000000533006808
8506.99975681326,16.000000081239506
8345.000124849774,5.999999824628388
7563.000527668376,9.00000019921036
7889.000183441993,8.000000334275759
7645.9996968069345,6.999999321952677
7302.999551758927,6.999999631691352
7007.999671484147,5.999999900555463
6105.9996843612025,7.999999782758891
3398.9998661402064,4.000000014045457
2852.9999898814062,7.000000275148317
2867.9998432467282,5.999999789642714
2884.999804893274,1.9999999532349162
2381.9998021411993,2.9999999193033933
3862.9998837160665,6.999999817781971
5730.999881006248,8.999999832168154
6947.999614293625,12.999999825649375
6977.999590179941,12.99999971393802
7051.9994305901455,10.999999759442732
7438.99999228386,7.000000296408368
7507.0001086640095,9.999999980176463
6893.999951360263,6.999999704425196
7178.000058129683,6.000000130132572
7944.999673620308,5.000000067427603
8210.999944791587,8.000000145823671
8753.000406838379,13.000000152360402
8150.999580309174,4.999999787445933
8465.999785586571,9.000000234332765
8511.000138754871,13.000000053601715
9874.999582788665,8.999999580119416
9590.00008940194,8.999999906753478
10462.999391010726,9.999999581792503
9958.000034699711,17.999999972234573
10613.999624587823,10.000000121235983
11133.000790278762,13.99999996886438
10616.000249525829,13.00000084569265
12309.000677538605,31.00000040678382
14322.000198946058,20.000000047432994
14147.999509780297,21.99999928305045
13195.000211052991,19.000000753846244
