year,vos_DET yeux_NOUN,vos_DET pieux_NOUN
1800,7.97045740341673e-06,3.772997558826319e-08
1801,1.043434210146188e-05,2.8574191901498125e-08
1802,6.380082311352453e-06,1.3427040812530322e-08
1803,8.000291884968647e-06,9.751696339321825e-09
1804,8.64900607666641e-06,9.887403784603066e-09
1805,8.087987183102996e-06,2.2743021688143017e-08
1806,5.7777466793140775e-06,0.0
1807,6.596394882762979e-06,1.7081731584767113e-08
1808,7.2695654864674e-06,1.5862518409903714e-08
1809,6.2326651857347315e-06,4.518061036407062e-09
1810,1.018657204099327e-05,2.3401267590372754e-09
1811,6.693895102216629e-06,5.0141535368197765e-09
1812,5.251732872579851e-06,2.6672082320544632e-09
1813,8.204490711705148e-06,2.8757416448144113e-09
1814,5.909459780184534e-06,3.776012569289833e-08
1815,5.192155455802094e-06,4.315557688983063e-08
1816,6.63066457207151e-06,2.0858434979231788e-08
1817,9.901714577154053e-06,1.556873407970727e-09
1818,7.463849300393122e-06,1.6689648107970356e-08
1819,8.468193954058734e-06,1.2421260464634543e-08
1820,9.236869317419405e-06,5.933240565525466e-09
1821,1.0589266196348035e-05,1.3806083387635226e-08
1822,9.78901107373531e-06,1.303330066093622e-08
1823,7.266739686428991e-06,7.90614973489312e-09
1824,8.318375051885596e-06,4.210556348027694e-09
1825,7.2662515719912335e-06,2.641632912414593e-09
1826,6.634173971065138e-06,1.673517047162676e-08
1827,6.147921325805328e-06,9.217273055917019e-09
1828,8.042273549335732e-06,1.2841221419535032e-08
1829,6.375870981401022e-06,1.2859763920403111e-08
1830,7.616802719212501e-06,3.1310507520032616e-09
1831,7.193782579406616e-06,9.354723218280014e-09
1832,7.570017857005951e-06,1.0823975604701275e-08
1833,7.457540192490342e-06,2.6642345218874652e-08
1834,7.6048422386065795e-06,5.600718555598405e-09
1835,7.858804451643664e-06,1.5882484660778573e-08
1836,6.175025248467136e-06,1.6129800606279332e-08
1837,5.731214969273424e-06,2.7831563720326358e-09
1838,5.822338124517046e-06,1.64116205070286e-08
1839,5.830890231095509e-06,1.6080392128969834e-08
1840,6.631482975194558e-06,7.64362617644565e-09
1841,6.130339713195099e-06,1.4125206782011901e-08
1842,6.120620973604218e-06,8.049918065466954e-09
1843,6.25660008779505e-06,1.1813821920725331e-08
1844,6.3606936606674935e-06,7.683985892015244e-09
1845,5.644400630444579e-06,1.3950569588416784e-08
1846,5.9733477968393345e-06,1.6392604607062822e-08
1847,5.204460684637979e-06,2.2112217834546755e-08
1848,5.282492459457444e-06,8.84974404868899e-09
1849,4.993293430288759e-06,4.1897072478036534e-09
1850,4.853453333453217e-06,1.6293590476834652e-08
1851,5.200827402518371e-06,7.094382858952031e-09
1852,5.131611814590542e-06,1.8880582430824688e-08
1853,5.1925948980624526e-06,1.0749477752369785e-08
1854,7.623078730034649e-06,9.871762074453727e-09
1855,6.12314408954262e-06,1.1144567935161831e-08
1856,6.7608912104333285e-06,2.588594649743925e-08
1857,5.273006294714833e-06,3.417056243515404e-08
1858,6.076477376382172e-06,1.663849857891364e-08
1859,5.0728233134123e-06,1.8331824946926645e-08
1860,5.825382004331914e-06,1.0985241161165504e-08
1861,6.031245817439412e-06,1.1789909770687501e-08
1862,7.0435407621971535e-06,8.584174260306554e-09
1863,5.9915471979365975e-06,1.8480097452311384e-08
1864,6.484389970751181e-06,2.9727313943794798e-08
1865,6.216329268227128e-06,1.4120533187167439e-08
1866,5.803703189144471e-06,1.6543083347642096e-08
1867,5.678759919192089e-06,6.308654931785895e-09
1868,5.609227088143598e-06,1.9265508632848594e-08
