year,jeunes_ADJ âges_NOUN,jeunes_ADJ pages_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,1.6668277424969347e-08
1802,0.0,3.3567602031325805e-08
1803,0.0,1.950339223455444e-09
1804,0.0,3.707776485839531e-08
1805,0.0,4.5486043376286034e-08
1806,0.0,3.7461699520235925e-08
1807,0.0,2.8469550272802735e-08
1808,2.2660739951163578e-09,2.7192887941396293e-08
1809,0.0,9.036122072814123e-09
1810,0.0,3.7442028144596406e-08
1811,0.0,7.521229861140455e-09
1812,0.0,1.8670457180292033e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,6.293354282149721e-09
1815,0.0,3.506390555685357e-08
1816,1.622322720606917e-08,2.0858434979231788e-08
1817,1.556873407970727e-09,5.916118794857539e-08
1818,0.0,5.960588467246453e-09
1819,0.0,4.34744116262209e-08
1820,1.1866481131050932e-09,2.4919610375206958e-08
1821,0.0,3.550135829755163e-08
1822,0.0,2.3058916553964082e-08
1823,0.0,2.569498569471307e-08
1824,0.0,4.968456313036995e-08
1825,0.0,4.3146670236637874e-08
1826,8.807984341885344e-10,9.953022583886195e-08
1827,0.0,1.6591091167583727e-08
1828,0.0,4.3109814384934e-08
1829,0.0,3.857929264938775e-08
1830,3.1310507520032616e-09,2.7135772739939057e-08
1831,1.5591206103948707e-09,1.870944643656003e-08
1832,0.0,1.2176972319366541e-08
1833,1.1583628500844156e-09,6.139323271980857e-08
1834,0.0,3.733812548034621e-08
1835,0.0,8.773182003096736e-08
1836,0.0,6.38471249203576e-08
1837,6.957890930081589e-10,6.888311787633938e-08
1838,0.0,5.491580878924651e-08
1839,2.0974426639952526e-09,6.502072169567441e-08
1840,0.0,3.1848443160509277e-08
1841,0.0,3.274479842829692e-08
1842,0.0,5.2324466093267574e-08
1843,0.0,2.5990408047960045e-08
1844,0.0,5.43367555394525e-08
1845,5.580227946389016e-10,5.022205229465726e-08
1846,0.0,3.8639708321852595e-08
1847,0.0,4.907833695000363e-08
1848,0.0,4.022610866627474e-08
1849,2.513824481908955e-09,2.262441967104678e-08
1850,0.0,2.7155985016236173e-08
1851,0.0,3.289213879043018e-08
1852,0.0,3.971432604998881e-08
1853,4.180352064508952e-09,2.329053394589664e-08
1854,2.0782657816909023e-09,3.221311928314208e-08
1855,8.491099379170919e-09,6.315255518529739e-08
1856,5.177189232874468e-10,3.882891874695815e-08
1857,7.322263684272912e-09,1.122747050885664e-08
1858,0.0,3.572383633354548e-08
1859,2.036869339860914e-09,2.49516496353408e-08
1860,1.8308735638683515e-09,2.8378540406492903e-08
