year,soyons_VERB heureux_ADJ
1800,4.087413785214267e-08
1801,9.048493865293494e-08
1802,3.8043282302169246e-08
1803,4.8758479032073865e-08
1804,3.460591457837836e-08
1805,7.107194432975916e-08
1806,2.0171683878800195e-08
1807,3.701041828563234e-08
1808,5.438577410643575e-08
1809,1.8072244145628247e-08
1810,5.148278958699848e-08
1811,3.5099072981381596e-08
1812,8.00162469616339e-09
1813,8.627224934443234e-09
1814,4.405348086322647e-08
1815,3.776113022269101e-08
1816,3.7081662185300956e-08
1817,4.826307531402563e-08
1818,2.6226590676969863e-08
1819,3.3123360054787554e-08
1820,6.05190555447166e-08
1821,8.08642042215979e-08
1822,7.017931125119503e-08
1823,1.9765373338032077e-08
1824,2.6105450245950124e-08
1825,2.553578504205234e-08
1826,6.517908524017457e-08
1827,5.8068819086543044e-08
1828,1.834460228167245e-08
1829,2.143293986733852e-08
1830,4.4878393445912934e-08
1831,2.8064171431196883e-08
1832,1.3529969367098715e-08
1833,3.243415935827443e-08
1834,4.1071935630299095e-08
1835,4.0084366048631637e-08
1836,2.4194700021240578e-08
1837,4.5226292044731053e-08
1838,4.1660268124132926e-08
1839,2.307186797168015e-08
1840,4.8409631858703506e-08
1841,6.099521066005309e-08
1842,2.884553929050071e-08
1843,3.426008454709972e-08
1844,3.45779365140686e-08
1845,4.1293685804077995e-08
1846,3.2785207437768804e-08
1847,4.6381723350918946e-08
1848,4.1835152453373325e-08
1849,5.4466196885982754e-08
1850,4.616517479405502e-08
1851,4.385618268543112e-08
1852,3.776116308529254e-08
1853,5.4941774685346445e-08
1854,4.468271530555512e-08
1855,4.988520885262915e-08
1856,6.626802395715004e-08
1857,3.856392272183484e-08
1858,4.208561232843522e-08
1859,3.920973412618878e-08
1860,6.453829293207036e-08
1861,5.564837213256624e-08
1862,5.331223995597156e-08
1863,3.3963421408600425e-08
1864,4.267307751604221e-08
1865,5.883555331820389e-08
1866,5.5954547661940524e-08
1867,6.308654931785895e-08
1868,2.766329565417891e-08
1869,4.199826442174981e-08
1870,7.511603783427745e-08
1871,4.248470997225695e-08
1872,4.233137662623676e-08
