year,leurs_DET airs_NOUN,leurs_DET pairs_NOUN
1800,1.886498623981936e-07,1.8236154630812962e-07
1801,1.381085894536227e-07,1.9049460320275102e-07
1802,7.832440473976021e-08,2.752543366568716e-07
1803,1.8918290400904425e-07,1.8333189188979304e-07
1804,1.9033252973699177e-07,1.1864884186252311e-07
1805,1.421438877713399e-07,1.7910129201936797e-07
1806,2.564685619432794e-07,2.737585589329683e-07
1807,1.5942949005420815e-07,3.1031811431603273e-07
1808,1.4049658503267892e-07,2.4700207745809166e-07
1809,1.0391540516963005e-07,2.7334269248058263e-07
1810,1.0296557917399696e-07,1.9189039335287816e-07
1811,1.0780430415024966e-07,1.5293167621166504e-07
1812,2.667208214290895e-07,2.507175622668001e-07
1813,2.0705339420779012e-07,1.2653262615458516e-07
1814,1.5104050810066383e-07,2.989343386161636e-07
1815,1.537417375629957e-07,3.37152954443809e-07
1816,1.0429217844887262e-07,2.75794860726819e-07
1817,1.588010940523077e-07,2.7868034635503136e-07
1818,5.364529886975333e-08,3.8505402244481957e-07
1819,8.591371281063687e-08,3.9851542510405125e-07
1820,2.5038275097699625e-07,3.0259528216447507e-07
1821,1.4200543052567127e-07,3.0077538326622744e-07
1822,8.72228582693424e-08,2.3660453507545753e-07
1823,1.353928098524193e-07,3.883895942635718e-07
1824,1.5494847005470547e-07,2.1221204349330947e-07
1825,1.6025906202088436e-07,3.125932153125177e-07
1826,1.5149733556540923e-07,4.271872455774428e-07
1827,9.770309539192112e-08,2.774399092686508e-07
1828,9.997808092521154e-08,2.1463185362335935e-07
1829,1.1830983304150777e-07,2.5376601797688636e-07
1830,1.7012042263786498e-07,3.3710981028889364e-07
1831,9.510636012066698e-08,3.445656489020621e-07
1832,1.5694764599061273e-07,1.6371262745451531e-07
1833,2.2588075054841283e-07,3.5793411257145635e-07
1834,1.7455573164681937e-07,3.397769319235522e-07
1835,1.406734426723233e-07,2.3445572594482655e-07
1836,1.0148332352244438e-07,2.688300071440608e-07
1837,1.0158520957759265e-07,2.5674617631921137e-07
1838,9.405121303984743e-08,4.380640348244924e-07
1839,9.088917574118227e-08,3.635567225046543e-07
1840,8.981260979368244e-08,3.089299127623235e-07
1841,9.502411835171642e-08,2.8122002504460397e-07
1842,1.09344717280635e-07,2.3076431432400568e-07
1843,9.74640315121178e-08,2.717179086175747e-07
1844,1.1416207801318023e-07,3.671847537134454e-07
1845,4.185171054160719e-08,3.4653214697755175e-07
1846,9.133021894314197e-08,2.5232901634808513e-07
1847,6.417936226910115e-08,3.376158019818831e-07
1848,7.964769821455775e-08,2.767556281924044e-07
1849,8.128032291665477e-08,2.7735862317967985e-07
1850,4.8880770542325536e-08,1.9077079116414097e-07
1851,4.6435958633850305e-08,1.8638877463672543e-07
1852,1.6211258824228025e-07,1.9792058481016284e-07
1853,9.73424918448984e-08,1.4272917780999705e-07
1854,9.248282384355377e-08,2.052287442211309e-07
1855,1.1356845419641104e-07,2.3032106355458382e-07
1856,1.1027413204800496e-07,1.68258651456199e-07
1857,1.0007093553809909e-07,1.8744995600172842e-07
1858,1.04235298392652e-07,2.6523724727667286e-07
1859,1.2883198241553373e-07,2.856709215848241e-07
1860,9.566314140840859e-08,2.7600418661677395e-07
1861,7.969978632615948e-08,2.1834911478890717e-07
1862,7.861296413835817e-08,2.2861010506858293e-07
1863,7.841554694465458e-08,3.1116488230509276e-07
1864,1.0212770273909655e-07,2.6179213818977587e-07
1865,1.0119715088130476e-07,2.466386490596051e-07
1866,9.244664234131506e-08,2.0435574299426662e-07
1867,9.268870115874961e-08,2.2808214339420374e-07
1868,1.0620729096189052e-07,2.963924430332554e-07
1869,1.8215526154108375e-07,1.9827088237889257e-07
1870,9.518521082441112e-08,2.6835348876375065e-07
1871,6.266494922968491e-08,2.3685225869485294e-07
1872,9.494322972258828e-08,2.2435628466155322e-07
1873,7.72194583831265e-08,2.8433521492843283e-07
1874,1.0276327522262818e-07,2.479462750670791e-07
1875,7.895707676564001e-08,2.4316489088960225e-07
1876,8.94810217033637e-08,2.6300165245629614e-07
1877,7.792867950939808e-08,1.4163228456709476e-07
1878,1.0266450534146543e-07,1.9687429642090137e-07
1879,1.1118971743329098e-07,3.9954986164048023e-07
1880,8.086486347202992e-08,2.4644529617035005e-07
1881,1.0737661404469634e-07,2.3776250657192577e-07
1882,1.118104702158007e-07,2.282797169073092e-07
1883,1.1438003311159406e-07,1.8515663668949855e-07
1884,1.181703774832954e-07,2.614272034406895e-07
1885,8.572695131547903e-08,2.1012772322137607e-07
1886,9.873799999837729e-08,2.755629111561575e-07
1887,9.989254978748363e-08,2.768263982488861e-07
1888,7.735549889531512e-08,1.813415764218007e-07
1889,8.833842990441099e-08,2.938349155101605e-07
1890,8.061895417910137e-08,2.569319406120485e-07
1891,8.732681422429778e-08,2.626178741138574e-07
1892,1.0029619978979554e-07,2.3193496190287988e-07
1893,9.9766346517427e-08,2.290930893877885e-07
1894,9.830401559440816e-08,2.7978833827546623e-07
1895,9.328852534906673e-08,2.9852327543267165e-07
1896,1.0083919566028499e-07,2.2939443056202435e-07
1897,9.905413378419325e-08,2.3423388029186754e-07
1898,9.73237049839426e-08,2.370850751276521e-07
