year,sommes_VERB assez_ADV,sommes_VERB passés_ADJ
1800,3.458580977167003e-07,0.0
1801,4.0480102825313224e-07,1.1905912700171939e-08
1802,2.8196785706313676e-07,2.2378401354217203e-09
1803,2.5354410126965377e-07,1.1702034896643454e-08
1804,3.5594652558756934e-07,1.4831105232815389e-08
1805,2.7860201612384117e-07,5.685755422035754e-09
1806,3.342736079048336e-07,1.4408345627714425e-08
1807,2.3345032218458073e-07,2.8469551160981155e-09
1808,2.628645745517133e-07,4.5321479902327155e-09
1809,2.0331275152329908e-07,1.129515236897305e-08
1810,3.814406568380946e-07,0.0
1811,2.281439890339243e-07,1.0028307073639553e-08
1812,3.0139452178445936e-07,0.0
1813,3.9397659179485345e-07,0.0
1814,2.989343386161636e-07,0.0
1815,3.3985017466875433e-07,1.0788894222457657e-08
1816,3.1519414278591285e-07,9.270415546325239e-09
1817,3.144884317407559e-07,4.670620334934483e-09
1818,2.7537919322639937e-07,0.0
1819,3.115665947461821e-07,5.175524897538253e-09
1820,2.9072879215163994e-07,1.1866481131050932e-09
1821,4.753237305976654e-07,2.465372084259343e-08
1822,3.9400669038514025e-07,0.0
1823,3.281052158854436e-07,1.7788837070042973e-08
1824,3.0905482617527014e-07,5.894778887238772e-09
1825,3.7247025375108933e-07,8.805443041381977e-10
1826,3.021138752501429e-07,8.807984341885344e-10
1827,3.087786524247349e-07,6.452091305675367e-09
1828,3.6138865766588424e-07,0.0
1829,2.803428458264534e-07,8.573175946935407e-09
1830,4.352160658527282e-07,6.262101504006523e-09
1831,4.11607828709748e-07,1.5591206548037917e-08
1832,3.504262053866114e-07,2.1647950987357945e-08
1833,4.51761508202253e-07,9.266902800675325e-09
1834,3.7058086377328436e-07,4.760610750054184e-08
1835,4.0084364627546165e-07,6.050470346963266e-09
1836,4.308000711716886e-07,2.755507466645213e-08
1837,3.8685874415023136e-07,2.0873672568200163e-08
1838,3.717863421570655e-07,1.3255539776935166e-08
1839,3.628575484526664e-07,4.194885327990505e-09
1840,3.560655841283733e-07,1.46502836528839e-08
1841,3.839488158519089e-07,1.4125206782011901e-08
1842,3.6492963317869e-07,3.3541325272778977e-09
1843,3.8749337250010285e-07,4.7255288571079745e-09
1844,4.0725123540141794e-07,1.0977122322231025e-08
1845,4.2242325548613735e-07,5.580227835366713e-09
1846,3.4014652783298516e-07,1.2879903366069811e-08
1847,3.30065290654602e-07,8.089835468183537e-09
