year,autres_ADJ îles_NOUN,autres_ADJ iles_NOUN,autres_ADJ piles_NOUN
1800,1.2765307246809243e-06,7.54599476238127e-08,1.5720821977538435e-08
1801,1.7835058088166988e-06,9.048493798680113e-08,9.524730337773235e-09
1802,1.2733310086332494e-06,5.147032311469957e-08,2.6854081625060644e-08
1803,1.2365151178528322e-06,1.1702035251914822e-07,4.6808139586573816e-08
1804,1.579512741045619e-06,1.1617699291477379e-07,4.943701892301533e-09
1805,7.050336989777861e-07,3.4114532976303735e-08,5.685755422035754e-09
1806,8.702641025593039e-07,3.45800286183362e-08,1.3832011802605848e-07
1807,1.2014151025141473e-06,6.832692100999793e-08,5.693910232196231e-09
1808,1.6723626004022663e-06,9.51751069067086e-08,1.5862518409903714e-08
1809,1.185991006735776e-06,6.325285539787728e-08,1.3554183553310395e-08
1810,4.984469796909252e-07,3.978215445954447e-08,0.0
1811,8.549131962354295e-07,1.42903374467096e-07,2.2563691359778204e-08
1812,6.241266987672134e-07,7.201462359773814e-08,8.00162425207418e-09
1813,1.0036338835561764e-06,5.176334849643638e-08,1.1502966579257645e-08
1814,5.915753149565717e-07,1.8880063290538374e-08,0.0
1815,7.363420309047797e-07,1.8880565111345504e-08,5.394447111228828e-09
1816,1.3233518529887078e-06,2.5493642752394408e-08,0.0
1817,1.0244226587019511e-06,7.78436682891126e-08,0.0
1818,6.950046416154265e-07,3.9339885127276375e-08,0.0
1819,7.214682113954041e-07,2.587762526484738e-08,2.070210003424222e-09
1820,1.1095160061813658e-06,3.44127952800477e-08,0.0
1821,6.617058829760936e-07,4.7335143804616564e-08,1.7750679148775816e-08
1822,8.31123543321155e-07,4.3110148340019805e-08,2.0051231786055723e-09
1823,5.652896675201191e-07,4.941343512143703e-08,2.9648061783404955e-09
1824,7.739002727547017e-07,5.052667439997549e-08,5.894778887238772e-09
1825,8.400392630392162e-07,3.25801385869795e-08,0.0
1826,9.750439176059444e-07,6.077509029367434e-08,2.642395191543301e-09
1827,9.696570941741811e-07,9.770309250534126e-08,2.7651818612639545e-09
1828,8.869615157891531e-07,6.420610765278667e-08,1.6510142586412258e-08
1829,9.439066843697219e-07,1.0459274896179593e-07,3.429270423183084e-09
1830,8.579078780712734e-07,4.905312778191728e-08,6.262101504006523e-09
1831,6.454759500229557e-07,4.5214498811674275e-08,3.1182412207897414e-09
