year,les_DET arts_NOUN,les_DET parts_NOUN
1800,4.5247672190384947e-05,4.873454955145462e-07
1801,3.912521257376511e-05,3.000290007548756e-07
1802,4.153655066829742e-05,5.326059522303694e-07
1803,4.048904326481306e-05,6.767677049879239e-07
1804,4.027881173840342e-05,9.788529595766704e-07
1805,4.311792697819783e-05,6.766049054363066e-07
1806,4.534018168556031e-05,6.080321952595114e-07
1807,4.801389907527209e-05,1.1871802905183415e-06
1808,3.9787727871498646e-05,1.051458355050272e-06
1809,3.578756209066114e-05,7.319259065496908e-07
1810,3.754265478050911e-05,8.330851173354858e-07
1811,3.647796724237651e-05,6.167409103419175e-07
1812,3.812240651512866e-05,5.361088368793787e-07
1813,3.824448761946542e-05,7.822017131786652e-07
1814,3.671857689724334e-05,3.6816121884442055e-07
1815,3.341859902938893e-05,3.047862582317151e-07
1816,2.9528590809846378e-05,2.873828854887961e-07
1817,3.207470657606848e-05,3.1604529304729567e-07
1818,3.106420353304884e-05,4.422756820776641e-07
1819,3.446175026766696e-05,4.823589355718028e-07
1820,3.125393749314753e-05,4.912723312600065e-07
1821,3.4561559809631603e-05,5.660494402093263e-07
1822,3.086786915673656e-05,5.413832440126498e-07
1823,2.9126255565614656e-05,5.277354855337535e-07
1824,2.7163984043454548e-05,3.5452884983300237e-07
1825,3.2852227807467216e-05,4.825382795559108e-07
1826,2.961596720396642e-05,5.328830415818331e-07
1827,3.0185647712954733e-05,9.171186518552865e-07
1828,2.7465538266824296e-05,7.961557670910224e-07
1829,3.197537445842613e-05,8.281687991495978e-07
1830,2.8974743937482117e-05,8.620826292826678e-07
1831,2.6205700084602768e-05,8.076244633059559e-07
1832,2.9242323105194146e-05,5.628467053542252e-07
1833,2.843896600168705e-05,1.1097116114910932e-06
1834,2.7117744961557833e-05,1.0940070527265533e-06
1835,2.3476582086345843e-05,8.077377842141686e-07
1836,2.2072288142993557e-05,7.244968358577353e-07
1837,2.318299692127823e-05,6.269059875663174e-07
1838,2.260953234767271e-05,6.387907807159365e-07
1839,2.385701067453283e-05,8.753326918853332e-07
1840,2.2706028898866748e-05,5.458822940340724e-07
1841,2.277496923497324e-05,8.648479066231118e-07
1842,2.118336024992118e-05,6.909512921815519e-07
1843,2.33163508323031e-05,9.102549932693549e-07
1844,2.134227001704403e-05,9.824524558332826e-07
1845,2.0550305787736534e-05,7.66723296408145e-07
1846,2.145616139870299e-05,7.394235108648672e-07
1847,2.196498213535847e-05,7.545119871110728e-07
1848,1.9405075526890414e-05,7.594689281353872e-07
1849,1.7859885637960815e-05,1.0951894877653245e-06
1850,1.9543482764561304e-05,1.142588004654499e-06
1851,1.8847195018878438e-05,7.049236352418831e-07
1852,2.088648052200881e-05,9.798371165548048e-07
1853,2.1364585627736687e-05,7.930725760552093e-07
1854,1.9926931617675336e-05,7.149234402259452e-07
1855,2.0755961188001493e-05,8.331891514501422e-07
1856,2.0478371190790767e-05,1.0095518934161163e-06
1857,1.9153577291319834e-05,7.478471691912958e-07
1858,1.9120571487007965e-05,6.694548566610337e-07
1859,2.097771677611604e-05,9.883908442809286e-07
1860,1.9160548887953155e-05,7.602702364328806e-07
1861,2.0510198549317238e-05,7.922819277306203e-07
1862,1.912373269163936e-05,5.945669987461599e-07
1863,1.9033002427448764e-05,6.962501618024142e-07
1864,1.851580022815824e-05,6.439319484297101e-07
1865,1.6150124572789082e-05,7.112041717771689e-07
1866,1.6014678227094237e-05,7.580625182024292e-07
1867,1.6944077479763564e-05,6.915256491879518e-07
1868,1.7036142814674804e-05,7.172697255031224e-07
1869,1.5496871320408445e-05,7.286210603751897e-07
1870,1.6873012150142586e-05,7.087284186191312e-07
1871,1.148255466887349e-05,9.760861985341762e-07
1872,1.4941161154524707e-05,1.048003944958964e-06
1873,1.4085666869334545e-05,8.847314427740116e-07
1874,1.3083796467583397e-05,9.380136400949368e-07
1875,1.4717484404513925e-05,9.068620414609541e-07
1876,1.550681874817883e-05,7.986785788283157e-07
1877,1.4830569810442285e-05,7.700096030793802e-07
1878,1.5379746734822675e-05,1.2289545665566948e-06
1879,1.4357524932506749e-05,7.483923463169617e-07
1880,1.5814214819442896e-05,9.588262257498315e-07
1881,1.3218479580245912e-05,8.304256453595116e-07
