year,ces_DET oeufs_NOUN
1800,3.615789267996661e-07
1801,6.976865258856435e-07
1802,4.788977889802482e-07
1803,1.9054813833463413e-06
1804,3.781931923185766e-07
1805,2.1321583432154512e-07
1806,3.1698359492793315e-08
1807,1.2811298155668283e-07
1808,6.571614541428517e-08
1809,2.0331274441787173e-08
1810,6.084329395861232e-08
1811,1.7549537822958428e-08
1812,5.867858199337661e-08
1813,7.189354267467252e-08
1814,1.1013369771717407e-07
1815,2.1577788444915313e-08
1816,5.7940095388175905e-08
1817,7.784367150875937e-08
1818,1.2994083675721413e-07
1819,1.6354659493345025e-07
1820,4.153268395867826e-08
1821,2.465372128668264e-08
1822,3.208197085768916e-08
1823,1.9765373338032077e-08
1824,3.705289586264371e-08
1825,3.698285966358128e-08
1826,4.4039921931471326e-08
1827,1.0415518292283821e-07
1828,6.787503004090922e-08
1829,2.4004893184326193e-08
1830,5.009681003365074e-08
1831,2.962329048727952e-08
1832,2.1647950543268735e-08
1833,3.011743432423941e-08
1834,2.426977996350388e-08
1835,4.689114518896531e-08
1836,2.8227149950765806e-08
1837,3.757261257675282e-08
1838,5.996553897880119e-08
1839,3.425822836522485e-08
1840,1.2102408630809691e-08
1841,1.9903700021473014e-08
1842,6.372851713010164e-08
1843,2.3036953011867922e-08
1844,3.51267913645259e-08
1845,2.622707162558413e-08
1846,5.0348711866377016e-08
1847,4.96176593145492e-08
1848,4.103063222515857e-08
1849,4.022118993418644e-08
1850,2.647708363667789e-08
1851,3.3537080890155835e-08
1852,3.255272740254611e-08
1853,1.851298847554972e-08
1854,2.5458756269802763e-08
1855,9.552486801567284e-09
1856,1.3978410429160704e-08
1857,2.4895695727167322e-08
1858,1.3702293022443968e-08
1859,2.49516496353408e-08
1860,9.840945319750105e-08
1861,3.536972786877257e-08
1862,1.4005757942303632e-08
1863,1.5982786483181854e-08
1864,4.698833366845179e-08
1865,1.2708479713019472e-08
1866,9.731225880660332e-09
1867,2.0867089389753346e-08
1868,9.87974813071446e-09
1869,1.0743742118179966e-08
1870,1.9495765446464475e-08
1871,1.5931765684484844e-08
1872,6.047339295989218e-09
1873,1.6760812293625804e-08
1874,2.0313670745508716e-08
1875,3.089624645014055e-08
1876,1.7533442697725832e-08
1877,1.6699003513309663e-08
1878,2.8987626299326053e-08
1879,2.382636854481035e-08
1880,1.9253539207397807e-08
1881,6.275256814181063e-09
1882,2.8618155623050257e-08
1883,2.274962085380139e-08
1884,1.5183903023796574e-08
1885,1.289127143921931e-08
1886,1.936039151217983e-08
1887,2.154545120092166e-08
1888,1.4583414031932307e-08
1889,1.8795410006156033e-08
1890,2.1629475988049762e-08
1891,3.250852198544152e-08
1892,2.5074048615181255e-08
1893,9.976634818276153e-08
1894,1.575384822594117e-08
1895,1.083350587016696e-08
1896,1.0024949259612725e-08
1897,2.097616846885586e-08
1898,1.9238406756549864e-08
1899,1.1607914629507832e-08
1900,1.557315965072803e-08
1901,2.235495610847238e-08
1902,2.0623193042190735e-08
1903,2.2140903555012414e-08
1904,2.2573424907079698e-08
1905,3.0448477628119974e-08
1906,9.773950315761226e-09
1907,2.7257069490360664e-08
1908,2.0136694756089923e-08
1909,3.575639284658649e-08
1910,2.2979848468551722e-08
1911,5.7460039837309296e-08
1912,1.82329742415277e-08
1913,3.234823831022027e-08
1914,4.3528834758888024e-08
1915,2.1205370792642952e-08
1916,2.6369908034951095e-08
1917,2.6319419199616334e-08
1918,1.2635013924011673e-08
1919,1.381177239245801e-08
1920,2.953170463726451e-08
1921,1.817459427400081e-08
1922,2.5084981203349344e-08
1923,4.777176787484905e-08
1924,2.836157397823058e-08
1925,4.3992711695750586e-08
1926,3.9011484376239025e-08
1927,6.02058146670359e-08
1928,2.2852082448565625e-08
1929,1.0694789942533589e-07
1930,7.247486522032887e-08
1931,6.044838940510999e-08
1932,2.9590748518160126e-08
1933,4.932384722877714e-08
1934,5.751158482780738e-08
1935,4.667630548738089e-08
1936,5.45612155455899e-08
1937,4.9105360555579125e-08
1938,4.019216603978748e-08
1939,6.576441702321745e-08
1940,4.817987697691706e-08
1941,5.6078550692006957e-08
1942,3.944475457373642e-08
1943,1.7419411246777372e-08
1944,1.2852744646352221e-08
1945,4.1391576388605245e-08
1946,3.201853981948943e-08
1947,2.3841741469965427e-08
1948,6.305694988384403e-08
1949,4.123143415579733e-08
1950,2.658840281277719e-08
1951,3.411648574758175e-08
1952,4.007025555807786e-08
1953,4.955960619668076e-08
1954,3.615838295445428e-08
1955,5.255940527248981e-08
1956,2.3547082506070183e-08
1957,4.417518850718949e-08
1958,4.053399216275011e-08
1959,4.185403779111141e-08
1960,2.6991250623442653e-08
1961,4.168895617606694e-08
1962,2.2196847582200974e-08
1963,4.138274078968607e-08
1964,4.1370985692790185e-08
1965,2.462419568249885e-08
1966,4.154306143533404e-08
1967,2.5144711202074177e-08
1968,2.4253645314331607e-08
1969,1.5441976364272136e-08
1970,3.173120166621857e-08
1971,2.8261185391897925e-08
1972,2.9241836674298582e-08
1973,2.4809417631388442e-08
1974,3.937900050487997e-08
1975,4.1693803520814754e-08
1976,3.1995751326174826e-08
1977,3.584837049430689e-08
1978,3.2673252658987906e-08
1979,2.574868185334367e-08
1980,3.752199351225727e-08
1981,3.289285732677172e-08
1982,2.9796010991844923e-08
