year,moins_ADV heureux_ADJ,moins_ADV peureux_ADJ
1800,1.7135696239733988e-06,1.2576657937302116e-08
1801,1.4810956088240346e-06,2.3811825844433088e-09
1802,1.4434069441904285e-06,0.0
1803,1.4900591693844945e-06,0.0
1804,1.984896208284681e-06,0.0
1805,1.700040840546535e-06,0.0
1806,2.1900684714637464e-06,2.881669125542885e-09
1807,1.4320184291705118e-06,0.0
1808,1.5907839472362184e-06,0.0
1809,1.53388173451674e-06,0.0
1810,1.9727269204850018e-06,2.3401267590372754e-09
1811,1.9555199060050654e-06,0.0
1812,2.0670864060434724e-06,0.0
1813,2.2517057516324712e-06,0.0
1814,2.168060618146228e-06,0.0
1815,1.7208286351433344e-06,1.6183340889597275e-08
1816,1.5829234030206862e-06,4.6352077731626196e-09
1817,2.0395041957499416e-06,0.0
1818,1.9777233575268838e-06,0.0
1819,2.1437025452542002e-06,1.035105001712111e-09
1820,2.393469273442861e-06,0.0
1821,2.2425024823746753e-06,0.0
1822,2.0321923415167475e-06,2.0051231786055723e-09
1823,1.9103233768191785e-06,0.0
1824,2.133067937393207e-06,1.0105335235266466e-08
1825,2.264759928038984e-06,2.641632912414593e-09
1826,1.6585434039484426e-06,1.0569580766173203e-08
1827,1.9771050432382253e-06,0.0
1828,1.7271443084609928e-06,2.7516904310687096e-09
1829,1.8029388755280706e-06,8.57317605795771e-10
1830,1.903678878534265e-06,1.3567886369969528e-08
1831,1.6682590384675677e-06,4.677361609140007e-09
1832,2.0971451846207856e-06,1.488296597074168e-08
1833,2.0109179388327902e-06,1.1583628500844156e-09
1834,1.9135788846824653e-06,2.8003592777992026e-09
1835,1.6298454497132298e-06,1.3613558280667348e-08
1836,1.662041455574581e-06,1.8818100855355624e-08
1837,1.6455411966376232e-06,6.957890930081589e-10
1838,1.6108637552747496e-06,4.418513555037862e-09
1839,2.118416922769484e-06,4.194885327990505e-09
1840,1.995623421180426e-06,1.2102408852854296e-08
1841,2.0924567820657103e-06,4.494383976094696e-09
1842,1.929297070546454e-06,8.720745015011744e-09
1843,2.2605747602710835e-06,5.31621990873532e-09
1844,2.0922396259948073e-06,8.232841963717874e-09
1845,1.8040876454961108e-06,1.562463758375543e-08
1846,1.8792948992540914e-06,9.367202125076801e-09
1847,2.0208409523547743e-06,3.235934187273415e-09
1848,1.8399421861658993e-06,1.6090443422100975e-09
1849,2.1208298761621336e-06,1.1731181359664333e-08
1850,1.8445702210101445e-06,1.6293590476834652e-08
1851,1.749087743974087e-06,4.514607354622058e-09
1852,1.8301142716836694e-06,6.510545436100301e-10
1853,1.9295312085887417e-06,4.777545470346922e-09
1854,1.9353850433390107e-06,7.79349651480743e-09
1855,2.0946480390193756e-06,0.0
1856,1.8130516963310583e-06,1.5531567143511893e-09
1857,1.8539971051723114e-06,4.881508974818871e-09
1858,1.9780238176281273e-06,1.8595969208945462e-08
1859,2.0552011648078405e-06,3.5645213447565993e-09
1860,2.0299811041013527e-06,5.034902272882391e-09
1861,1.8750671415546094e-06,5.187560159214399e-09
1862,2.000112488076411e-06,1.8071945051545413e-09
1863,1.7146532940159886e-06,1.9978483312144135e-09
1864,1.7989819554031783e-06,5.753673537611803e-09
1865,1.961812756690051e-06,6.589582213223366e-09
1866,1.7861664503016073e-06,6.3252967308358166e-09
1867,1.6130745734699303e-06,3.396968040192405e-09
1868,1.7645229917206962e-06,9.87974857480367e-09
1869,1.7409745964869217e-06,1.0255390314739543e-08
1870,1.971365989561491e-06,6.307453670473251e-09
1871,1.577244773898201e-06,4.248470908407853e-09
1872,1.6533426077103286e-06,2.4189357183956872e-09
1873,1.616221211975244e-06,1.9155214303623325e-08
1874,1.6089622505432999e-06,1.9118749250424116e-08
1875,1.734194881919393e-06,1.2015206607429718e-08
1876,1.6795829154148123e-06,3.02300739996042e-09
1877,1.5820759386997452e-06,8.658742167710898e-09
1878,1.5906959163203283e-06,6.039088784604019e-09
1879,1.5664309955809586e-06,1.832797580370027e-09
1880,1.6731325587215906e-06,2.5671385017744797e-09
1881,1.7131450960050643e-06,2.091752326904839e-09
1882,1.5653465226250773e-06,3.3276925659464496e-09
1883,1.490732046249832e-06,5.687405213450347e-09
1884,1.527632619513497e-06,4.621187876807653e-09
1885,1.5650003035716509e-06,3.2228177904158883e-09
1886,1.6269182623318557e-06,1.936039240035825e-08
1887,1.3554046986996582e-06,7.834709769838355e-09
1888,1.2681229009103845e-06,4.4384300679212174e-09
