year,vingt - deux pages
1800,3.4447684704730364e-09
1801,0.0
1802,1.7244529360027627e-08
1803,4.28571134136746e-09
1804,0.0
1805,1.5611176351626455e-08
1806,4.107911166784106e-08
1807,0.0
1808,2.490148087730404e-09
1809,3.95353474402782e-08
1810,4.8721517487138044e-08
1811,5.7945371167988924e-08
1812,1.43124921692106e-07
1813,9.441196269222019e-09
1814,2.4075651694488442e-08
1815,4.434626177385326e-08
1816,1.0132563232900793e-08
1817,2.2179605707606243e-08
1818,5.213291576211532e-09
1819,3.052644359513579e-08
1820,1.2948726535455535e-08
1821,1.1880353700810531e-08
1822,4.056962144005638e-08
1823,2.159174394833485e-09
1824,2.205009153044557e-08
1825,1.153284501231866e-08
1826,1.7299063514997215e-08
1827,2.4145570876044076e-08
1828,1.0023107677170628e-08
1829,5.5256414555060474e-08
1830,4.907985839963658e-08
1831,5.1343445051088565e-09
1832,1.3343645299812579e-08
1833,4.055609537090277e-08
1834,1.0228743407836305e-09
1835,1.991905307363595e-08
1836,2.2764817586562458e-08
1837,8.350086844188809e-09
1838,1.0323364385556033e-08
1839,7.642579014088824e-09
1840,1.3917078600655941e-09
1841,2.3867287701762052e-08
1842,8.802249595873946e-09
1843,1.871711674539256e-08
1844,1.4361537736817809e-08
1845,1.4640971102153344e-08
1846,1.5375851702970067e-08
1847,1.3548379307337655e-08
1848,1.4094426070698773e-08
1849,2.4770370643523165e-08
1850,2.3033205565070602e-08
1851,3.9527986217535727e-08
1852,1.569376983923121e-08
1853,1.5688900845134413e-08
1854,2.6142645381810325e-08
1855,2.152581524139663e-08
1856,1.7580535471850567e-08
1857,8.55951576284042e-09
1858,1.8227359177558355e-08
1859,2.0067338013518565e-08
1860,1.8064735984868463e-08
1861,2.530283538249023e-08
1862,1.0397278593643478e-08
1863,2.522002162663739e-08
1864,3.7796684893010024e-08
1865,2.0122461863447683e-08
1866,3.0967974851137114e-08
1867,1.2775996260927514e-08
1868,1.514775149757952e-08
1869,3.589399355519163e-08
1870,1.8849864558134755e-08
1871,1.5164403066592058e-08
1872,2.719739722323311e-08
1873,2.689773936914719e-08
1874,2.7531688928661424e-08
1875,2.829136724891157e-08
1876,3.386823888007484e-08
1877,3.6080067378208014e-08
1878,3.190481834280945e-08
1879,2.7554168724464034e-08
1880,4.805548631248158e-08
1881,1.3063467640961335e-08
1882,2.711224311724436e-08
1883,2.2293150880869916e-08
1884,2.1824526574842906e-08
1885,3.480021026902591e-08
1886,4.195762803860248e-08
1887,7.922886346989344e-09
1888,2.865497883419721e-08
1889,2.9039061100188945e-08
1890,1.2289256723363451e-08
1891,2.3189784315036377e-08
1892,8.300625964352548e-09
1893,2.5813178483602428e-08
1894,2.0180548787607222e-08
1895,1.461230686450321e-08
1896,2.7318288409183822e-08
1897,1.868134003046862e-08
1898,3.4334257881241115e-08
1899,1.8911270771582167e-08
1900,6.309604838605765e-09
1901,1.726856879713523e-08
1902,9.19215903394388e-09
1903,6.557091314363106e-09
1904,1.6025112348216908e-08
1905,1.7093688353675418e-08
1906,1.6459406282365308e-08
1907,1.4209224019623434e-08
1908,2.549686278774388e-08
1909,2.972372037390869e-08
1910,3.126129932695676e-08
1911,1.2330801713034134e-08
1912,1.839270957759709e-08
1913,2.2819291345399506e-08
1914,1.625050582987342e-08
1915,2.0780955622967667e-08
1916,2.781473007473778e-08
1917,6.0305116456049745e-09
1918,3.791308933465132e-09
1919,1.8242904076259947e-08
