year,mais_CONJ oser_VERB,mais_CONJ poser_VERB
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,6.713520406265161e-09,2.2378401354217203e-08
1803,3.1205427575287104e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,4.610670600868616e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,1.8072244145628247e-08
1810,2.8081521108447305e-08,1.4040760554223652e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,3.1466772298927026e-08,0.0
1815,3.506390644503199e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,1.3905623319487859e-08
1817,2.3353101674672416e-08,0.0
1818,4.768470951432846e-09,4.768470951432846e-09
1819,2.070210003424222e-09,1.8631890696951814e-08
1820,3.9159387732468076e-08,2.3732962262101864e-09
1821,1.577838171229473e-08,8.875339574387908e-09
1822,2.606660132187244e-08,7.017931125119503e-09
1823,1.1859224269272772e-08,0.0
1824,1.0105335235266466e-08,9.263223965660927e-09
1825,7.044354211060977e-09,0.0
1826,4.403992281964975e-09,6.165588817275136e-09
1827,8.295545916858771e-09,2.1199728195142598e-08
1828,1.1923991571904935e-08,1.3758451711254338e-08
1829,2.2290258527846163e-08,4.286588028978855e-09
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,4.677361609140007e-09,2.02685670469549e-08
1832,6.76498479457166e-09,8.117981842303834e-09
1833,1.50587169400751e-08,3.4750886612755494e-09
1834,7.467624740797874e-09,1.0267983796552471e-08
1835,1.0588323107185715e-08,1.285724948729694e-08
1836,5.3765999430410716e-09,1.0081125434435734e-08
1837,3.4789453540184923e-09,1.3915781860163179e-09
1838,5.680945935893078e-09,1.0099458824797125e-08
1839,6.9914751765765e-10,2.6567605893035307e-08
1840,3.821813199245128e-09,1.2102408408765086e-08
1841,1.3483151928284087e-08,1.5409316489467528e-08
1842,1.0733223643200063e-08,1.2745703159566801e-08
1843,1.122313109114259e-08,2.0674188139224725e-08
1844,2.744280691580059e-09,1.3172547053130756e-08
1845,6.138250796539069e-09,2.0088821273134272e-08
1846,9.367202125076801e-09,2.4003455223464698e-08
1847,6.47186837454683e-09,2.48088296572746e-08
1848,1.206783206697537e-08,2.654923125788855e-08
1849,1.0893239643650077e-08,1.0893239643650077e-08
1850,6.1100964288129944e-09,2.0366988096043315e-08
1851,5.804494884742439e-09,1.0319102239364497e-08
1852,1.9531636308300904e-09,1.8229527221080843e-08
1853,1.074947708623597e-08,1.3735443005202796e-08
1854,7.79349651480743e-09,1.7145692865483397e-08
1855,5.837630823180007e-09,7.429711956774554e-09
1856,8.283502550554545e-09,1.2425254158898724e-08
1857,4.881509085841174e-09,7.322263462228307e-09
1858,1.2234189661342043e-08,8.31924928945682e-09
1859,3.5645213447565993e-09,6.61982535454797e-09
1860,1.0527523297554353e-08,1.2816114836056158e-08
1861,1.4619487398448427e-08,7.545542080045209e-09
1862,1.8071945051545413e-09,1.5361153460347055e-08
1863,1.4983862484108101e-09,7.991393546902259e-09
1864,5.753673537611803e-09,4.315255153208852e-09
1865,2.8241067262513297e-09,2.0710115400390805e-08
1866,9.244664589402873e-09,5.352174259343201e-09
1867,6.308654931785895e-09,1.455843445796745e-08
1868,7.903798504571569e-09,7.409811209058148e-09
1869,1.953407657850903e-09,2.246418784324078e-08
1870,1.6628741938973235e-08,2.2936195165357276e-09
1871,2.1242354542039266e-09,1.0621177271019633e-09
1872,4.233137618214755e-09,2.4794091224578096e-08
1873,1.1373408326242895e-08,1.496501145226148e-08
1874,9.559374958278966e-09,2.3300974483220216e-08
1875,4.005069165202713e-09,1.4875970677508121e-08
1876,3.02300739996042e-09,1.4510435297765412e-08
1877,7.421779413263607e-09,9.27722432209066e-09
1878,4.2273621270183526e-09,1.1474268202249505e-08
1879,1.0996785482220162e-08,4.276527687530063e-09
