year,quelques_DET eaux_NOUN,quelques_DET peaux_NOUN
1800,7.074370231840987e-07,1.7921736983339542e-07
1801,4.5242469548512076e-07,1.476333271188679e-07
1802,2.215461734067503e-07,8.056224487518193e-08
1803,3.58862413563088e-07,8.776526527753958e-08
1804,1.9527622896475805e-07,7.909923160909216e-08
1805,2.4164460610265337e-07,1.02343598484822e-07
1806,1.671368039524168e-07,3.7461699520235925e-08
1807,5.209927849136875e-07,1.3380689267705748e-07
1808,3.8296650961555656e-07,1.3143228727585665e-07
1809,2.6882463544097845e-07,2.2364401619512364e-07
1810,1.8955026881428694e-07,1.9891076874500868e-07
1811,1.6546706893549867e-07,4.011322829455821e-08
1812,2.827240734859515e-07,1.1202274663446588e-07
1813,2.5594101771275746e-07,3.738464116054274e-08
1814,1.2272040805783035e-07,3.776012658107675e-08
1815,1.3755840200246894e-07,8.091670444798638e-09
1816,2.827476599520651e-07,6.952811304472561e-08
1817,3.0826092256575066e-07,4.3592454090912724e-08
1818,1.4663048819585356e-07,4.053200441944682e-08
1819,2.411794675083456e-07,8.177329391401145e-08
1820,1.6494408328071586e-07,7.594547923872597e-08
1821,2.2188348380858258e-07,8.08642042215979e-08
1822,9.223566621585633e-08,9.123310462655354e-08
1823,1.1661570775700625e-07,7.906149246394989e-08
1824,1.7515914407795208e-07,4.0421342717422704e-08
1825,1.0654586324321258e-07,4.842993561737785e-08
1826,1.2771577084791375e-07,6.958307607884961e-08
1827,2.3135354698666788e-07,9.862482092115599e-08
1828,1.797770985412228e-07,4.4027045675854026e-08
1829,1.6803425140210493e-07,7.715858690859889e-08
1830,1.5863990387998683e-07,1.1480519246376275e-07
1831,1.8709446880649239e-07,9.51063565679533e-08
1832,2.597754102939831e-07,8.523880801192263e-08
1833,2.0618858442844612e-07,1.4016190696963804e-07
1834,1.54953209374753e-07,1.241492633141661e-07
1835,1.4218605315363675e-07,1.4899283229397042e-07
1836,1.5726554947192994e-07,5.376600176187907e-08
1837,1.315041417981888e-07,7.931995771315314e-08
1838,8.39517539930057e-08,8.77390533560174e-08
1839,1.2514740621583087e-07,7.550793468258377e-08
1840,1.1338045879938363e-07,5.6690230731959446e-08
1841,1.585875448739671e-07,8.346713054052657e-08
1842,6.708265187782558e-08,7.244926436555943e-08
1843,9.982679527453797e-08,6.379463807215657e-08
1844,1.158086453401097e-07,5.708103723023328e-08
1845,8.705155485344562e-08,3.1807299072372786e-08
1846,1.042101231973902e-07,6.147226616626256e-08
1847,1.429204301572895e-07,3.66739207890987e-08
1848,1.5044565060406967e-07,4.907585093860689e-08
1849,1.080944542763973e-07,2.5976186535103807e-08
1850,1.7108270089494226e-07,6.245876438271125e-08
1851,1.0706068653831835e-07,4.2566295377355345e-08
1852,8.593920131083621e-08,4.036538148177726e-08
1853,1.3616004856942254e-07,7.703792048729952e-08
1854,1.3560684219982022e-07,6.702407306935498e-08
1855,9.287139945968192e-08,6.527532647737644e-08
1856,1.0561466279312981e-07,7.765783571755946e-08
1857,1.2740739041561255e-07,6.053071333056437e-08
1858,2.1091743818146824e-07,7.8788183754952e-08
1859,1.3341493776408697e-07,6.670747176862335e-08
1860,1.1122556919929139e-07,6.774232408357506e-08
1861,1.4289369998365942e-07,5.140400372027898e-08
1862,1.897554264829182e-07,4.743885728686337e-08
1863,8.940371343246767e-08,4.6449972757045543e-08
1864,1.3377291452343343e-07,3.068625842317374e-08
1865,7.578019678433634e-08,4.471502124125948e-08
1866,9.244664234131506e-08,4.281739407474561e-08
1867,7.76449837758264e-08,4.319002222530344e-08
1868,1.1411109124281893e-07,7.607405716480997e-08
1869,1.0353060631018707e-07,4.0533209677562354e-08
1870,1.272958884968034e-07,4.6445795209848484e-08
1871,7.647247701747517e-08,6.478918379571041e-08
1872,7.377753852289004e-08,5.503078692736807e-08
1873,1.1493128937445363e-07,4.3697832463607256e-08
1874,1.0754296697612631e-07,5.078417858461748e-08
1875,9.040012827199462e-08,5.7215269633204e-08
1876,7.738899010512057e-08,6.106474792488825e-08
1877,6.555904719096617e-08,4.700460209949853e-08
1878,6.280652220524985e-08,7.730033502184597e-08
1879,6.598071577990083e-08,9.225081254449208e-08
1880,7.380522948352564e-08,5.904418709512527e-08
1881,6.554156950500101e-08,6.414707087731841e-08
1882,5.790185153564664e-08,3.527353964472013e-08
1883,8.341527646393843e-08,3.7284101417345283e-08
1884,6.007544151032107e-08,3.8289840631478e-08
1885,7.541393554078013e-08,4.898683259035863e-08
1886,6.517998230037847e-08,4.969167111124051e-08
1887,8.226445036285668e-08,7.442974236937516e-08
1888,7.989174743983085e-08,5.199304053959963e-08
1889,6.515742168033967e-08,6.891650489171397e-08
1890,7.340912944187039e-08,3.1461055538528626e-08
1891,9.816298707221449e-08,4.716922796799139e-08
1892,7.647584965297938e-08,2.6327752200572263e-08
1893,7.698020798585503e-08,2.709703283976239e-08
1894,1.0334524347399565e-07,3.843939055947487e-08
1895,4.754705296150519e-08,4.152844135241196e-08
1896,3.715128193970685e-08,3.7740984837331126e-08
1897,4.486569560313569e-08,3.437760920377286e-08
1898,5.658354917947861e-08,3.677930715539901e-08
1899,1.1442086922386352e-07,2.8743407654019393e-08
1900,7.786579825364015e-08,3.581826601983806e-08
1901,4.470991055161022e-08,2.9620316865930363e-08
1902,3.83002145554201e-08,3.7809184227910464e-08
1903,7.020286130199338e-08,3.888158550680032e-08
1904,5.96583396017536e-08,3.654745217573918e-08
1905,8.463644651790503e-08,2.8384174843854026e-08
1906,1.0597020061453577e-07,2.8293015652547382e-08
1907,5.3485572137912385e-08,2.365707868490219e-08
1908,6.286578191350145e-08,5.255186374952814e-08
1909,5.721023033089523e-08,3.3555999923162716e-08
1910,9.459147021217973e-08,2.8858413991805776e-08
1911,6.065226587637085e-08,2.4473720383610953e-08
1912,7.03271836322017e-08,1.5628264071754217e-08
1913,9.33326214092034e-08,2.1211958411981868e-08
1914,4.2859159776753586e-08,2.8126322881849575e-08
1915,3.2986132936230206e-08,1.6493066246070498e-08
1916,2.966614687238689e-08,2.0876177231343718e-08
1917,3.728584241358135e-08,1.973956464951243e-08
1918,8.270190932080368e-08,4.2499593178035866e-08
1919,3.867296449744373e-08,1.7494911408455494e-08
1920,4.694783628522714e-08,2.3473917920568965e-08
1921,4.998013158896697e-08,2.2718242898012164e-08
1922,4.500540740082215e-08,2.3609393551282665e-08
