year,talents_NOUN heureux_ADJ
1800,0.0
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,0.0
1805,1.1371510844071508e-08
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,4.680253340438867e-08
1811,5.0141535368197765e-09
1812,7.20146218213813e-08
1813,0.0
1814,1.2586708564299443e-08
1815,2.1577788444915313e-08
1816,4.6352077731626196e-09
1817,1.556873407970727e-09
1818,5.960588467246453e-09
1819,1.3456364911235141e-08
1820,1.0679833017945839e-08
1821,3.254291058851777e-08
1822,2.5064039732569654e-08
1823,4.941343334508019e-09
1824,7.57900142644985e-09
1825,1.4969252504215547e-08
1826,1.0569580766173203e-08
1827,3.6869092223668076e-09
1828,1.834460228167245e-08
1829,7.715858174606183e-09
1830,4.174734336004349e-09
1831,2.6505050598757407e-08
1832,6.764984572527055e-09
1833,2.548398292390175e-08
1834,8.401078055442213e-09
1835,2.3445572594482655e-08
1836,1.4113575197427508e-08
1837,2.0873671680021744e-09
1838,1.3886756633496589e-08
1839,4.894032734625853e-09
1840,1.2102408852854296e-08
1841,8.988767952189392e-09
1842,1.7441490030023488e-08
1843,5.906910960362666e-09
1844,4.9397050894128824e-09
1845,1.4508592549589139e-08
1846,4.0981511517657054e-09
1847,5.9325460100012606e-09
1848,1.528592186161859e-08
1849,4.1897072478036534e-09
1850,1.0183494048021657e-08
1851,1.6123596680017727e-08
1852,1.1067927019325907e-08
1853,2.030456869306363e-08
1854,2.338049043260071e-08
1855,1.326734277995456e-08
1856,7.765783571755946e-09
1857,8.298565390418844e-09
1858,4.404308473482388e-09
1859,3.258990943777462e-08
1860,8.238931314963338e-09
1861,1.5091083938045813e-08
1862,1.2198563048571032e-08
1863,1.048870412745373e-08
1864,8.63051052846231e-09
1865,6.589582213223366e-09
1866,7.784980660119345e-09
1867,1.067618526917613e-08
1868,3.951899252285784e-09
1869,7.325278605918584e-09
1870,8.601073631098188e-09
1871,4.248470908407853e-09
1872,1.7537283625301825e-08
1873,1.1972008939764578e-09
1874,7.169530746864439e-09
1875,7.437985338754061e-09
1876,1.6324239737741664e-08
1877,6.184816214727107e-09
1878,4.22736201599605e-09
1879,6.109325489944695e-09
1880,1.2193908105473383e-08
1881,2.091752326904839e-09
1882,3.9932310791357395e-09
1883,5.687405213450347e-09
1884,7.2618666635548834e-09
1885,1.933690763067375e-09
1886,1.936039106809062e-09
1887,5.223139698529167e-09
1888,2.53624587998047e-09
1889,4.385595886446936e-09
1890,1.9663159989136147e-09
1891,7.0116419337296065e-09
1892,5.014809900671935e-09
1893,0.0
1894,7.561847148451761e-09
1895,7.22233739480771e-09
1896,3.5382172747233653e-09
1897,2.330685422435863e-09
1898,6.224190496340043e-09
1899,1.6582735185011188e-09
1900,1.038210628578895e-09
1901,5.58873880507349e-09
1902,8.838511256215043e-09
1903,6.480264325148255e-09
1904,2.6873125946735854e-09
1905,5.160759042333041e-10
1906,5.144184522798412e-10
1907,2.5714217422034835e-09
1908,9.822778146428846e-10
1909,3.300590023513905e-09
1910,0.0
1911,2.6601871816467337e-09
1912,6.772247651554153e-09
1913,2.6514948014977335e-09
1914,0.0
1915,0.0
1916,3.2962386153911893e-09
1917,0.0
1918,0.0
1919,0.0
1920,1.514446346106979e-09
1921,1.5145494858259667e-09
1922,0.0
1923,1.0615948120573648e-09
1924,1.289162443462999e-09
1925,1.0998177923937646e-09
1926,7.802296586589819e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,1.1140406375176326e-09
1930,9.453243521306831e-09
1931,0.0
1932,1.0959536611565568e-09
1933,3.4411986593596566e-09
1934,0.0
1935,2.393656828303392e-09
1936,0.0
1937,0.0
1938,0.0
1939,1.5294050470515685e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,0.0
1943,0.0
1944,0.0
1945,4.357008087652048e-09
1946,0.0
1947,7.152522574216391e-09
1948,1.0871887834440486e-09
1949,1.0798709482173763e-08
1950,1.0635361480382244e-09
1951,4.264560704569931e-09
1952,0.0
1953,2.1547654771580937e-09
1954,0.0
1955,0.0
1956,5.232684952005684e-09
1957,8.835037701437898e-10
1958,3.3088973783179654e-09
1959,0.0
1960,4.152500121534786e-09
1961,1.3896318540318475e-09
1962,0.0
1963,6.466053248388448e-10
1964,2.4335873316516654e-09
1965,4.924839203113152e-09
1966,2.769537488234164e-09
1967,9.860671168482327e-10
1968,8.982831700699023e-10
1969,2.2708788183223305e-09
1970,9.197450023812337e-10
1971,0.0
1972,1.0260293725750103e-09
1973,5.513203782392395e-10
1974,2.2502286700643026e-09
1975,5.711480177694739e-10
1976,5.713526873840635e-10
1977,1.1753563677885381e-09
1978,0.0
1979,0.0
1980,1.1370301367108482e-09
1981,6.325549528618524e-10
1982,1.2415004579935385e-09
1983,1.89459470334441e-09
1984,2.3196033982486597e-09
1985,0.0
1986,0.0
1987,0.0
1988,1.1993107618124554e-09
1989,0.0
1990,0.0
1991,1.1722930404189924e-09
1992,1.65298330578878e-09
1993,5.539207426075166e-10
1994,5.274926606624319e-10
1995,1.626735190995987e-09
1996,1.067618438099771e-09
1997,0.0
1998,1.43043876743576e-09
1999,1.8280804647829996e-09
