year,ces_DET âges_NOUN,ces_DET ages_NOUN,ces_DET pages_NOUN
1800,1.0690159379933561e-07,2.2009151834367913e-08,3.2070478539480973e-07
1801,9.28661236798689e-08,0.0,2.8336072688261993e-07
1802,1.969299319171114e-07,0.0,3.088219386881974e-07
1803,2.418420654848319e-07,0.0,2.613454554989403e-07
1804,1.384236476553724e-07,0.0,3.60890251016599e-07
1805,3.0703080255989335e-07,8.528632911009026e-09,2.302730877090653e-07
1806,1.0374009207225754e-07,2.881669125542885e-08,3.2851028208824573e-07
1807,1.1957211620838848e-07,2.8469551160981155e-09,2.0782772480743006e-07
1808,1.495608836776796e-07,4.5321479902327155e-09,2.968557026861163e-07
1809,1.9427662323323602e-07,0.0,2.8237881366521833e-07
1810,1.708292529656319e-07,7.020380277111826e-09,2.784750754436516e-07
1811,1.6045291317823285e-07,3.5099073869560016e-08,3.108775139537556e-07
1812,1.4936365744233626e-07,0.0,3.8407797298134483e-07
1813,1.4378707646756084e-07,0.0,2.9907714349519665e-07
1814,9.754699448194515e-08,0.0,6.796822624721699e-07
1815,2.0498899289123074e-07,0.0,5.475363646922915e-07
1816,1.877259148130861e-07,2.3176038865813098e-09,2.618892480654722e-07
1817,1.696991948074711e-07,1.556873407970727e-09,3.222728004459441e-07
1818,1.4305413009729762e-07,2.384235475716423e-09,3.779013173499379e-07
1819,1.3663385911577564e-07,0.0,3.8195373619487327e-07
1820,1.3409123589269711e-07,1.1866481131050932e-09,4.295666098386164e-07
1821,1.5186691593171986e-07,4.930744257336528e-09,7.0115181216579e-07
1822,1.8547389402101544e-07,0.0,3.1981713277673407e-07
1823,1.8678277591277492e-07,2.9648061783404955e-09,4.1902592329279287e-07
1824,1.3557991263013491e-07,1.6842225392110777e-09,5.136878904465902e-07
1825,1.8843648152966352e-07,8.805443041381977e-10,6.181420815210004e-07
1826,9.336463513420767e-08,0.0,6.79095620625958e-07
1827,1.6130227820099208e-07,9.217273055917019e-10,4.1754248414349604e-07
1828,1.8619770969507954e-07,9.172301251858528e-10,5.044765742923119e-07
1829,2.2204525473856762e-07,0.0,5.469686517045602e-07
1830,1.8055725981014348e-07,0.0,7.744131913511865e-07
1831,2.1359952118160663e-07,1.5591206103948707e-09,1.0835887991333948e-06
1832,2.963063165939417e-07,2.705993873419743e-09,1.1838723636969917e-06
1833,2.467312907317165e-07,2.3167257001688313e-09,1.2510318327940695e-06
1834,2.8283629482928063e-07,8.401077833397608e-09,1.398312711842209e-06
1835,2.0722860938349186e-07,4.5378527602224494e-09,9.711005048984589e-07
1836,2.28505502519738e-07,1.3441500135158435e-09,1.1949493696761238e-06
1837,3.1310508497028877e-07,3.478945576063097e-09,9.894121006936984e-07
1838,2.1776958192276652e-07,1.2624323808552163e-09,1.005527380470994e-06
1839,2.013544850854032e-07,6.9914751765765e-10,1.266156168355792e-06
1840,2.3567847851069246e-07,5.732719854378843e-09,1.2554656763086314e-06
1841,2.619583892027322e-07,2.5682194149112547e-09,1.2462284715297756e-06
1842,2.5424325444944884e-07,5.366612043644636e-09,1.3054283556357404e-06
1843,3.2133596494787753e-07,4.725528968130277e-09,1.4158865866420456e-06
1844,1.93197352338359e-07,1.6465684371524958e-09,1.571923966992017e-06
