year,diverses_ADJ eaux_NOUN,diverses_ADJ peaux_NOUN
1800,2.5153315874604232e-08,1.8864987794131594e-08
1801,3.095537337571841e-08,9.524730337773235e-09
1802,4.923248297927785e-08,1.7902721083373763e-08
1803,3.90067853572873e-08,0.0
1804,9.887403784603066e-09,1.9774807569206132e-08
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,4.3225035994964855e-08,0.0
1807,2.2775640928784924e-08,2.2775640928784924e-08
1808,6.571614363792833e-08,4.5321479902327155e-09
1809,1.5813214071513926e-08,1.3554183553310395e-08
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,6.267691787797958e-08,0.0
1812,4.5342538612658245e-08,8.00162425207418e-09
1813,5.7514832008109806e-08,2.8757416448144113e-09
1814,1.4160046646338742e-07,3.1466771410748606e-09
1815,5.933891955578474e-08,0.0
1816,4.8669683394564345e-08,2.3176038865813098e-09
1817,3.580808893843823e-08,3.113746815941454e-09
1818,2.8610825708597076e-08,1.4305412854298538e-08
1819,4.7614829412623294e-08,3.1053151161586356e-09
1820,7.71321246872958e-08,3.5599443393152796e-09
1821,2.859831660373402e-08,9.86148829262845e-10
1822,1.9048670196752937e-08,1.5038423839541792e-08
1823,1.4824030003524058e-08,4.941343334508019e-09
1824,6.315834788495067e-08,1.8526447931321854e-08
1825,6.251864625994585e-08,6.163809906922779e-09
1826,2.818555067118922e-08,4.403992281964975e-09
1827,5.622536392024813e-08,1.2904182611350734e-08
1828,8.255071293206129e-08,4.586150570418113e-09
1829,3.086343414171466e-08,1.5431716349212365e-08
1830,6.470838087579978e-08,3.026682549034376e-08
1831,5.924658252887127e-08,2.494592976631793e-08
1832,9.335678896604804e-08,6.764984572527055e-09
1833,5.560141858040879e-08,1.2741991461950875e-08
1834,7.28093425550469e-08,7.467624740797874e-09
1835,7.941242330389287e-08,1.5882484660778573e-08
1836,3.024337402735e-08,2.688300027031687e-09
1837,2.365682938432201e-08,1.739472721418167e-08
1838,3.913540269628868e-08,4.418513555037862e-09
1839,2.6567605004856887e-08,2.0974426639952526e-09
1840,4.267691267045848e-08,5.732719632334238e-09
