year,quelques_DET heureux_ADJ
1800,1.1947824418712116e-07
1801,9.28661236798689e-08
1802,9.622712582313397e-08
1803,7.80135707145746e-08
1804,1.2853624298259092e-07
1805,1.1087222873129576e-07
1806,9.22134111291939e-08
1807,1.508886242618246e-07
1808,7.47804418388398e-08
1809,4.292158095609011e-08
1810,9.360507080558023e-08
1811,6.769107585569145e-08
1812,4.800974906515876e-08
1813,9.777521370324394e-08
1814,7.237357690925705e-08
1815,1.0519171667056071e-07
1816,5.7940098940889584e-08
1817,6.538868291272593e-08
1818,7.987188865854478e-08
1819,8.280840280150414e-08
1820,1.044250339532482e-07
1821,7.790576084243384e-08
1822,5.714601059025881e-08
1823,7.412015179397713e-08
1824,1.3136935184121512e-07
1825,7.04435478837695e-08
1826,9.072223861039674e-08
1827,6.636436467033491e-08
1828,5.4116576109208836e-08
1829,9.601957434712816e-08
1830,8.140732177253085e-08
1831,7.016042502527853e-08
1832,5.4119875803060324e-08
1833,7.18184978154568e-08
1834,7.56097018328461e-08
1835,8.546289365085613e-08
1836,6.183090411893133e-08
1837,8.488626690450474e-08
1838,6.249040040984255e-08
1839,5.663094881924735e-08
1840,7.45253601053264e-08
1841,7.191014361751513e-08
1842,7.982835370512475e-08
1843,1.0041748765843295e-07
1844,5.653217982626302e-08
1845,5.022205229465726e-08
1846,9.250111787650894e-08
1847,7.065123242000482e-08
1848,3.539897619475596e-08
1849,6.033178578945808e-08
1850,8.28257542551114e-08
1851,6.707416133622246e-08
1852,3.580800056468547e-08
1853,4.837264810930719e-08
1854,6.390667550704165e-08
1855,4.8823821430232783e-08
1856,7.76578374939163e-08
1857,6.004256158931298e-08
1858,5.627727261980908e-08
1859,8.045634025677373e-08
1860,6.04188272745887e-08
1861,6.555189457913002e-08
1862,5.963742211179124e-08
1863,5.6439215967429845e-08
1864,6.281093334337129e-08
1865,3.0594488720225854e-08
1866,4.281739518496863e-08
1867,5.629261323747414e-08
1868,6.718228529045689e-08
1869,4.6393431318847433e-08
1870,4.3578772590535664e-08
1871,3.3987767267262825e-08
1872,3.930770375859538e-08
1873,3.5317427204972773e-08
1874,3.823749850084823e-08
1875,3.547346949517305e-08
1876,3.748529309177684e-08
1877,3.5253449937044934e-08
