year,pas_ADV été_VERB,pas_ADV eté_VERB,pas_ADV pété_VERB
1800,5.702256748918444e-05,1.3834323908668011e-07,0.0
1801,5.8024656027555466e-05,1.4048977448055666e-07,0.0
1802,5.590572254732251e-05,9.175144555229053e-08,0.0
1803,5.6756820413284004e-05,7.216254971353919e-08,0.0
1804,7.189378811744973e-05,2.1505103120489366e-07,0.0
1805,6.375721568474546e-05,1.705726617728942e-07,0.0
1806,6.782008131267503e-05,2.4494187300660997e-07,0.0
1807,8.738444012124091e-05,2.0498076480635063e-07,0.0
1808,6.880253931740299e-05,3.7390219631561195e-07,0.0
1809,7.261653809109703e-05,3.2981844810819894e-07,2.259030518203531e-09
1810,7.939815986901522e-05,1.1700633706368535e-07,0.0
1811,6.474275141954422e-05,1.2535383575595915e-07,0.0
1812,8.520129631506279e-05,1.680341199516988e-07,2.6672082320544632e-09
1813,7.548822031822056e-05,1.7542024011163448e-07,2.8757416448144113e-09
1814,6.682283856207505e-05,1.4474714760126517e-07,0.0
1815,7.534154428867623e-05,2.0498899289123074e-07,0.0
1816,6.700424273731187e-05,1.3905622608945123e-07,0.0
1817,6.675873009953648e-05,1.214361304846534e-07,0.0
1818,6.533759005833417e-05,1.096748292184202e-07,0.0
1819,6.678186764474958e-05,1.563008567018187e-07,0.0
1820,6.707054126309231e-05,1.6494408328071586e-07,0.0
1821,7.043370715109631e-05,1.3806084098177962e-07,0.0
1822,6.59013821859844e-05,1.1729970594842598e-07,0.0
1823,6.539867899846286e-05,1.0574474629265751e-07,0.0
1824,6.605521048186347e-05,7.831634718513669e-08,0.0
1825,6.806431338191032e-05,1.4969252504215547e-07,0.0
1826,6.967908120714128e-05,2.774515053260984e-07,0.0
1827,8.323474321514368e-05,4.3689874473784585e-07,0.0
1828,8.643793262308463e-05,4.980559538125817e-07,0.0
1829,8.393567986786366e-05,2.151867164457144e-07,0.0
1830,8.397790952585638e-05,2.515277515158232e-07,1.0436835840010872e-09
1831,8.89790098881349e-05,1.9489007740958186e-07,0.0
1832,8.580706344218925e-05,1.420646782435142e-07,0.0
1833,7.576504140160978e-05,1.50587169400751e-07,0.0
1834,7.710042700637132e-05,1.2601616106167057e-07,0.0
1835,7.131235906854272e-05,9.907645193152348e-08,0.0
1836,7.033063593553379e-05,8.804182272115213e-08,6.720750067579218e-10
1837,7.058432674966753e-05,8.627785064163618e-08,0.0
1838,7.029918197076768e-05,9.341999884782126e-08,6.312161904276081e-10
1839,7.611898763570935e-05,1.0487212875887053e-07,0.0
1840,7.415081927319989e-05,9.554533164646273e-08,6.369688665408546e-10
1841,7.872362766647711e-05,1.2263247128885268e-07,0.0
1842,7.52499618101865e-05,1.1739464156335089e-07,0.0
1843,7.469052798114717e-05,9.982679927134086e-08,0.0
1844,7.646663289051503e-05,7.958414016684401e-08,0.0
1845,7.7225333370734e-05,1.0993048960017404e-07,0.0
1846,7.683096191613004e-05,1.5690064003592852e-07,5.854501328173001e-10
1847,8.029917080421001e-05,1.197295631527595e-07,0.0
1848,8.307173993671313e-05,1.568818248642856e-07,0.0
1849,9.39391102292575e-05,2.329477410967229e-07,0.0
1850,8.236477879108861e-05,1.7787169781513512e-07,0.0
1851,8.297847671201453e-05,1.3672810439402383e-07,6.449438760824933e-10
1852,8.27418698463589e-05,1.334661874352605e-07,6.510545436100301e-10
1853,7.358255970757455e-05,9.43565225952625e-08,0.0
1854,7.453388388967142e-05,1.5898733352059935e-07,0.0
1855,7.239935803227127e-05,1.0242388270853553e-07,0.0
1856,7.691180508118123e-05,1.6049285989083728e-07,0.0
1857,7.467732939403504e-05,1.2838368945722323e-07,0.0
1858,7.518350321333855e-05,1.492571186645364e-07,0.0
1859,7.546396955149248e-05,6.874434177461808e-08,5.092173349652285e-10
1860,7.29873136151582e-05,8.147387120516214e-08,0.0
1861,7.559124060207978e-05,5.611996911625283e-08,0.0
1862,7.619764801347628e-05,7.273958146924997e-08,4.517986262886353e-10
