year,ils_PRON aient_VERB,ils_PRON paient_VERB
1800,7.640319950041885e-07,3.8673223912155663e-07
1801,8.238891950895777e-07,3.881327685917313e-07
1802,1.0003145689552184e-06,3.8938418356337934e-07
1803,9.322621394858288e-07,3.0230256697905133e-07
1804,9.813247743295506e-07,1.9527622896475805e-07
1805,9.864785397439846e-07,3.212451815670647e-07
1806,8.846724313116283e-07,2.2765186358242318e-07
1807,1.1302412303848541e-06,2.3345031507915337e-07
1808,1.2146156223025173e-06,2.402038461468692e-07
1809,1.0436721140649752e-06,2.0783080678654642e-07
1810,1.3923754522693343e-06,1.3104710383515794e-07
1811,9.877882121145376e-07,3.0837043851761337e-07
1812,9.068508006748743e-07,1.7870295643263034e-07
1813,9.202373121297569e-07,9.202373263406116e-08
1814,1.4065647064853692e-06,1.164270519993238e-07
1815,1.0627061328705167e-06,9.440282333628147e-08
1816,1.033651301440841e-06,2.062667476820934e-07
1817,1.1240625781283597e-06,1.7904044824490484e-07
1818,1.2326497653702972e-06,2.694186136409371e-07
1819,1.1996867215202656e-06,3.03285773384232e-07
1820,9.932244893207098e-07,2.2902307961203405e-07
1821,1.282979610550683e-06,1.7849293598715121e-07
1822,1.1609663488343358e-06,2.5565320527221047e-07
1823,9.62573722063098e-07,2.510202499195202e-07
1824,1.0795866955959355e-06,3.023179573347079e-07
1825,1.0601753501759958e-06,3.2668194904772463e-07
1826,1.2243098126418772e-06,3.514385866765224e-07
1827,1.2913399132230552e-06,2.5624019173164925e-07
1828,1.1483721209515352e-06,4.7053906371274934e-07
1829,1.1110836339867092e-06,3.849356033924778e-07
1830,1.211716607940616e-06,4.1016764384949056e-07
1831,9.541818144498393e-07,3.5547951071635e-07
1832,9.498038480160176e-07,4.248410299112493e-07
1833,1.1027614164049737e-06,3.8225974918759675e-07
1834,1.0043954716820735e-06,3.789819515986892e-07
1835,1.0195042250416009e-06,2.942041206210888e-07
1836,1.1505924248922383e-06,2.9168055348804955e-07
1837,9.581016229276429e-07,3.1032194769409216e-07
1838,1.0724363619374344e-06,2.1208864353639e-07
1839,1.006772436085157e-06,2.6567605360128255e-07
1840,1.1032300335500622e-06,2.815402417866153e-07
1841,1.1377212558727479e-06,2.0288933555434596e-07
1842,1.0713099527492886e-06,2.0728538885350645e-07
1843,1.11345275399799e-06,1.9492806835330612e-07
1844,1.0982611229337635e-06,1.5697285782323434e-07
1845,1.0301100701326504e-06,1.5568835287638194e-07
1846,1.0725445918069454e-06,2.0900569452919626e-07
1847,9.610724873709842e-07,1.8876283292001972e-07
1848,8.849743835526169e-07,2.1078480827441126e-07
1849,7.507956070185173e-07,1.4496387912288355e-07
1850,9.681108394943294e-07,1.4867901043658094e-07
1851,9.429079455003375e-07,1.7929438911323814e-07
1852,1.0091345075124991e-06,1.751336675681614e-07
1853,1.060615090864303e-06,1.743804070031274e-07
1854,1.2282550869713305e-06,1.6002646319179803e-07
1855,9.934585705195786e-07,1.1940608501959105e-07
1856,1.194377546198666e-06,1.1545132316825857e-07
1857,9.894819186229142e-07,1.3765855300107432e-07
1858,9.630754220779636e-07,1.0912897607795458e-07
1859,9.776972547115292e-07,1.2934120086072198e-07
1860,8.669186399856699e-07,1.3823095557086162e-07
1861,9.450791367271449e-07,8.300095899471671e-08
1862,1.04275125067943e-06,1.2605181654024022e-07
1863,1.0663515013220604e-06,1.4184723617916006e-07
1864,1.0452506558067398e-06,1.4480078469603086e-07
1865,1.0628054951666854e-06,9.601962336347469e-08
1866,9.560928901919397e-07,6.957826403919398e-08
1867,1.0700449593059602e-06,1.4121681424228427e-07
1868,9.889628245218773e-07,1.4375033607905152e-07
1869,9.112646921494161e-07,1.1866951332706321e-07
1870,8.83043526300753e-07,1.0722671106577764e-07
1871,1.1725779813787085e-06,1.2639200619446456e-07
1872,9.899493988996255e-07,8.889588976046525e-08
1873,1.0271983228449244e-06,1.1193827997857397e-07
1874,9.26064444684016e-07,1.3622108596678117e-07
1875,1.014998929349531e-06,1.1099762353694587e-07
1876,1.0749814691735082e-06,1.0701446129246506e-07
1877,1.03843058241182e-06,1.7317484335421796e-07
1878,1.0979063063132344e-06,2.1197201505174235e-07
1879,1.2078136251147953e-06,1.753376359658887e-07
1880,9.658858743932797e-07,1.8226683451416648e-07
1881,1.0577293778624153e-06,1.9174395760046536e-07
1882,1.065527158061741e-06,1.5507047379514916e-07
1883,1.0016152600655914e-06,1.8199695972498375e-07
1884,1.0199621556239435e-06,2.0531277655777558e-07
1885,1.1286308563285274e-06,1.6307458139408482e-07
1886,1.2506812936408096e-06,1.8392371892161918e-07
1887,1.157578367383394e-06,1.7954543096720954e-07
1888,1.0468354503245791e-06,2.1114247417131082e-07
1889,1.1364958254489466e-06,1.5537539255205957e-07
1890,1.3318513083504513e-06,2.1301756447655862e-07
1891,1.1352485671523027e-06,1.937762839077095e-07
1892,1.0462147201906191e-06,2.319349583501662e-07
1893,1.1282219247732428e-06,2.2355051854106023e-07
1894,1.0492062756384257e-06,2.577329638597803e-07
1895,1.0033030548584065e-06,1.925956674142526e-07
1896,1.0402359293948393e-06,2.3882967070676386e-07
1897,1.0872647635551402e-06,2.552100539787716e-07
1898,9.907779485729407e-07,2.7556188086919065e-07
1899,1.0690337148844264e-06,2.4929378739102503e-07
1900,9.214119245370966e-07,2.611099780835957e-07
1901,1.0093262972077355e-06,2.509343772771899e-07
1902,9.15767941478407e-07,2.008306019263273e-07
1903,1.0346822136853007e-06,2.430099179662193e-07
1904,9.926932307280367e-07,3.1549049595014367e-07
1905,1.080662968888646e-06,2.7403630298294956e-07
1906,1.0180341405430227e-06,3.29227802353671e-07
1907,1.0995398724844563e-06,3.1165630787199916e-07
1908,1.1394422472221777e-06,3.246428121883582e-07
1909,8.647546110296389e-07,3.0090379965486136e-07
1910,8.459790592496574e-07,2.8911855309843304e-07
1911,8.406191227550153e-07,2.6176240908171167e-07
1912,8.954995109888841e-07,2.458846850572627e-07
1913,8.516601610608632e-07,2.5560410676916945e-07
1914,7.808403097442351e-07,2.5715495155509416e-07
1915,9.931181921274401e-07,2.0616333884504456e-07
1916,8.669107387504482e-07,2.274404664603935e-07
1917,9.288561386711081e-07,1.8862250783513446e-07
1918,9.947201533577754e-07,2.0560614188980253e-07
1919,8.535675419807376e-07,1.8968168191690893e-07
1920,8.526333203917602e-07,2.3625362643997505e-07
1921,8.080121460807277e-07,2.794343885170747e-07
1922,8.034571692405734e-07,2.1912468639584404e-07
1923,8.482142561661021e-07,1.8896387388167568e-07
1924,6.368462663886021e-07,1.4051870422804313e-07
1925,6.917853738741542e-07,1.957675621611088e-07
1926,6.420175964194641e-07,1.7610898339626146e-07
1927,6.277013540056942e-07,2.5866201269764133e-07
1928,6.238618652787409e-07,1.1768822361091225e-07
