year,auriez_VERB assez_ADV,auriez_VERB passé_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,9.524730337773235e-09,0.0
1802,8.951360541686881e-09,0.0
1803,1.3652374342143503e-08,1.3652374342143503e-08
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,4.034336598124355e-08,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,3.200649700829672e-08
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,1.3486118000116676e-08,5.394447111228828e-09
1816,9.270415546325239e-09,9.270415546325239e-09
1817,3.113746771532533e-08,9.341240669868967e-09
1818,1.7881765401739358e-08,4.768470951432846e-09
1819,6.210630232317271e-09,0.0
1820,1.779972080839798e-08,3.5599443393152796e-09
1821,1.8736827200882544e-08,2.859831660373402e-08
1822,1.303330066093622e-08,1.0025615893027862e-08
1823,2.9648060007048116e-08,5.929612356680991e-09
1824,4.463189640091514e-08,5.894778887238772e-09
1825,1.4969252504215547e-08,9.68598712347557e-09
1826,1.4092774947016551e-08,3.5231937367541377e-09
1827,1.6591091167583727e-08,1.2904182611350734e-08
1828,3.668920500743411e-09,1.0089530988466322e-08
1829,4.286587973467704e-09,6.858540846366168e-09
1830,8.349468672008697e-09,7.305785310052215e-09
1831,2.0268567268999504e-08,1.5591206103948707e-09
1832,3.3824925083081325e-08,2.0294953273491956e-08
1833,6.950177322551099e-09,1.853380560135065e-08
1834,2.333632664885954e-08,1.8669061851994684e-09
1835,6.050470346963266e-09,5.294161553592858e-09
1836,1.2097349788575684e-08,4.032449929525228e-09
1837,6.262101948095733e-09,8.349468672008697e-09
1838,5.680945491803868e-09,6.312161904276081e-09
1839,1.5381244722334486e-08,7.690622361167243e-09
1840,1.3376346252869098e-08,1.3376346252869098e-08
1841,8.988767952189392e-09,7.704658244733764e-09
1842,3.3541325272778977e-09,1.341653010911159e-09
1843,9.451057714215949e-09,5.31621990873532e-09
