year,grandes_ADJ ailes_NOUN,grandes_ADJ pelles_NOUN
1800,3.364255860560661e-07,0.0
1801,1.619204113012529e-07,2.1430643926123594e-08
1802,2.64065135979763e-07,8.951360541686881e-09
1803,5.051378479947743e-07,1.950339223455444e-09
1804,4.202146612897195e-07,7.4155526164076946e-09
1805,4.150601569108403e-07,0.0
1806,3.659719709503406e-07,5.76333825108577e-09
1807,2.733077053562738e-07,0.0
1808,2.1754310353117035e-07,0.0
1809,2.1460789412230952e-07,0.0
1810,3.416585059312638e-07,0.0
1811,3.1087751040104195e-07,0.0
1812,1.7336853375127248e-07,0.0
1813,1.581657897986588e-07,0.0
1814,1.8565394555025705e-07,0.0
1815,2.454473531088297e-07,2.1577788444915313e-08
1816,2.062667476820934e-07,0.0
1817,4.779601567861391e-07,7.784366928831332e-09
1818,4.363151049346925e-07,2.384235475716423e-09
1819,2.0288058522055508e-07,0.0
1820,2.2427649071232736e-07,2.3732962262101864e-09
1821,3.7375039596554416e-07,0.0
1822,2.7971469762633205e-07,7.017931125119503e-09
1823,2.1247777226562903e-07,1.9765373782121287e-09
1824,2.0379093257361092e-07,4.210556348027694e-09
1825,3.7247025375108933e-07,6.163809906922779e-09
1826,3.558425589744729e-07,1.7615968683770689e-09
1827,1.7973682986394124e-07,0.0
1828,2.2747306616111018e-07,9.172301251858528e-10
1829,2.426208709493949e-07,3.429270423183084e-09
1830,1.6907674194044375e-07,9.39315203396518e-09
1831,1.7618063452573551e-07,0.0
1832,2.3948047100930125e-07,0.0
1833,2.9769924481115595e-07,1.0425265983826648e-08
1834,2.8283628239478276e-07,9.334530925997342e-10
1835,2.6546439357844065e-07,3.025235173481633e-09
1836,4.3483254330567433e-07,0.0
1837,5.260165494291869e-07,5.566312633042969e-09
1838,2.486991661498905e-07,4.418513555037862e-09
1839,1.7338858526727563e-07,2.0974426639952526e-09
1840,1.961864057875573e-07,2.547875410652267e-09
1841,3.178171539275354e-07,9.630823250006415e-09
1842,1.8179397898165917e-07,2.683306021822318e-09
1843,3.502798335830448e-07,6.497602011990011e-09
1844,2.3436156482148363e-07,0.0
1845,2.1762889446108602e-07,5.580227946389016e-10
1846,2.0666389843881916e-07,5.854501328173001e-10
1847,1.736618031600301e-07,2.1572894581822766e-09
1848,1.3194163273055892e-07,1.6090443422100975e-09
1849,2.430030292543961e-07,5.865590679832167e-09
1850,2.566240482337889e-07,8.82569484161877e-09
1851,2.2186068804330716e-07,4.514607354622058e-09
1852,3.0339143108903954e-07,1.3672145193766028e-08
1853,2.47237977646364e-07,7.1663179834757784e-09
1854,2.2705053481786308e-07,0.0
1855,1.714140722697266e-07,2.1227748447927297e-09
1856,2.0967615910194581e-07,4.659470143053568e-09
1857,2.1429825380891998e-07,2.4407544874094356e-09
1858,2.5202430720128177e-07,9.787352039936081e-10
1859,2.85161718238669e-07,4.582956236731661e-09
1860,2.970592447582021e-07,1.6020143434047895e-08
1861,2.3532659554348356e-07,3.3011745559363703e-09
1862,2.8960292297597334e-07,1.8071945051545413e-09
1863,2.672122150215728e-07,5.9935452156878455e-09
1864,3.332336007133563e-07,0.0
1865,2.885295486976247e-07,3.765475486972036e-09
1866,2.4522688590877806e-07,7.298419202328432e-09
1867,4.6344348447746597e-07,4.85281148598915e-10
1868,3.3788739983720006e-07,2.4699371437009177e-09
1869,2.7152367465532734e-07,0.0
1870,2.740875402196252e-07,5.734048791339319e-10
1871,3.834244921563368e-07,4.248470908407853e-09
1872,2.5640719059083494e-07,2.4189357183956872e-09
1873,3.884916850438458e-07,2.3944017879529156e-09
1874,3.6445115370042913e-07,1.0754296120296658e-08
1875,2.900814308759436e-07,5.149374426860476e-09
1876,4.0568758663539484e-07,1.934724735974669e-08
1877,3.7912923289695755e-07,3.710889595609501e-09
1878,3.079935311234294e-07,1.509772218355465e-08
1879,4.074919957020029e-07,5.498392852132383e-09
1880,3.9662290873820893e-07,1.9253538763308597e-09
1881,3.221298356947955e-07,1.3945015142624584e-09
1882,4.3193449528189376e-07,1.3310770263785798e-09
1883,3.6020230709254974e-07,3.2860562271253e-08
1884,3.1160010394160054e-07,5.941527270181268e-09
1885,3.480643329112354e-07,8.379326565943757e-09
1886,3.12347651743039e-07,1.613365974151293e-08
1887,2.768263982488861e-07,6.528924512139156e-09
1888,3.512700459396001e-07,7.608737417896805e-09
1889,3.195219733242993e-07,3.132568426877924e-09
1890,3.460716015979415e-07,4.5880703680722945e-09
1891,2.874773201710923e-07,1.0836173736095134e-08
1892,2.820830502514582e-07,2.5074049503359674e-09
1893,2.900614219925046e-07,1.847525021858587e-09
1894,3.2389911552854755e-07,5.671385139294216e-09
1895,3.1657913268645643e-07,4.213029924926559e-09
1896,2.966205556731438e-07,5.89702897624278e-10
1897,3.1405986078425485e-07,5.826713334045053e-09
1898,2.800885567921796e-07,5.092519517191363e-09
1899,3.0291130315163173e-07,4.9748205555033564e-09
1900,2.953709099529078e-07,5.710158568206225e-09
1901,3.146460016978381e-07,3.353243460679778e-09
1902,2.6270018338436785e-07,4.910283846193408e-10
