year,tes_DET âges_NOUN,tes_DET pages_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,0.0,1.1189200677108602e-08
1803,0.0,5.851017448321727e-09
1804,0.0,1.7302956178966156e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,3.1698359492793315e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739062985158e-08
1809,0.0,4.518061036407062e-09
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,2.8320094713762956e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.1921177378582115e-09,1.4305412854298538e-08
1819,5.175524897538253e-09,5.175524897538253e-09
1820,2.3732962262101864e-09,7.119888678630559e-09
1821,3.94459531705138e-09,6.903041693817613e-09
1822,7.017931125119503e-09,2.105379337535851e-08
1823,9.882686891060644e-10,9.882687224127551e-09
1824,8.421112696055388e-10,1.0947446504872005e-08
1825,4.4027217427355936e-09,6.163809906922779e-09
1826,0.0,3.5231937367541377e-09
1827,1.8434546111834038e-09,6.452091028119611e-09
1828,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,1.7742621594152297e-08
1831,1.5591206103948707e-09,1.5591206548037917e-08
1832,0.0,3.92369123858316e-08
1833,1.1583628500844156e-09,6.950177322551099e-09
1834,1.8669061851994684e-09,1.6802156110884425e-08
1835,7.563087933704082e-10,2.4958190181223472e-08
1836,0.0,1.680187500241459e-08
1837,0.0,2.0873672568200163e-08
1838,1.8936485712828244e-09,1.5149189014351805e-08
1839,6.9914751765765e-10,1.0487212875887053e-08
1840,1.2739377330817092e-09,1.3376346252869098e-08
1841,0.0,1.733548193882939e-08
1842,3.3541325272778977e-09,2.2137274680034125e-08
1843,2.3627644285539873e-09,3.1306630177141415e-08
1844,5.488561272137815e-10,8.232842185762479e-09
1845,2.7901139176833567e-09,6.696273757711424e-09
1846,2.3418005312692003e-09,1.0538101946622191e-08
1847,0.0,8.089835468183537e-09
1848,8.045221711050488e-10,4.82713291560799e-09
1849,8.379414939696517e-10,3.3517659758786067e-09
1850,2.0366988096043315e-09,1.8330290174617403e-08
1851,1.2898877521649865e-09,9.674158585326609e-09
1852,2.6042181744401205e-09,2.148479971708639e-08
1853,2.388772735173461e-09,1.1346670270029335e-08
1854,9.352196350675968e-09,9.871762796098693e-09
1855,2.1227748447927297e-09,9.552486801567284e-09
1856,2.0708756931497874e-09,1.65670055451983e-08
1857,2.9289055625270066e-09,1.3180074809326925e-08
1858,1.468102750479261e-09,1.4191660291373864e-08
1859,1.018434669930457e-09,1.1202781369235026e-08
1860,3.204028820036342e-09,1.327383358784573e-08
1861,1.8863854922557266e-09,1.4619487231914974e-08
1862,2.710791813242963e-09,1.355395884417021e-08
1863,9.989241656072068e-10,2.647149044410213e-08
1864,4.794727948009836e-10,2.157627521093275e-08
1865,1.4120533631256649e-09,8.943004559114343e-09
1866,3.4059290943133647e-09,8.271541673821048e-09
1867,9.7056229719783e-10,5.338092634588065e-09
1868,4.93987406535723e-10,9.879748019692158e-09
1869,0.0,1.2208797750545841e-08
1870,2.2936195165357276e-09,7.454262984651905e-09
1871,1.0621177271019633e-09,7.434824089713743e-09
1872,1.8142017887967654e-09,1.5118348573039952e-08
1873,0.0,8.380406590902112e-09
1874,0.0,1.1949218281515073e-08
1875,1.716458086775674e-09,1.3159512590732447e-08
1876,1.209202959984168e-09,6.650616501957529e-09
1877,6.184815992682502e-10,9.277224100046055e-09
1878,0.0,2.4156354694326865e-09
1879,6.10932526790009e-10,7.331190321480108e-09
1880,6.417846254436199e-10,7.059630879879819e-09
1881,1.3945015142624584e-09,1.1853263259808955e-08
1882,6.655385131892899e-10,1.1979693459451823e-08
1883,0.0,1.6430281413182257e-08
1884,1.3203393933736152e-09,2.1125431182156262e-08
1885,2.5782542767416317e-09,6.445635636342928e-09
1886,0.0,1.1616235084943582e-08
1887,6.528924623161458e-10,7.1818169189441505e-09
1888,1.268122939990235e-09,5.706553229956057e-09
1889,0.0,2.2554493106508033e-08
1890,0.0,8.520702365899524e-09
1891,1.9122659011827636e-09,5.099376032546843e-09
1892,1.2537024751679837e-09,4.387958441043338e-09
1893,1.2316833108982905e-09,7.390100087434348e-09
1894,6.301539290376468e-10,8.192001299534013e-09
1895,1.8055843487019274e-09,1.023164486468886e-08
1896,0.0,5.897029087265082e-09
1897,1.1653427112179315e-09,6.4093846896540185e-09
1898,5.6583548957434e-10,8.487532565659706e-09
1899,5.527578395003729e-10,8.844125432005967e-09
1900,0.0,1.2458527764991345e-08
1901,0.0,2.7943695135590474e-09
1902,0.0,4.419255628107521e-09
1903,0.0,4.860198465905796e-09
1904,0.0,7.524475265086039e-09
1905,0.0,1.2901897328276846e-08
1906,0.0,1.594697174311932e-08
1907,1.028568674676933e-09,4.114274698707732e-09
1908,9.822778146428846e-10,8.349361202419914e-09
1909,0.0,1.595285298305882e-08
1910,1.6032452032632705e-09,2.2979847247306395e-08
1911,5.320374141248863e-10,9.576673565270255e-09
1912,5.209421227725386e-10,1.3023552625224255e-08
1913,2.121195885607108e-09,1.1666577537372547e-08
1914,0.0,9.37544086809794e-09
1915,0.0,1.0602685729388384e-08
1916,1.0987462051303964e-09,2.3073669419559906e-08
1917,0.0,2.1932848870420685e-09
1918,2.2972752589112133e-09,1.1486376294556067e-09
1919,9.207848372660976e-10,6.445493971884986e-09
1920,7.572231730534895e-10,1.2872793941909322e-08
1921,1.5145494858259667e-09,8.330022505109724e-09
1922,7.377935484775833e-10,1.9920426197472807e-08
1923,2.1231896241147297e-09,1.8047112249064412e-08
1924,0.0,7.734974438733389e-09
1925,3.299453377181294e-09,1.5397448649423495e-08
1926,0.0,2.89799594321849e-08
1927,2.2298449753321847e-09,2.1183526488499638e-08
1928,0.0,1.2568645568755699e-08
1929,1.1140406375176326e-09,8.912325100141061e-09
1930,0.0,9.453243188239924e-09
1931,1.1405356659111021e-09,1.0264820993199919e-08
1932,0.0,5.4797681947604815e-09
1933,0.0,5.735331098932761e-09
1934,1.1981580172459871e-09,8.38710612072191e-09
1935,2.393656828303392e-09,8.377798899061872e-09
1936,1.2124714565686645e-09,2.424942913137329e-09
1937,7.554670666820584e-09,1.6368453259474336e-08
1938,0.0,1.9447821131279852e-08
1939,1.5294050470515685e-09,3.058810094103137e-09
1940,0.0,1.0143131667916805e-08
