year,vingt - deux paires
1800,6.545059960672006e-08
1801,4.9684675929029254e-08
1802,1.7244529360027627e-08
1803,3.85714002959503e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,9.960592350921615e-09
1809,2.4709592150173876e-09
1810,0.0
1811,4.138955134180833e-08
1812,3.797191894250318e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,5.34362385451459e-08
1819,6.783654526998362e-08
1820,1.1653853881909981e-08
1821,0.0
1822,1.0964762431342479e-09
1823,2.9148853997185142e-08
1824,2.7562614413056963e-09
1825,1.633819746160725e-08
1826,1.922118242347892e-09
1827,0.0
1828,1.5034661515755943e-08
1829,9.365494157975718e-09
1830,9.131136735618384e-09
1831,1.1980137770706278e-08
1832,3.1135172662288824e-08
1833,0.0
1834,7.160120607530018e-09
1835,8.299605447348313e-10
1836,8.81218742421197e-09
1837,7.590987838312913e-10
1838,1.5829158428459777e-08
1839,1.5285158028177648e-08
1840,2.1571470831815986e-08
1841,2.1059372024012646e-09
1842,1.9071540791060215e-08
1843,6.454178302917057e-10
1844,1.7353523729113363e-08
1845,6.100404625897227e-09
1846,7.047264993786939e-09
1847,1.1781199127369746e-08
1848,0.0
1849,1.834842278114479e-09
1850,7.430066562008619e-10
1851,1.411713745902432e-09
1852,0.0
1853,9.151859270417617e-09
1854,3.4099103540796705e-09
1855,7.56312434901929e-09
1856,7.939596535777582e-09
1857,4.814727616597736e-09
1858,5.360987764824188e-10
1859,0.0
1860,4.5161838713170255e-09
1861,0.0
1862,4.95108487541529e-09
1863,1.0965226948655982e-08
1864,5.249539691831728e-10
1865,1.5478816450809063e-08
1866,2.6696531651992927e-09
1867,8.517330840618342e-09
1868,4.868920377987251e-09
1869,1.6071937114503498e-09
1870,6.283288445096957e-09
1871,0.0
1872,1.525707560290357e-08
1873,3.2802121019415154e-09
1874,7.210680497138355e-09
1875,6.286970388735824e-10
1876,6.640831218263088e-10
1877,0.0
1878,3.3234188734354575e-09
1879,2.688211653278927e-09
1880,7.066982998793492e-09
1881,1.0758149926459737e-08
1882,7.327633499976116e-10
1883,6.966609511493971e-10
1884,0.0
1885,4.9714588001847915e-09
1886,6.400316276966578e-09
1887,9.363411379581521e-09
1888,6.989019141201425e-09
1889,1.5210936510356987e-08
1890,7.228974752138129e-09
1891,2.1081620893426134e-09
1892,6.2254698063313185e-09
1893,2.7171767058575824e-09
1894,1.3917619279268933e-09
1895,6.64195753952157e-10
1896,4.553048160715889e-09
1897,0.0
1898,3.745555421375002e-09
1899,6.100409954967745e-09
1900,6.8832051169920305e-09
1901,3.700407535944805e-09
1902,4.86643703112577e-09
1903,1.7882977321193039e-09
1904,2.374090701806608e-09
1905,3.418737737348465e-09
1906,1.1351314332941342e-09
1907,6.820427778109206e-09
1908,1.6274592784526476e-09
1909,6.066065427745571e-10
1910,0.0
