year,leurs_DET heureux_ADJ
1800,4.087413785214267e-08
1801,8.810375362600098e-08
1802,3.1329761895904085e-08
1803,4.095712213825209e-08
1804,9.640218934237055e-08
1805,1.194008660831969e-07
1806,5.4751715161671655e-08
1807,6.263301344233696e-08
1808,9.744118045773575e-08
1809,6.551188658221463e-08
1810,1.0530570193623134e-07
1811,1.278609147448151e-07
1812,7.734903562095496e-08
1813,6.614205716459765e-08
1814,6.922689976818219e-08
1815,2.4814457333377504e-07
1816,3.7081662185300956e-08
1817,1.1520863552050287e-07
1818,9.298518222067287e-08
1819,6.93520334493769e-08
1820,1.1866481219868774e-07
1821,6.804427243878308e-08
1822,8.221005032282847e-08
1823,9.586206317635515e-08
1824,1.0273757666823258e-07
1825,8.981551635756091e-08
1826,9.864942285275902e-08
1827,6.175572764277604e-08
1828,9.447470006307412e-08
1829,6.001223307183778e-08
1830,1.0645572245948642e-07
1831,7.639690835503643e-08
1832,7.712082350508354e-08
1833,8.91939393454777e-08
1834,7.374279675786966e-08
1835,3.479020449503878e-08
1836,7.05678786516728e-08
1837,1.0158520502567825e-07
1838,9.468242723187359e-08
1839,7.061389784013272e-08
1840,5.732719826623267e-08
1841,7.833069126661485e-08
1842,1.1605298588790447e-07
1843,4.43018324247646e-08
1844,6.092303128646392e-08
1845,4.6873916137446514e-08
1846,5.093416000079287e-08
1847,7.280852276636551e-08
1848,9.49336182998195e-08
1849,7.54147322368226e-08
1850,7.33211553693991e-08
1851,8.255281613855914e-08
1852,6.575650601803318e-08
1853,5.673335135014668e-08
1854,5.143707682009335e-08
1855,6.845948874456553e-08
1856,7.092749143566834e-08
1857,7.517524336364545e-08
1858,5.1872966366772744e-08
1859,6.670747154657874e-08
1860,6.865775570297217e-08
1861,6.413710862407385e-08
1862,5.3764036778147783e-08
1863,7.491931341974123e-08
1864,6.712619005089238e-08
1865,6.448377043444253e-08
1866,4.1357711311196255e-08
1867,6.890992310104593e-08
1868,6.125443974269729e-08
1869,4.395167252368992e-08
1870,5.6193677266946906e-08
1871,4.6733180880664804e-08
1872,4.112190765681589e-08
1873,5.147963866303229e-08
1874,6.034355237716227e-08
1875,6.007603303714859e-08
1876,7.013377456566161e-08
