year,divers_DET airs_NOUN,divers_DET pères_NOUN
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,6.713520406265161e-09,8.951360541686881e-09
1803,0.0,9.751696339321825e-09
1804,4.943701892301533e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,1.1387820464392462e-08
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,4.518061036407062e-09
1810,0.0,4.680253518074551e-09
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,5.175524897538253e-09
1820,2.3732962262101864e-09,9.493184904840746e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,5.012807946513931e-09
1823,0.0,4.941343445530322e-09
1824,8.421112696055388e-10,2.0210670470532932e-08
1825,1.937197424695114e-08,1.4969252504215547e-08
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,2.7516904310687096e-09,1.7427371545863934e-08
1829,0.0,0.0
1830,2.0873671680021744e-09,1.2524203008013046e-08
1831,0.0,1.5591206103948707e-09
1832,8.117981842303834e-09,4.058990921151917e-09
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,2.2689263801112247e-09,1.2100940693926532e-08
1836,1.3441500135158435e-09,1.68018754465038e-08
1837,8.349468672008697e-09,6.957890930081589e-10
1838,1.2624323808552163e-09,3.787297142565649e-09
1839,0.0,7.690622472189546e-09
1840,8.917564464638872e-09,5.7327197988676915e-09
1841,1.2841097074556274e-08,1.8619591202195807e-08
1842,6.708265054555795e-10,0.0
1843,1.063243981747064e-08,1.7720733103132602e-08
1844,5.488561161115513e-09,3.2931368743049916e-09
1845,1.1160455892778032e-09,6.138250630005615e-09
